Nome: DOM ELISEU
Codigo Estacao: A252
Latitude: -4.28055554
Longitude: -47.56388888
Altitude: 251
Situacao: Operante
Data Inicial: 2018-03-07
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;null;
2018-04-30;1.490417;
2018-05-31;1.621774;
2018-06-30;1.908472;
2018-07-31;2.020968;
2018-08-31;2.034274;
2018-09-30;2.197361;
2018-10-31;2.062231;
2018-11-30;2.022222;
2018-12-31;1.731855;
2019-01-31;1.763441;
2019-02-28;1.566369;
2019-03-31;1.554167;
2019-04-30;1.404167;
2019-05-31;1.626993;
2019-06-30;2.050278;
2019-07-31;2.000403;
2019-08-31;2.134409;
2019-09-30;2.248333;
2019-10-31;2.043683;
2019-11-30;1.815139;
2019-12-31;1.940054;
2020-01-31;1.50578;
2020-02-29;1.521552;
2020-03-31;1.350538;
2020-04-30;1.500694;
2020-05-31;1.766264;
2020-06-30;2.076667;
2020-07-31;2.09785;
2020-08-31;2.154973;
2020-09-30;2.269306;
2020-10-31;2.040591;
2020-11-30;1.716944;
2020-12-31;1.733333;
2021-01-31;1.710887;
2021-02-28;1.637351;
2021-03-31;1.463844;
2021-04-30;1.45;
2021-05-31;1.657661;
2021-06-30;1.495556;
2021-07-31;1.840188;
2021-08-31;2.038038;
2021-09-30;1.955694;
2021-10-31;1.769892;
2021-11-30;1.613205;
2021-12-31;null;
2022-01-31;null;
2022-02-28;1.634821;
2022-03-31;1.495699;
2022-04-30;1.489167;
2022-05-31;1.591935;
2022-06-30;1.695417;
2022-07-31;2.097177;
2022-08-31;2.044624;
2022-09-30;2.239028;
2022-10-31;2.261828;
2022-11-30;1.655694;
2022-12-31;1.64879;

