Nome: ALTAMIRA
Codigo Estacao: A253
Latitude: -3.27027777
Longitude: -52.39472221
Altitude: 191
Situacao: Operante
Data Inicial: 2018-10-24
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-10-31;null;
2018-11-30;1.055658;
2018-12-31;.923522;
2019-01-31;.906586;
2019-02-28;.830108;
2019-03-31;.834409;
2019-04-30;.808551;
2019-05-31;.809409;
2019-06-30;.850833;
2019-07-31;.836637;
2019-08-31;.970207;
2019-09-30;1.08625;
2019-10-31;.989785;
2019-11-30;.928514;
2019-12-31;.928763;
2020-01-31;.86884;
2020-02-29;.836685;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;.720133;
2022-07-31;.742263;
2022-08-31;.805914;
2022-09-30;.975652;
2022-10-31;.835916;
2022-11-30;.686635;
2022-12-31;.593635;

