Nome: REDENCAO
Codigo Estacao: A254
Latitude: -8.04333333
Longitude: -50.00694444
Altitude: 199
Situacao: Operante
Data Inicial: 2019-07-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;null;
2019-08-31;1.685178;
2019-09-30;1.753611;
2019-10-31;1.509783;
2019-11-30;1.379583;
2019-12-31;1.474416;
2020-01-31;1.424401;
2020-02-29;1.351993;
2020-03-31;1.382435;
2020-04-30;1.306806;
2020-05-31;1.350806;
2020-06-30;1.435417;
2020-07-31;1.495968;
2020-08-31;1.632661;
2020-09-30;1.641806;
2020-10-31;1.71219;
2020-11-30;1.579049;
2020-12-31;1.455283;
2021-01-31;1.437084;
2021-02-28;1.427801;
2021-03-31;1.306341;
2021-04-30;1.300139;
2021-05-31;1.257796;
2021-06-30;1.3925;
2021-07-31;1.536962;
2021-08-31;1.606048;
2021-09-30;1.671612;
2021-10-31;1.381405;
2021-11-30;1.33997;
2021-12-31;1.438882;
2022-01-31;1.423621;
2022-02-28;1.355856;
2022-03-31;1.347103;
2022-04-30;1.285833;
2022-05-31;1.347043;
2022-06-30;1.333315;
2022-07-31;1.464663;
2022-08-31;1.608435;
2022-09-30;1.655345;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

