Nome: FORTALEZA
Codigo Estacao: A305
Latitude: -3.81583333
Longitude: -38.53777777
Altitude: 29.55
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.313248;
2004-02-29;2.057809;
2004-03-31;2.345161;
2004-04-30;2.336697;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;3.803708;
2004-10-31;3.89074;
2004-11-30;3.729737;
2004-12-31;3.346199;
2005-01-31;2.993227;
2005-02-28;2.978927;
2005-03-31;2.363739;
2005-04-30;2.483472;
2005-05-31;null;
2005-06-30;2.47625;
2005-07-31;2.804167;
2005-08-31;3.701882;
2005-09-30;3.745189;
2005-10-31;4.028292;
2005-11-30;3.836528;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;2.684568;
2006-08-31;3.301171;
2006-09-30;3.678497;
2006-10-31;3.676478;
2006-11-30;3.539822;
2006-12-31;3.301489;
2007-01-31;3.168548;
2007-02-28;2.180208;
2007-03-31;2.234794;
2007-04-30;2.108889;
2007-05-31;2.327918;
2007-06-30;2.722138;
2007-07-31;3.138823;
2007-08-31;3.766439;
2007-09-30;3.813333;
2007-10-31;3.943145;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;1.557283;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;2.223716;
2009-02-28;1.783014;
2009-03-31;1.162412;
2009-04-30;1.103194;
2009-05-31;1.164247;
2009-06-30;1.892778;
2009-07-31;2.232796;
2009-08-31;2.763306;
2009-09-30;3.2925;
2009-10-31;3.07327;
2009-11-30;3.418333;
2009-12-31;null;
2010-01-31;null;
2010-02-28;2.923033;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;1.503188;
2011-04-30;null;
2011-05-31;1.758889;
2011-06-30;2.071667;
2011-07-31;2.22164;
2011-08-31;2.881452;
2011-09-30;3.270694;
2011-10-31;3.216129;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;2.164676;
2012-04-30;2.249583;
2012-05-31;2.547177;
2012-06-30;2.401087;
2012-07-31;2.882796;
2012-08-31;3.333641;
2012-09-30;3.433611;
2012-10-31;3.751747;
2012-11-30;3.071389;
2012-12-31;3.199731;
2013-01-31;2.872984;
2013-02-28;2.980208;
2013-03-31;2.672083;
2013-04-30;1.684306;
2013-05-31;2.048522;
2013-06-30;1.945884;
2013-07-31;2.269624;
2013-08-31;3.337769;
2013-09-30;3.747083;
2013-10-31;3.61465;
2013-11-30;3.579167;
2013-12-31;3.154435;
2014-01-31;2.887366;
2014-02-28;2.386161;
2014-03-31;1.886559;
2014-04-30;1.437711;
2014-05-31;1.504435;
2014-06-30;2.369583;
2014-07-31;2.647715;
2014-08-31;3.355645;
2014-09-30;3.465695;
2014-10-31;3.755376;
2014-11-30;3.249444;
2014-12-31;3.239919;
2015-01-31;2.837348;
2015-02-28;2.380254;
2015-03-31;1.700806;
2015-04-30;1.499444;
2015-05-31;2.336425;
2015-06-30;2.3675;
2015-07-31;2.688575;
2015-08-31;3.281317;
2015-09-30;3.503611;
2015-10-31;3.482527;
2015-11-30;3.059583;
2015-12-31;3.042876;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;2.802151;
2016-08-31;3.111512;
2016-09-30;3.428194;
2016-10-31;3.43056;
2016-11-30;3.409167;
2016-12-31;2.814651;
2017-01-31;2.379529;
2017-02-28;2.038839;
2017-03-31;1.263458;
2017-04-30;1.618472;
2017-05-31;1.81323;
2017-06-30;2.106999;
2017-07-31;2.259005;
2017-08-31;2.925;
2017-09-30;3.359306;
2017-10-31;3.478167;
2017-11-30;3.0725;
2017-12-31;2.908602;
2018-01-31;2.216328;
2018-02-28;1.450735;
2018-03-31;1.703045;
2018-04-30;1.54645;
2018-05-31;1.598287;
2018-06-30;2.120711;
2018-07-31;2.330511;
2018-08-31;2.852543;
2018-09-30;3.286528;
2018-10-31;2.977064;
2018-11-30;3.123199;
2018-12-31;2.210318;
2019-01-31;1.882968;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;2.154167;
2019-07-31;2.496909;
2019-08-31;3.070699;
2019-09-30;3.400833;
2019-10-31;3.229979;
2019-11-30;3.083611;
2019-12-31;2.814785;
2020-01-31;1.76922;
2020-02-29;1.381697;
2020-03-31;1.168011;
2020-04-30;1.30442;
2020-05-31;1.641748;
2020-06-30;1.945556;
2020-07-31;2.319624;
2020-08-31;3.014113;
2020-09-30;3.339354;
2020-10-31;3.080376;
2020-11-30;3.174583;
2020-12-31;3.226438;
2021-01-31;2.714113;
2021-02-28;2.404186;
2021-03-31;1.58743;
2021-04-30;1.939861;
2021-05-31;1.704482;
2021-06-30;2.018068;
2021-07-31;2.538219;
2021-08-31;3.16129;
2021-09-30;3.294662;
2021-10-31;null;
2021-11-30;null;
2021-12-31;3.06638;
2022-01-31;1.690492;
2022-02-28;2.060895;
2022-03-31;1.447224;
2022-04-30;1.366667;
2022-05-31;1.584175;
2022-06-30;1.697066;
2022-07-31;2.170775;
2022-08-31;2.615247;
2022-09-30;3.140534;
2022-10-31;3.295091;
2022-11-30;2.537361;
2022-12-31;2.768304;

