Nome: SOBRAL
Codigo Estacao: A306
Latitude: -3.74805555
Longitude: -40.34583333
Altitude: 92.07
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.729704;
2004-02-29;2.021408;
2004-03-31;1.968011;
2004-04-30;1.823611;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;3.608065;
2005-01-31;3.107211;
2005-02-28;2.538244;
2005-03-31;2.287732;
2005-04-30;1.986111;
2005-05-31;1.808858;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;3.593681;
2005-10-31;3.917695;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;2.922204;
2006-03-31;1.916635;
2006-04-30;1.540783;
2006-05-31;null;
2006-06-30;null;
2006-07-31;2.063413;
2006-08-31;2.654376;
2006-09-30;3.270139;
2006-10-31;3.68535;
2006-11-30;3.692884;
2006-12-31;3.658249;
2007-01-31;3.547043;
2007-02-28;2.17729;
2007-03-31;1.741065;
2007-04-30;1.572778;
2007-05-31;1.566745;
2007-06-30;2.085477;
2007-07-31;2.569685;
2007-08-31;3.089463;
2007-09-30;3.293042;
2007-10-31;3.751466;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;2.066211;
2008-03-31;1.500683;
2008-04-30;null;
2008-05-31;1.274413;
2008-06-30;1.522014;
2008-07-31;2.27734;
2008-08-31;2.631126;
2008-09-30;3.207894;
2008-10-31;2.886636;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;1.561655;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;2.648605;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;2.527299;
2011-01-31;1.794758;
2011-02-28;1.574646;
2011-03-31;1.489628;
2011-04-30;.905417;
2011-05-31;1.265814;
2011-06-30;1.47625;
2011-07-31;1.620296;
2011-08-31;2.280107;
2011-09-30;2.614444;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;2.333065;
2012-06-30;2.309028;
2012-07-31;2.4875;
2012-08-31;2.722243;
2012-09-30;3.313942;
2012-10-31;null;
2012-11-30;null;
2012-12-31;3.169048;
2013-01-31;2.560215;
2013-02-28;2.427679;
2013-03-31;2.446333;
2013-04-30;1.804722;
2013-05-31;1.550134;
2013-06-30;1.77202;
2013-07-31;1.858199;
2013-08-31;2.46828;
2013-09-30;3.177639;
2013-10-31;3.038172;
2013-11-30;1.962361;
2013-12-31;2.309005;
2014-01-31;2.169355;
2014-02-28;1.779315;
2014-03-31;1.573387;
2014-04-30;.490833;
2014-05-31;.80336;
2014-06-30;1.718056;
2014-07-31;2.354167;
2014-08-31;2.583333;
2014-09-30;null;
2014-10-31;null;
2014-11-30;3.15875;
2014-12-31;3.233199;
2015-01-31;3.154436;
2015-02-28;2.291071;
2015-03-31;1.482527;
2015-04-30;1.48;
2015-05-31;1.84879;
2015-06-30;1.765556;
2015-07-31;2.214919;
2015-08-31;2.50793;
2015-09-30;3.014861;
2015-10-31;3.16586;
2015-11-30;3.105417;
2015-12-31;3.047043;
2016-01-31;1.994086;
2016-02-29;1.548132;
2016-03-31;1.462769;
2016-04-30;1.17625;
2016-05-31;1.250538;
2016-06-30;1.682917;
2016-07-31;1.918145;
2016-08-31;2.349597;
2016-09-30;2.703333;
2016-10-31;3.019086;
2016-11-30;3.350759;
2016-12-31;null;
2017-01-31;.949976;
2017-02-28;1.526264;
2017-03-31;.77471;
2017-04-30;.374167;
2017-05-31;.280511;
2017-06-30;.444167;
2017-07-31;1.390188;
2017-08-31;2.028091;
2017-09-30;2.502778;
2017-10-31;3.152151;
2017-11-30;2.869167;
2017-12-31;2.864382;
2018-01-31;2.296237;
2018-02-28;.993601;
2018-03-31;.829704;
2018-04-30;.653611;
2018-05-31;.655242;
2018-06-30;1.162917;
2018-07-31;1.561022;
2018-08-31;1.96922;
2018-09-30;2.496111;
2018-10-31;2.726344;
2018-11-30;2.737222;
2018-12-31;1.412903;
2019-01-31;.957796;
2019-02-28;.270089;
2019-03-31;.177957;
2019-04-30;.181944;
2019-05-31;.124328;
2019-06-30;.325278;
2019-07-31;.391129;
2019-08-31;.66707;
2019-09-30;1.431667;
2019-10-31;1.803091;
2019-11-30;1.728194;
2019-12-31;1.675941;
2020-01-31;.615726;
2020-02-29;.305603;
2020-03-31;.234812;
2020-04-30;.172639;
2020-05-31;.271237;
2020-06-30;.676944;
2020-07-31;.949731;
2020-08-31;1.432258;
2020-09-30;1.674722;
2020-10-31;2.012231;
2020-11-30;1.750278;
2020-12-31;1.734274;
2021-01-31;1.338038;
2021-02-28;1.057194;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;1.186111;

