Nome: FLORIANO
Codigo Estacao: A311
Latitude: -6.76138888
Longitude: -43.00333333
Altitude: 126.39
Situacao: Operante
Data Inicial: 2004-11-17
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-11-30;null;
2004-12-31;1.043882;
2005-01-31;.968925;
2005-02-28;.87439;
2005-03-31;.845014;
2005-04-30;1.195305;
2005-05-31;1.578916;
2005-06-30;1.850988;
2005-07-31;null;
2005-08-31;null;
2005-09-30;2.06527;
2005-10-31;1.706033;
2005-11-30;null;
2005-12-31;1.20793;
2006-01-31;1.109274;
2006-02-28;.862806;
2006-03-31;.876075;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;2.214881;
2006-09-30;1.917171;
2006-10-31;1.31565;
2006-11-30;1.074601;
2006-12-31;.931416;
2007-01-31;.889884;
2007-02-28;.884614;
2007-03-31;1.065176;
2007-04-30;.872615;
2007-05-31;1.386375;
2007-06-30;2.093279;
2007-07-31;2.083847;
2007-08-31;2.877733;
2007-09-30;2.768194;
2007-10-31;1.986331;
2007-11-30;1.486111;
2007-12-31;1.141532;
2008-01-31;.973387;
2008-02-29;.788506;
2008-03-31;.800672;
2008-04-30;.885268;
2008-05-31;null;
2008-06-30;1.739744;
2008-07-31;2.139516;
2008-08-31;1.928629;
2008-09-30;1.871667;
2008-10-31;2.062366;
2008-11-30;1.039722;
2008-12-31;.828908;
2009-01-31;.864305;
2009-02-28;.877976;
2009-03-31;null;
2009-04-30;.833333;
2009-05-31;1.004032;
2009-06-30;1.34375;
2009-07-31;1.478898;
2009-08-31;1.811559;
2009-09-30;1.482222;
2009-10-31;1.205029;
2009-11-30;1.008472;
2009-12-31;.959946;
2010-01-31;.947657;
2010-02-28;1.030655;
2010-03-31;.875941;
2010-04-30;1.105;
2010-05-31;1.11707;
2010-06-30;2.064722;
2010-07-31;2.486694;
2010-08-31;2.61056;
2010-09-30;2.727917;
2010-10-31;1.403226;
2010-11-30;1.097778;
2010-12-31;.972984;
2011-01-31;.853763;
2011-02-28;.838076;
2011-03-31;.823935;
2011-04-30;.958472;
2011-05-31;1.452285;
2011-06-30;1.587222;
2011-07-31;1.818548;
2011-08-31;1.824597;
2011-09-30;2.356528;
2011-10-31;1.320565;
2011-11-30;1.115417;
2011-12-31;1.029839;
2012-01-31;.956183;
2012-02-29;1.060632;
2012-03-31;.876473;
2012-04-30;.801944;
2012-05-31;1.284946;
2012-06-30;1.527639;
2012-07-31;2.326263;
2012-08-31;2.687092;
2012-09-30;2.139958;
2012-10-31;1.989113;
2012-11-30;1.184167;
2012-12-31;.772446;
2013-01-31;.747312;
2013-02-28;.66875;
2013-03-31;.726028;
2013-04-30;.817361;
2013-05-31;1.037769;
2013-06-30;1.222424;
2013-07-31;1.588978;
2013-08-31;2.17043;
2013-09-30;2.108194;
2013-10-31;1.674597;
2013-11-30;1.174861;
2013-12-31;.825941;
2014-01-31;.810887;
2014-02-28;.736458;
2014-03-31;.642473;
2014-04-30;.766401;
2014-05-31;.991532;
2014-06-30;1.636945;
2014-07-31;2.067742;
2014-08-31;2.274162;
2014-09-30;1.766944;
2014-10-31;1.757796;
2014-11-30;1.000417;
2014-12-31;1.01129;
2015-01-31;.89207;
2015-02-28;.838988;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;2.150941;
2015-08-31;2.237769;
2015-09-30;1.488056;
2015-10-31;1.800672;
2015-11-30;1.244444;
2015-12-31;1.278495;
2016-01-31;.912634;
2016-02-29;1.062931;
2016-03-31;.824462;
2016-04-30;.957778;
2016-05-31;1.054436;
2016-06-30;1.622917;
2016-07-31;2.089247;
2016-08-31;1.941667;
2016-09-30;1.730972;
2016-10-31;1.560887;
2016-11-30;1.527917;
2016-12-31;1.108065;
2017-01-31;.817876;
2017-02-28;.815179;
2017-03-31;.563844;
2017-04-30;.800972;
2017-05-31;1.038172;
2017-06-30;1.869306;
2017-07-31;2.793011;
2017-08-31;2.147984;
2017-09-30;3.296111;
2017-10-31;2.302419;
2017-11-30;.984306;
2017-12-31;.852285;
2018-01-31;.777285;
2018-02-28;.740476;
2018-03-31;.764113;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;1.891667;
2018-09-30;1.692222;
2018-10-31;1.306317;
2018-11-30;1.148611;
2018-12-31;.944892;
2019-01-31;.801344;
2019-02-28;.719345;
2019-03-31;.784946;
2019-04-30;.724306;
2019-05-31;.880914;
2019-06-30;1.685694;
2019-07-31;1.94207;
2019-08-31;2.401075;
2019-09-30;1.909861;
2019-10-31;1.484409;
2019-11-30;1.181528;
2019-12-31;.957124;
2020-01-31;.75793;
2020-02-29;.766523;
2020-03-31;.86371;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;1.512667;
2021-10-31;1.089247;
2021-11-30;.8675;
2021-12-31;.749328;
2022-01-31;.762634;
2022-02-28;.825;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

