Nome: TERESINA
Codigo Estacao: A312
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.23
Situacao: Operante
Data Inicial: 2004-11-23
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;1.515134;
2005-07-31;null;
2005-08-31;null;
2005-09-30;1.739669;
2005-10-31;2.018463;
2005-11-30;null;
2005-12-31;1.599107;
2006-01-31;1.399543;
2006-02-28;1.505223;
2006-03-31;1.392529;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;1.584541;
2007-12-31;null;
2008-01-31;null;
2008-02-29;1.035357;
2008-03-31;.95017;
2008-04-30;.9725;
2008-05-31;1.047411;
2008-06-30;1.213714;
2008-07-31;1.398253;
2008-08-31;1.351075;
2008-09-30;1.360555;
2008-10-31;1.561032;
2008-11-30;1.535333;
2008-12-31;null;
2009-01-31;null;
2009-02-28;.981101;
2009-03-31;.943548;
2009-04-30;.922083;
2009-05-31;.906452;
2009-06-30;1.089306;
2009-07-31;1.105645;
2009-08-31;1.29086;
2009-09-30;1.419583;
2009-10-31;1.449496;
2009-11-30;1.43941;
2009-12-31;null;
2010-01-31;null;
2010-02-28;1.064086;
2010-03-31;.990515;
2010-04-30;.886788;
2010-05-31;.803091;
2010-06-30;1.10625;
2010-07-31;1.265188;
2010-08-31;1.338844;
2010-09-30;1.530139;
2010-10-31;1.485484;
2010-11-30;1.436859;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;.981551;
2011-06-30;1.063472;
2011-07-31;1.134946;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;1.12379;
2012-01-31;1.195968;
2012-02-29;.969253;
2012-03-31;null;
2012-04-30;null;
2012-05-31;.886828;
2012-06-30;.909028;
2012-07-31;1.140428;
2012-08-31;1.508295;
2012-09-30;1.437222;
2012-10-31;1.597984;
2012-11-30;1.712639;
2012-12-31;1.298749;
2013-01-31;null;
2013-02-28;null;
2013-03-31;1.161028;
2013-04-30;.940278;
2013-05-31;.856586;
2013-06-30;.919937;
2013-07-31;.985081;
2013-08-31;1.113979;
2013-09-30;1.41375;
2013-10-31;1.690323;
2013-11-30;1.416806;
2013-12-31;1.24207;
2014-01-31;1.14086;
2014-02-28;.970396;
2014-03-31;.929973;
2014-04-30;.859306;
2014-05-31;.897168;
2014-06-30;1.048876;
2014-07-31;1.181165;
2014-08-31;1.321218;
2014-09-30;1.514952;
2014-10-31;null;
2014-11-30;null;
2014-12-31;1.408333;
2015-01-31;1.214113;
2015-02-28;1.095833;
2015-03-31;.989785;
2015-04-30;.924861;
2015-05-31;.86129;
2015-06-30;.985;
2015-07-31;1.154167;
2015-08-31;1.229032;
2015-09-30;1.479583;
2015-10-31;1.665323;
2015-11-30;1.754722;
2015-12-31;1.927151;
2016-01-31;1.231604;
2016-02-29;1.069109;
2016-03-31;.954435;
2016-04-30;.975556;
2016-05-31;.939382;
2016-06-30;1.166528;
2016-07-31;1.225269;
2016-08-31;1.324866;
2016-09-30;1.64;
2016-10-31;1.736022;
2016-11-30;1.759444;
2016-12-31;1.50215;
2017-01-31;1.37836;
2017-02-28;1.049554;
2017-03-31;.97043;
2017-04-30;.887083;
2017-05-31;.881048;
2017-06-30;1.172917;
2017-07-31;1.565054;
2017-08-31;1.145968;
2017-09-30;1.562778;
2017-10-31;1.678763;
2017-11-30;1.546389;
2017-12-31;1.463441;
2018-01-31;1.155645;
2018-02-28;.968452;
2018-03-31;.961828;
2018-04-30;.92875;
2018-05-31;.964785;
2018-06-30;1.034028;
2018-07-31;1.065714;
2018-08-31;1.172177;
2018-09-30;1.430694;
2018-10-31;1.612634;
2018-11-30;1.572083;
2018-12-31;1.073253;
2019-01-31;1.081586;
2019-02-28;.962649;
2019-03-31;.94879;
2019-04-30;.831528;
2019-05-31;null;
2019-06-30;null;
2019-07-31;1.270417;
2019-08-31;1.318952;
2019-09-30;1.371389;
2019-10-31;1.559409;
2019-11-30;1.488611;
2019-12-31;1.491667;
2020-01-31;1.094758;
2020-02-29;.900575;
2020-03-31;.899687;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;.96466;
2021-03-31;.859543;
2021-04-30;.819028;
2021-05-31;.924866;
2021-06-30;.833194;
2021-07-31;1.034005;
2021-08-31;1.210015;
2021-09-30;1.343056;
2021-10-31;1.275134;
2021-11-30;1.093611;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;.802151;
2022-04-30;.880556;
2022-05-31;.908871;
2022-06-30;.927778;
2022-07-31;1.209274;
2022-08-31;1.205914;
2022-09-30;1.324167;
2022-10-31;1.412366;
2022-11-30;1.098056;
2022-12-31;1.013844;

