Nome: CAMPINA GRANDE
Codigo Estacao: A313
Latitude: -7.225574
Longitude: -35.904831
Altitude: 546.17
Situacao: Operante
Data Inicial: 2006-12-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;2.446304;
2007-07-31;2.735297;
2007-08-31;3.251286;
2007-09-30;3.499861;
2007-10-31;3.898936;
2007-11-30;4.20125;
2007-12-31;3.962097;
2008-01-31;3.731452;
2008-02-29;3.48204;
2008-03-31;2.618548;
2008-04-30;2.406806;
2008-05-31;2.171137;
2008-06-30;2.47945;
2008-07-31;2.767339;
2008-08-31;2.80336;
2008-09-30;3.383889;
2008-10-31;3.958736;
2008-11-30;4.245411;
2008-12-31;3.891263;
2009-01-31;3.589738;
2009-02-28;3.121726;
2009-03-31;3.077016;
2009-04-30;2.359167;
2009-05-31;2.118458;
2009-06-30;2.442357;
2009-07-31;2.638989;
2009-08-31;2.843414;
2009-09-30;3.637917;
2009-10-31;3.813587;
2009-11-30;4.104306;
2009-12-31;3.759946;
2010-01-31;3.089431;
2010-02-28;3.179167;
2010-03-31;3.21922;
2010-04-30;2.799583;
2010-05-31;2.512903;
2010-06-30;2.198333;
2010-07-31;2.34328;
2010-08-31;2.479632;
2010-09-30;3.175139;
2010-10-31;3.503495;
2010-11-30;4.0875;
2010-12-31;3.660349;
2011-01-31;3.04086;
2011-02-28;3.310714;
2011-03-31;2.851845;
2011-04-30;2.311111;
2011-05-31;2.041532;
2011-06-30;2.04875;
2011-07-31;2.353912;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;3.314722;
2012-05-31;3.217876;
2012-06-30;2.561111;
2012-07-31;2.569624;
2012-08-31;3.055568;
2012-09-30;3.552778;
2012-10-31;4.039651;
2012-11-30;4.058194;
2012-12-31;4.093011;
2013-01-31;3.873118;
2013-02-28;3.953423;
2013-03-31;3.745444;
2013-04-30;3.017361;
2013-05-31;2.700845;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;3.799059;
2013-11-30;3.973333;
2013-12-31;3.889113;
2014-01-31;3.7875;
2014-02-28;3.527827;
2014-03-31;3.514113;
2014-04-30;3.171528;
2014-05-31;2.525134;
2014-06-30;2.660417;
2014-07-31;2.653495;
2014-08-31;2.959812;
2014-09-30;3.535833;
2014-10-31;3.977016;
2014-11-30;4.067917;
2014-12-31;4.111022;
2015-01-31;4.323925;
2015-02-28;4.006399;
2015-03-31;3.53414;
2015-04-30;3.270833;
2015-05-31;3.487231;
2015-06-30;2.535;
2015-07-31;2.649462;
2015-08-31;3.173387;
2015-09-30;4.154167;
2015-10-31;4.204839;
2015-11-30;4.307778;
2015-12-31;3.94664;
2016-01-31;3.055511;
2016-02-29;3.182759;
2016-03-31;3.389516;
2016-04-30;2.901581;
2016-05-31;null;
2016-06-30;2.909167;
2016-07-31;3.009543;
2016-08-31;3.460887;
2016-09-30;3.992639;
2016-10-31;4.438172;
2016-11-30;4.631111;
2016-12-31;4.04207;
2017-01-31;3.98078;
2017-02-28;3.876339;
2017-03-31;3.503921;
2017-04-30;3.206667;
2017-05-31;2.746616;
2017-06-30;2.768889;
2017-07-31;2.815188;
2017-08-31;3.125941;
2017-09-30;3.528333;
2017-10-31;4.020833;
2017-11-30;4.431806;
2017-12-31;4.177823;
2018-01-31;3.842876;
2018-02-28;3.29881;
2018-03-31;3.07379;
2018-04-30;2.544722;
2018-05-31;2.597715;
2018-06-30;2.815278;
2018-07-31;2.864785;
2018-08-31;3.417876;
2018-09-30;4.004167;
2018-10-31;4.227554;
2018-11-30;4.449028;
2018-12-31;3.808468;
2019-01-31;3.633871;
2019-02-28;3.135565;
2019-03-31;2.873656;
2019-04-30;2.864167;
2019-05-31;3.086156;
2019-06-30;2.804456;
2019-07-31;2.702992;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;4.135887;
2020-01-31;3.493952;
2020-02-29;3.424138;
2020-03-31;2.481147;
2020-04-30;2.630278;
2020-05-31;2.505376;
2020-06-30;2.527083;
2020-07-31;2.475806;
2020-08-31;3.186962;
2020-09-30;3.487778;
2020-10-31;3.810887;
2020-11-30;4.038195;
2020-12-31;4.211425;
2021-01-31;3.903629;
2021-02-28;3.73497;
2021-03-31;3.272849;
2021-04-30;2.978889;
2021-05-31;2.531855;
2021-06-30;2.399167;
2021-07-31;2.924462;
2021-08-31;3.036962;
2021-09-30;3.627639;
2021-10-31;4.119758;
2021-11-30;4.275278;
2021-12-31;4.155511;
2022-01-31;3.416935;
2022-02-28;3.707589;
2022-03-31;3.112097;
2022-04-30;2.697917;
2022-05-31;2.484005;
2022-06-30;1.94125;
2022-07-31;2.488306;
2022-08-31;2.673925;
2022-09-30;3.390833;
2022-10-31;3.932258;
2022-11-30;3.627778;
2022-12-31;3.67043;

