Nome: MOSSORO
Codigo Estacao: A318
Latitude: -4.90416666
Longitude: -37.36694443
Altitude: 29.44
Situacao: Pane
Data Inicial: 2007-05-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;
2007-06-30;2.714457;
2007-07-31;3.717779;
2007-08-31;3.871681;
2007-09-30;4.425417;
2007-10-31;4.948796;
2007-11-30;5;
2007-12-31;4.674462;
2008-01-31;4.391801;
2008-02-29;4.004885;
2008-03-31;2.244489;
2008-04-30;1.917083;
2008-05-31;1.73054;
2008-06-30;1.903086;
2008-07-31;2.449731;
2008-08-31;3.203226;
2008-09-30;4.074861;
2008-10-31;4.645564;
2008-11-30;4.849118;
2008-12-31;4.426613;
2009-01-31;4.132357;
2009-02-28;3.040625;
2009-03-31;2.261156;
2009-04-30;1.564583;
2009-05-31;1.511694;
2009-06-30;1.785139;
2009-07-31;2.255914;
2009-08-31;2.919489;
2009-09-30;4.048774;
2009-10-31;4.2125;
2009-11-30;4.63875;
2009-12-31;4.277238;
2010-01-31;3.538941;
2010-02-28;3.806399;
2010-03-31;3.465323;
2010-04-30;2.593333;
2010-05-31;2.567339;
2010-06-30;2.601111;
2010-07-31;2.892742;
2010-08-31;3.721516;
2010-09-30;4.438472;
2010-10-31;4.240323;
2010-11-30;4.72;
2010-12-31;3.975269;
2011-01-31;3.240333;
2011-02-28;2.7375;
2011-03-31;2.165323;
2011-04-30;1.784583;
2011-05-31;1.642204;
2011-06-30;1.992083;
2011-07-31;null;
2011-08-31;null;
2011-09-30;3.733631;
2011-10-31;4.408602;
2011-11-30;4.650694;
2011-12-31;4.555108;
2012-01-31;4.25672;
2012-02-29;3.55273;
2012-03-31;3.530511;
2012-04-30;3.620972;
2012-05-31;3.862634;
2012-06-30;3.544444;
2012-07-31;3.583065;
2012-08-31;3.858967;
2012-09-30;4.4325;
2012-10-31;4.781855;
2012-11-30;4.560139;
2012-12-31;null;
2013-01-31;null;
2013-02-28;4.642147;
2013-03-31;4.116444;
2013-04-30;3.020139;
2013-05-31;2.659409;
2013-06-30;2.397879;
2013-07-31;2.550923;
2013-08-31;3.575538;
2013-09-30;4.368472;
2013-10-31;4.74879;
2013-11-30;4.780972;
2013-12-31;4.412962;
2014-01-31;4.285431;
2014-02-28;3.884673;
2014-03-31;3.443952;
2014-04-30;2.846389;
2014-05-31;2.29543;
2014-06-30;2.88375;
2014-07-31;3.40336;
2014-08-31;3.949194;
2014-09-30;4.376111;
2014-10-31;4.754839;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;3.080316;
2015-04-30;2.677222;
2015-05-31;3.583468;
2015-06-30;3.379583;
2015-07-31;3.486156;
2015-08-31;4.115726;
2015-09-30;4.920694;
2015-10-31;4.834946;
2015-11-30;4.598889;
2015-12-31;4.368512;
2016-01-31;2.894117;
2016-02-29;2.81408;
2016-03-31;3.555108;
2016-04-30;2.86125;
2016-05-31;3.311425;
2016-06-30;null;
2016-07-31;null;
2016-08-31;3.935349;
2016-09-30;4.291805;
2016-10-31;4.477647;
2016-11-30;4.598758;
2016-12-31;null;
2017-01-31;3.903495;
2017-02-28;3.10997;
2017-03-31;2.306048;
2017-04-30;2.214722;
2017-05-31;2.706183;
2017-06-30;2.680556;
2017-07-31;2.448925;
2017-08-31;3.452554;
2017-09-30;3.828889;
2017-10-31;4.381586;
2017-11-30;4.373472;
2017-12-31;3.962366;
2018-01-31;3.449493;
2018-02-28;2.526042;
2018-03-31;2.653763;
2018-04-30;1.78375;
2018-05-31;1.772849;
2018-06-30;2.3625;
2018-07-31;2.741667;
2018-08-31;3.431452;
2018-09-30;3.939167;
2018-10-31;4.014785;
2018-11-30;4.115278;
2018-12-31;3.428711;
2019-01-31;null;
2019-02-28;null;
2019-03-31;1.778629;
2019-04-30;1.744167;
2019-05-31;1.980107;
2019-06-30;2.404028;
2019-07-31;2.708333;
2019-08-31;3.302823;
2019-09-30;3.931111;
2019-10-31;4.045968;
2019-11-30;null;
2019-12-31;null;
2020-01-31;3.078628;
2020-02-29;2.40379;
2020-03-31;1.62379;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;3.595139;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

