Nome: PATOS
Codigo Estacao: A321
Latitude: -7.07972221
Longitude: -37.27277777
Altitude: 263.66
Situacao: Operante
Data Inicial: 2007-07-20
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;
2007-08-31;4.303851;
2007-09-30;4.444493;
2007-10-31;4.703506;
2007-11-30;4.419398;
2007-12-31;3.874194;
2008-01-31;3.517204;
2008-02-29;2.605747;
2008-03-31;1.642257;
2008-04-30;1.921667;
2008-05-31;2.008327;
2008-06-30;2.343955;
2008-07-31;3.198118;
2008-08-31;3.473656;
2008-09-30;3.949028;
2008-10-31;4.644892;
2008-11-30;4.456111;
2008-12-31;3.524194;
2009-01-31;3.139504;
2009-02-28;2.35878;
2009-03-31;1.977151;
2009-04-30;1.691111;
2009-05-31;1.686156;
2009-06-30;2.133333;
2009-07-31;2.613575;
2009-08-31;3.254704;
2009-09-30;3.994722;
2009-10-31;3.496983;
2009-11-30;4.356667;
2009-12-31;3.674462;
2010-01-31;2.604128;
2010-02-28;3.037054;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;2.940942;
2010-07-31;3.406452;
2010-08-31;3.961851;
2010-09-30;4.584583;
2010-10-31;3.695968;
2010-11-30;3.801528;
2010-12-31;2.803629;
2011-01-31;2.419355;
2011-02-28;null;
2011-03-31;1.685417;
2011-04-30;1.664167;
2011-05-31;1.908357;
2011-06-30;2.419722;
2011-07-31;2.769221;
2011-08-31;3.523387;
2011-09-30;4.192361;
2011-10-31;4.160484;
2011-11-30;4.187917;
2011-12-31;4.175403;
2012-01-31;3.955259;
2012-02-29;3.602874;
2012-03-31;3.302373;
2012-04-30;3.129722;
2012-05-31;3.586156;
2012-06-30;3.292778;
2012-07-31;3.645565;
2012-08-31;4.364535;
2012-09-30;4.65;
2012-10-31;4.704301;
2012-11-30;4.278194;
2012-12-31;4.136022;
2013-01-31;3.694624;
2013-02-28;4.181845;
2013-03-31;3.3125;
2013-04-30;null;
2013-05-31;null;
2013-06-30;2.820897;
2013-07-31;2.956452;
2013-08-31;3.756183;
2013-09-30;4.549028;
2013-10-31;4.769758;
2013-11-30;4.49125;
2013-12-31;3.806317;
2014-01-31;3.545833;
2014-02-28;3.262054;
2014-03-31;2.189651;
2014-04-30;1.756389;
2014-05-31;2.10672;
2014-06-30;2.754583;
2014-07-31;3.46173;
2014-08-31;3.875134;
2014-09-30;4.209861;
2014-10-31;4.629839;
2014-11-30;3.895139;
2014-12-31;4.066801;
2015-01-31;3.867607;
2015-02-28;3.052827;
2015-03-31;2.673253;
2015-04-30;2.027639;
2015-05-31;3.156183;
2015-06-30;3.095972;
2015-07-31;3.442473;
2015-08-31;3.999597;
2015-09-30;4.393611;
2015-10-31;4.660623;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;2.42625;
2016-05-31;2.879839;
2016-06-30;3.168472;
2016-07-31;3.613306;
2016-08-31;3.942204;
2016-09-30;4.307639;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;3.831586;
2017-02-28;2.695684;
2017-03-31;1.988306;
2017-04-30;1.849722;
2017-05-31;2.523656;
2017-06-30;3.132917;
2017-07-31;3.639919;
2017-08-31;3.613172;
2017-09-30;4.426806;
2017-10-31;4.683333;
2017-11-30;4.493056;
2017-12-31;4.288172;
2018-01-31;3.481989;
2018-02-28;2.387202;
2018-03-31;2.128763;
2018-04-30;1.709167;
2018-05-31;2.444624;
2018-06-30;3.215;
2018-07-31;3.507392;
2018-08-31;3.996102;
2018-09-30;4.506806;
2018-10-31;4.152285;
2018-11-30;4.83079;
2018-12-31;3.368145;
2019-01-31;3.003898;
2019-02-28;2.12289;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;2.858472;
2019-07-31;2.950134;
2019-08-31;3.828898;
2019-09-30;4.275139;
2019-10-31;4.420699;
2019-11-30;3.928889;
2019-12-31;3.791398;
2020-01-31;2.207392;
2020-02-29;1.109052;
2020-03-31;1.059677;
2020-04-30;1.166389;
2020-05-31;1.486425;
2020-06-30;1.102639;
2020-07-31;1.451344;
2020-08-31;3.018011;
2020-09-30;2.924167;
2020-10-31;2.463172;
2020-11-30;1.41625;
2020-12-31;1.895699;
2021-01-31;2.372446;
2021-02-28;1.416369;
2021-03-31;.569306;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

