Nome: GARANHUNS
Codigo Estacao: A322
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Operante
Data Inicial: 2007-07-07
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;
2007-08-31;null;
2007-09-30;2.846354;
2007-10-31;3.395068;
2007-11-30;4.539221;
2007-12-31;4.046383;
2008-01-31;3.506452;
2008-02-29;3.718965;
2008-03-31;2.794448;
2008-04-30;2.522917;
2008-05-31;2.152151;
2008-06-30;2.381824;
2008-07-31;2.706452;
2008-08-31;2.49879;
2008-09-30;2.937669;
2008-10-31;3.399059;
2008-11-30;4.693194;
2008-12-31;4.045161;
2009-01-31;3.738312;
2009-02-28;3.188393;
2009-03-31;3.432796;
2009-04-30;2.571944;
2009-05-31;2.136828;
2009-06-30;2.128056;
2009-07-31;2.207392;
2009-08-31;2.410753;
2009-09-30;3.296944;
2009-10-31;4.115374;
2009-11-30;4.168472;
2009-12-31;3.644624;
2010-01-31;2.843798;
2010-02-28;2.773661;
2010-03-31;2.918957;
2010-04-30;2.214306;
2010-05-31;1.688575;
2010-06-30;2.106945;
2010-07-31;2.403898;
2010-08-31;2.281989;
2010-09-30;2.936528;
2010-10-31;3.247849;
2010-11-30;3.843056;
2010-12-31;3.83293;
2011-01-31;2.930511;
2011-02-28;3.101786;
2011-03-31;3.250971;
2011-04-30;2.253472;
2011-05-31;2.05312;
2011-06-30;2.031325;
2011-07-31;2.2669;
2011-08-31;2.461524;
2011-09-30;2.519514;
2011-10-31;3.260484;
2011-11-30;3.956667;
2011-12-31;4.138575;
2012-01-31;3.49543;
2012-02-29;3.078017;
2012-03-31;3.195734;
2012-04-30;2.545417;
2012-05-31;2.491532;
2012-06-30;2.206775;
2012-07-31;2.163172;
2012-08-31;2.535983;
2012-09-30;3.005972;
2012-10-31;3.519624;
2012-11-30;4.799444;
2012-12-31;3.832661;
2013-01-31;4.101344;
2013-02-28;3.630357;
2013-03-31;3.431333;
2013-04-30;2.786944;
2013-05-31;2.097178;
2013-06-30;1.274672;
2013-07-31;1.155107;
2013-08-31;.155914;
2013-09-30;.804583;
2013-10-31;.825;
2013-11-30;.890833;
2013-12-31;.014646;
2014-01-31;0;
2014-02-28;0;
2014-03-31;null;
2014-04-30;2.715;
2014-05-31;2.147849;
2014-06-30;2.249691;
2014-07-31;null;
2014-08-31;1.920161;
2014-09-30;2.827917;
2014-10-31;2.912769;
2014-11-30;3.251806;
2014-12-31;3.298656;
2015-01-31;3.154459;
2015-02-28;2.6625;
2015-03-31;2.249866;
2015-04-30;2.225278;
2015-05-31;1.330139;
2015-06-30;null;
2015-07-31;null;
2015-08-31;1.205914;
2015-09-30;1.881806;
2015-10-31;2.271371;
2015-11-30;3.618194;
2015-12-31;2.125806;
2016-01-31;2.573118;
2016-02-29;.910201;
2016-03-31;.613844;
2016-04-30;.635417;
2016-05-31;.274597;
2016-06-30;.602639;
2016-07-31;.528629;
2016-08-31;.643952;
2016-09-30;1.096389;
2016-10-31;2.120395;
2016-11-30;2.343333;
2016-12-31;1.723387;
2017-01-31;.564516;
2017-02-28;.429762;
2017-03-31;.346909;
2017-04-30;.212778;
2017-05-31;.073521;
2017-06-30;.10625;
2017-07-31;.308333;
2017-08-31;.054167;
2017-09-30;.201806;
2017-10-31;.231048;
2017-11-30;.126528;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;1.909306;
2018-05-31;2.099328;
2018-06-30;2.225417;
2018-07-31;1.993414;
2018-08-31;2.457258;
2018-09-30;2.912361;
2018-10-31;3.568952;
2018-11-30;3.544305;
2018-12-31;3.217742;
2019-01-31;2.301075;
2019-02-28;2.808333;
2019-03-31;2.74086;
2019-04-30;2.212361;
2019-05-31;1.94086;
2019-06-30;1.981111;
2019-07-31;2.009543;
2019-08-31;2.292339;
2019-09-30;2.66875;
2019-10-31;3.199597;
2019-11-30;3.490278;
2019-12-31;3.45793;
2020-01-31;3.031452;
2020-02-29;2.672701;
2020-03-31;2.059678;
2020-04-30;1.710556;
2020-05-31;1.678091;
2020-06-30;1.94625;
2020-07-31;1.985753;
2020-08-31;2.162769;
2020-09-30;2.393611;
2020-10-31;3.348387;
2020-11-30;3.169167;
2020-12-31;3.457393;
2021-01-31;2.982258;
2021-02-28;3.30253;
2021-03-31;2.635484;
2021-04-30;2.288472;
2021-05-31;1.627957;
2021-06-30;1.585556;
2021-07-31;1.695262;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;1.273065;
2022-07-31;1.597581;
2022-08-31;1.807392;
2022-09-30;2.119583;
2022-10-31;2.46586;
2022-11-30;2.522753;
2022-12-31;null;

