Nome: PAO DE ACUCAR
Codigo Estacao: A323
Latitude: -9.74916666
Longitude: -37.43083332
Altitude: 20.83
Situacao: Operante
Data Inicial: 2007-07-13
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;
2007-08-31;1.997581;
2007-09-30;2.309028;
2007-10-31;2.879833;
2007-11-30;3.218381;
2007-12-31;3.103226;
2008-01-31;3.016801;
2008-02-29;2.47296;
2008-03-31;1.899603;
2008-04-30;1.407361;
2008-05-31;1.18172;
2008-06-30;1.347373;
2008-07-31;1.455511;
2008-08-31;1.630645;
2008-09-30;2.228092;
2008-10-31;2.955914;
2008-11-30;3.218611;
2008-12-31;2.927419;
2009-01-31;2.888306;
2009-02-28;2.610714;
2009-03-31;2.414516;
2009-04-30;1.83375;
2009-05-31;1.198118;
2009-06-30;1.1325;
2009-07-31;1.094355;
2009-08-31;.982258;
2009-09-30;1.340139;
2009-10-31;1.638793;
2009-11-30;2.496389;
2009-12-31;2.30457;
2010-01-31;1.910826;
2010-02-28;1.999702;
2010-03-31;1.398118;
2010-04-30;1.057361;
2010-05-31;1.114651;
2010-06-30;.892361;
2010-07-31;.84664;
2010-08-31;1.139919;
2010-09-30;1.6075;
2010-10-31;1.70121;
2010-11-30;2.283681;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;1.185436;
2011-04-30;1.074167;
2011-05-31;.813172;
2011-06-30;.884861;
2011-07-31;1.059812;
2011-08-31;1.356134;
2011-09-30;1.632361;
2011-10-31;2.034274;
2011-11-30;1.938472;
2011-12-31;1.154973;
2012-01-31;.819489;
2012-02-29;.618822;
2012-03-31;.567339;
2012-04-30;.338194;
2012-05-31;.311828;
2012-06-30;.346111;
2012-07-31;.220296;
2012-08-31;.535541;
2012-09-30;.844028;
2012-10-31;1.064919;
2012-11-30;2.612778;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;2.721891;
2013-04-30;2.18625;
2013-05-31;1.316667;
2013-06-30;1.615405;
2013-07-31;1.262938;
2013-08-31;1.663038;
2013-09-30;2.36125;
2013-10-31;2.604032;
2013-11-30;2.79125;
2013-12-31;2.532796;
2014-01-31;2.990457;
2014-02-28;2.669345;
2014-03-31;2.696102;
2014-04-30;2.043611;
2014-05-31;1.264516;
2014-06-30;1.609306;
2014-07-31;1.577957;
2014-08-31;1.773656;
2014-09-30;2.303274;
2014-10-31;null;
2014-11-30;null;
2014-12-31;2.757796;
2015-01-31;3.103845;
2015-02-28;2.668155;
2015-03-31;2.756183;
2015-04-30;2.117222;
2015-05-31;2.18172;
2015-06-30;1.519861;
2015-07-31;1.24664;
2015-08-31;1.451882;
2015-09-30;2.237222;
2015-10-31;2.383737;
2015-11-30;2.320694;
2015-12-31;2.408064;
2016-01-31;1.120968;
2016-02-29;1.770546;
2016-03-31;2.140054;
2016-04-30;1.862361;
2016-05-31;1.361156;
2016-06-30;1.091389;
2016-07-31;null;
2016-08-31;1.488306;
2016-09-30;2.107083;
2016-10-31;null;
2016-11-30;null;
2016-12-31;2.8;
2017-01-31;2.660484;
2017-02-28;2.604316;
2017-03-31;2.096237;
2017-04-30;1.750833;
2017-05-31;1.054839;
2017-06-30;.804583;
2017-07-31;.838038;
2017-08-31;.913307;
2017-09-30;1.571111;
2017-10-31;2.070833;
2017-11-30;2.5;
2017-12-31;2.342608;
2018-01-31;2.286962;
2018-02-28;1.905952;
2018-03-31;1.783333;
2018-04-30;1.579613;
2018-05-31;1.305914;
2018-06-30;1.237083;
2018-07-31;1.333931;
2018-08-31;null;
2018-09-30;null;
2018-10-31;2.448387;
2018-11-30;2.800556;
2018-12-31;1.733602;
2019-01-31;2.213988;
2019-02-28;1.766964;
2019-03-31;1.349866;
2019-04-30;1.295972;
2019-05-31;1.341263;
2019-06-30;1.076421;
2019-07-31;.794447;
2019-08-31;1.173387;
2019-09-30;1.760917;
2019-10-31;2.292874;
2019-11-30;2.53875;
2019-12-31;2.601412;
2020-01-31;2.078346;
2020-02-29;2.107368;
2020-03-31;1.483241;
2020-04-30;.920274;
2020-05-31;.622796;
2020-06-30;.931767;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;1.408166;
2022-10-31;2.093817;
2022-11-30;1.888472;
2022-12-31;1.621371;

