Nome: TAUA
Codigo Estacao: A324
Latitude: -6.01749999
Longitude: -40.28138888
Altitude: 410.87
Situacao: Operante
Data Inicial: 2007-07-11
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;
2007-08-31;4.005398;
2007-09-30;4.042639;
2007-10-31;4.167204;
2007-11-30;4.301491;
2007-12-31;3.406452;
2008-01-31;2.582392;
2008-02-29;2.249023;
2008-03-31;1.339767;
2008-04-30;1.409583;
2008-05-31;1.738897;
2008-06-30;2.404672;
2008-07-31;3.032796;
2008-08-31;3.112903;
2008-09-30;3.810278;
2008-10-31;4.048253;
2008-11-30;4.071667;
2008-12-31;3.513306;
2009-01-31;2.817812;
2009-02-28;2.246875;
2009-03-31;1.852151;
2009-04-30;1.354583;
2009-05-31;1.420833;
2009-06-30;1.98375;
2009-07-31;2.149457;
2009-08-31;2.836694;
2009-09-30;3.394306;
2009-10-31;3.381835;
2009-11-30;4.115;
2009-12-31;3.817204;
2010-01-31;2.155269;
2010-02-28;2.787649;
2010-03-31;2.467602;
2010-04-30;1.936111;
2010-05-31;2.110887;
2010-06-30;2.753333;
2010-07-31;3.096774;
2010-08-31;3.181183;
2010-09-30;3.723889;
2010-10-31;null;
2010-11-30;null;
2010-12-31;2.158199;
2011-01-31;1.575269;
2011-02-28;1.60253;
2011-03-31;1.42538;
2011-04-30;1.44875;
2011-05-31;1.741795;
2011-06-30;1.935556;
2011-07-31;2.430365;
2011-08-31;2.561021;
2011-09-30;3.333333;
2011-10-31;3.011156;
2011-11-30;2.925446;
2011-12-31;3.308468;
2012-01-31;2.848253;
2012-02-29;2.080316;
2012-03-31;1.870142;
2012-04-30;1.802778;
2012-05-31;2.438575;
2012-06-30;2.415417;
2012-07-31;2.790457;
2012-08-31;3.430376;
2012-09-30;3.424583;
2012-10-31;3.603629;
2012-11-30;3.542083;
2012-12-31;3.229839;
2013-01-31;2.742607;
2013-02-28;2.952679;
2013-03-31;2.730583;
2013-04-30;1.8475;
2013-05-31;1.849328;
2013-06-30;1.888093;
2013-07-31;2.504675;
2013-08-31;2.938844;
2013-09-30;3.588056;
2013-10-31;3.681855;
2013-11-30;3.333056;
2013-12-31;3.060349;
2014-01-31;2.103226;
2014-02-28;1.851637;
2014-03-31;1.980645;
2014-04-30;1.477778;
2014-05-31;1.938978;
2014-06-30;2.480833;
2014-07-31;2.757392;
2014-08-31;3.151075;
2014-09-30;3.460833;
2014-10-31;3.687769;
2014-11-30;3.147222;
2014-12-31;3.30793;
2015-01-31;2.966142;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;1.930417;
2015-06-30;2.096667;
2015-07-31;2.794624;
2015-08-31;3.049597;
2015-09-30;3.285833;
2015-10-31;3.697984;
2015-11-30;3.818333;
2015-12-31;3.780914;
2016-01-31;2.016936;
2016-02-29;1.941379;
2016-03-31;1.736156;
2016-04-30;1.937361;
2016-05-31;1.927285;
2016-06-30;2.491667;
2016-07-31;2.712654;
2016-08-31;2.866821;
2016-09-30;null;
2016-10-31;null;
2016-11-30;3.765833;
2016-12-31;2.965188;
2017-01-31;2.365591;
2017-02-28;2.025446;
2017-03-31;1.289516;
2017-04-30;1.674167;
2017-05-31;1.751479;
2017-06-30;.967778;
2017-07-31;1.627688;
2017-08-31;1.339113;
2017-09-30;2.395556;
2017-10-31;1.583871;
2017-11-30;.73125;
2017-12-31;.728495;
2018-01-31;.469758;
2018-02-28;.214286;
2018-03-31;.054839;
2018-04-30;.039444;
2018-05-31;1.15727;
2018-06-30;2.507639;
2018-07-31;2.619643;
2018-08-31;2.916129;
2018-09-30;3.349583;
2018-10-31;3.187856;
2018-11-30;3.285972;
2018-12-31;1.888575;
2019-01-31;2.027419;
2019-02-28;2.011607;
2019-03-31;1.978091;
2019-04-30;1.318472;
2019-05-31;1.902957;
2019-06-30;2.509306;
2019-07-31;3.033737;
2019-08-31;3.370833;
2019-09-30;3.430457;
2019-10-31;null;
2019-11-30;null;
2019-12-31;3.178045;
2020-01-31;1.777151;
2020-02-29;1.40704;
2020-03-31;1.338038;
2020-04-30;1.5275;
2020-05-31;1.74879;
2020-06-30;2.323889;
2020-07-31;2.715188;
2020-08-31;3.052174;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;3.157917;
2022-10-31;3.528629;
2022-11-30;2.198611;
2022-12-31;2.579167;

