Nome: QUIXERAMOBIM
Codigo Estacao: A325
Latitude: -5.17444443
Longitude: -39.28944444
Altitude: 221.04
Situacao: Operante
Data Inicial: 2007-07-08
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;2.923419;
2007-08-31;3.181978;
2007-09-30;3.622083;
2007-10-31;4.122849;
2007-11-30;4.109058;
2007-12-31;3.581989;
2008-01-31;3.136828;
2008-02-29;2.661638;
2008-03-31;1.627992;
2008-04-30;1.335;
2008-05-31;1.317193;
2008-06-30;1.610054;
2008-07-31;2.104704;
2008-08-31;2.63414;
2008-09-30;3.639722;
2008-10-31;4.026344;
2008-11-30;4.037917;
2008-12-31;3.655511;
2009-01-31;3.162447;
2009-02-28;2.518304;
2009-03-31;1.715726;
2009-04-30;1.466806;
2009-05-31;1.303898;
2009-06-30;.83625;
2009-07-31;1.479167;
2009-08-31;2.313038;
2009-09-30;3.166111;
2009-10-31;3.356897;
2009-11-30;3.772361;
2009-12-31;3.254435;
2010-01-31;2.489689;
2010-02-28;3.011905;
2010-03-31;null;
2010-04-30;1.645833;
2010-05-31;1.583288;
2010-06-30;1.701565;
2010-07-31;2.179032;
2010-08-31;2.69889;
2010-09-30;3.282361;
2010-10-31;2.938172;
2010-11-30;3.089306;
2010-12-31;2.452554;
2011-01-31;1.833737;
2011-02-28;1.638988;
2011-03-31;1.251474;
2011-04-30;1.288611;
2011-05-31;1.114804;
2011-06-30;1.294949;
2011-07-31;1.349462;
2011-08-31;2.180914;
2011-09-30;2.806945;
2011-10-31;3.071014;
2011-11-30;3.359306;
2011-12-31;2.200807;
2012-01-31;null;
2012-02-29;null;
2012-03-31;1.301923;
2012-04-30;1.293611;
2012-05-31;1.726344;
2012-06-30;1.505139;
2012-07-31;1.33965;
2012-08-31;1.626828;
2012-09-30;2.194306;
2012-10-31;2.085887;
2012-11-30;2.042917;
2012-12-31;1.847581;
2013-01-31;1.463306;
2013-02-28;1.535814;
2013-03-31;1.247298;
2013-04-30;null;
2013-05-31;.296739;
2013-06-30;.329348;
2013-07-31;null;
2013-08-31;.58871;
2013-09-30;1.795139;
2013-10-31;2.724597;
2013-11-30;2.154861;
2013-12-31;2.298118;
2014-01-31;1.784543;
2014-02-28;1.395089;
2014-03-31;.898253;
2014-04-30;.498611;
2014-05-31;.215591;
2014-06-30;.6675;
2014-07-31;1.046102;
2014-08-31;1.392608;
2014-09-30;null;
2014-10-31;null;
2014-11-30;1.923056;
2014-12-31;2.160484;
2015-01-31;2.081481;
2015-02-28;1.357589;
2015-03-31;.626882;
2015-04-30;.47625;
2015-05-31;1.012903;
2015-06-30;.837778;
2015-07-31;.765054;
2015-08-31;1.110081;
2015-09-30;2.01875;
2015-10-31;2.152285;
2015-11-30;2.067639;
2015-12-31;2.063038;
2016-01-31;.789785;
2016-02-29;.753879;
2016-03-31;.739382;
2016-04-30;null;
2016-05-31;.531183;
2016-06-30;.421528;
2016-07-31;.461694;
2016-08-31;.988306;
2016-09-30;1.457639;
2016-10-31;1.855376;
2016-11-30;2.097566;
2016-12-31;1.333333;
2017-01-31;.971102;
2017-02-28;.492857;
2017-03-31;.490995;
2017-04-30;1.538472;
2017-05-31;1.644624;
2017-06-30;2.052228;
2017-07-31;2.071774;
2017-08-31;2.49328;
2017-09-30;2.980694;
2017-10-31;3.625403;
2017-11-30;3.778333;
2017-12-31;3.595699;
2018-01-31;2.96129;
2018-02-28;2.014583;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;2.34715;
2018-07-31;2.83739;
2018-08-31;3.753599;
2018-09-30;4.847083;
2018-10-31;4.805645;
2018-11-30;4.911413;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;2.011086;
2019-04-30;1.93125;
2019-05-31;2.439113;
2019-06-30;2.609722;
2019-07-31;3.124866;
2019-08-31;3.859005;
2019-09-30;4.554167;
2019-10-31;4.607527;
2019-11-30;4.304369;
2019-12-31;3.99086;
2020-01-31;3.140299;
2020-02-29;2.298132;
2020-03-31;1.592254;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;3.702917;
2022-10-31;4.483333;
2022-11-30;3.299305;
2022-12-31;3.118364;

