Nome: CABROBO
Codigo Estacao: A329
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.74
Situacao: Operante
Data Inicial: 2007-09-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-09-30;5.362833;
2007-10-31;5.212173;
2007-11-30;4.192914;
2007-12-31;4.073253;
2008-01-31;3.79328;
2008-02-29;2.568506;
2008-03-31;1.913306;
2008-04-30;2.040278;
2008-05-31;3.053091;
2008-06-30;3.697385;
2008-07-31;4.134543;
2008-08-31;4.711828;
2008-09-30;5.081111;
2008-10-31;5.345699;
2008-11-30;4.242222;
2008-12-31;3.499731;
2009-01-31;3.47379;
2009-02-28;2.639435;
2009-03-31;2.23293;
2009-04-30;1.940694;
2009-05-31;2.424597;
2009-06-30;3.115278;
2009-07-31;3.913844;
2009-08-31;4.490188;
2009-09-30;3.983194;
2009-10-31;2.389062;
2009-11-30;3.535833;
2009-12-31;2.958199;
2010-01-31;2.416436;
2010-02-28;3.480804;
2010-03-31;2.126613;
2010-04-30;2.182778;
2010-05-31;2.722446;
2010-06-30;3.305;
2010-07-31;3.873925;
2010-08-31;4.543145;
2010-09-30;4.907778;
2010-10-31;3.816667;
2010-11-30;3.277778;
2010-12-31;2.406317;
2011-01-31;2.674462;
2011-02-28;2.760268;
2011-03-31;1.783052;
2011-04-30;3.098678;
2011-05-31;3.14207;
2011-06-30;3.396806;
2011-07-31;3.994086;
2011-08-31;4.190591;
2011-09-30;5.076667;
2011-10-31;4.259005;
2011-11-30;4.100972;
2011-12-31;3.581826;
2012-01-31;3.990726;
2012-02-29;3.676724;
2012-03-31;3.625742;
2012-04-30;3.677778;
2012-05-31;3.812634;
2012-06-30;3.82875;
2012-07-31;4.136022;
2012-08-31;4.771544;
2012-09-30;4.829861;
2012-10-31;4.811425;
2012-11-30;3.509306;
2012-12-31;3.644489;
2013-01-31;3.249597;
2013-02-28;4.244494;
2013-03-31;3.62175;
2013-04-30;3.260342;
2013-05-31;3.548925;
2013-06-30;null;
2013-07-31;3.794345;
2013-08-31;4.371505;
2013-09-30;4.582778;
2013-10-31;4.363441;
2013-11-30;4.15;
2013-12-31;2.908064;
2014-01-31;3.805242;
2014-02-28;3.384226;
2014-03-31;3.20914;
2014-04-30;2.606528;
2014-05-31;3.168145;
2014-06-30;3.874167;
2014-07-31;4.095968;
2014-08-31;4.340188;
2014-09-30;4.455833;
2014-10-31;4.776075;
2014-11-30;3.587778;
2014-12-31;3.287231;
2015-01-31;3.856586;
2015-02-28;3.177083;
2015-03-31;2.907258;
2015-04-30;2.680139;
2015-05-31;3.395833;
2015-06-30;3.567543;
2015-07-31;3.521167;
2015-08-31;4.121505;
2015-09-30;3.964167;
2015-10-31;4.075269;
2015-11-30;3.579167;
2015-12-31;3.895968;
2016-01-31;1.554973;
2016-02-29;2.575144;
2016-03-31;2.820699;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;2.690995;
2016-08-31;2.137845;
2016-09-30;2.022083;
2016-10-31;2.189919;
2016-11-30;2.5075;
2016-12-31;1.775538;
2017-01-31;1.713306;
2017-02-28;1.687054;
2017-03-31;1.221909;
2017-04-30;.993056;
2017-05-31;.630511;
2017-06-30;.65875;
2017-07-31;1.055645;
2017-08-31;1.213988;
2017-09-30;3.289306;
2017-10-31;3.06129;
2017-11-30;1.630695;
2017-12-31;1.480376;
2018-01-31;1.750941;
2018-02-28;.779018;
2018-03-31;.697043;
2018-04-30;.834861;
2018-05-31;1.843817;
2018-06-30;2.25375;
2018-07-31;2.998118;
2018-08-31;2.798253;
2018-09-30;3.289583;
2018-10-31;2.007258;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;.561389;
2019-05-31;.788978;
2019-06-30;1.882101;
2019-07-31;1.540726;
2019-08-31;3.032124;
2019-09-30;2.83375;
2019-10-31;2.878226;
2019-11-30;1.754445;
2019-12-31;1.74328;
2020-01-31;.577285;
2020-02-29;.374856;
2020-03-31;.347312;
2020-04-30;.397844;
2020-05-31;.723387;
2020-06-30;1.576806;
2020-07-31;2.086156;
2020-08-31;2.872581;
2020-09-30;2.954722;
2020-10-31;2.096371;
2020-11-30;1.554306;
2020-12-31;1.318952;
2021-01-31;1.299059;
2021-02-28;.524405;
2021-03-31;.703495;
2021-04-30;.887778;
2021-05-31;1.21371;
2021-06-30;1.613333;
2021-07-31;1.939785;
2021-08-31;2.988306;
2021-09-30;2.805;
2021-10-31;1.902676;
2021-11-30;1.067725;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;1.815139;
2022-10-31;1.669489;
2022-11-30;.105278;
2022-12-31;.159812;

