Nome: PAULISTANA
Codigo Estacao: A330
Latitude: -8.132288
Longitude: -41.142945
Altitude: 376
Situacao: Operante
Data Inicial: 2007-08-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;null;
2007-09-30;5.344982;
2007-10-31;4.686962;
2007-11-30;3.484936;
2007-12-31;3.106586;
2008-01-31;2.885887;
2008-02-29;2.149224;
2008-03-31;1.391795;
2008-04-30;1.998056;
2008-05-31;3.644098;
2008-06-30;4.394167;
2008-07-31;4.845699;
2008-08-31;4.776882;
2008-09-30;4.779722;
2008-10-31;4.863306;
2008-11-30;3.23;
2008-12-31;2.650672;
2009-01-31;2.448884;
2009-02-28;2.174256;
2009-03-31;1.584543;
2009-04-30;1.783056;
2009-05-31;3.030645;
2009-06-30;3.799167;
2009-07-31;4.241801;
2009-08-31;4.737231;
2009-09-30;4.230694;
2009-10-31;2.769581;
2009-11-30;3.385;
2009-12-31;2.73965;
2010-01-31;2.379416;
2010-02-28;3.155208;
2010-03-31;2.150269;
2010-04-30;3.008056;
2010-05-31;3.179301;
2010-06-30;4.213611;
2010-07-31;4.559005;
2010-08-31;4.857796;
2010-09-30;4.788056;
2010-10-31;3.30578;
2010-11-30;2.492639;
2010-12-31;1.75336;
2011-01-31;2.023387;
2011-02-28;1.795982;
2011-03-31;1.055588;
2011-04-30;2.189028;
2011-05-31;3.366784;
2011-06-30;3.752639;
2011-07-31;4.232258;
2011-08-31;3.989651;
2011-09-30;4.621806;
2011-10-31;3.501681;
2011-11-30;2.939722;
2011-12-31;2.662827;
2012-01-31;2.724731;
2012-02-29;2.540805;
2012-03-31;2.527322;
2012-04-30;2.815556;
2012-05-31;3.669355;
2012-06-30;3.823194;
2012-07-31;3.983737;
2012-08-31;3.968529;
2012-09-30;2.782917;
2012-10-31;2.586559;
2012-11-30;.565366;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;2.38729;
2013-04-30;2.638195;
2013-05-31;3.456989;
2013-06-30;3.949495;
2013-07-31;4.393952;
2013-08-31;4.729973;
2013-09-30;4.638472;
2013-10-31;4.245699;
2013-11-30;3.573472;
2013-12-31;2.230108;
2014-01-31;3.38078;
2014-02-28;3.078991;
2014-03-31;2.404167;
2014-04-30;2.597639;
2014-05-31;3.451882;
2014-06-30;4.231389;
2014-07-31;4.702823;
2014-08-31;4.756855;
2014-09-30;null;
2014-10-31;null;
2014-11-30;3.234306;
2014-12-31;3.045161;
2015-01-31;null;
2015-02-28;null;
2015-03-31;1.941263;
2015-04-30;1.973889;
2015-05-31;3.652419;
2015-06-30;4.311111;
2015-07-31;4.599059;
2015-08-31;4.718683;
2015-09-30;4.13125;
2015-10-31;3.954973;
2015-11-30;2.657222;
2015-12-31;3.468011;
2016-01-31;1.598656;
2016-02-29;2.725575;
2016-03-31;2.705242;
2016-04-30;3.608194;
2016-05-31;3.778763;
2016-06-30;3.677159;
2016-07-31;null;
2016-08-31;4.38871;
2016-09-30;4.223611;
2016-10-31;4.014919;
2016-11-30;3.609167;
2016-12-31;3.03078;
2017-01-31;2.85;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;4.573195;
2017-07-31;5.15336;
2017-08-31;4.451882;
2017-09-30;5.411806;
2017-10-31;4.640323;
2017-11-30;2.969306;
2017-12-31;2.542339;
2018-01-31;2.686559;
2018-02-28;1.908036;
2018-03-31;1.743683;
2018-04-30;2.651528;
2018-05-31;3.688441;
2018-06-30;4.034583;
2018-07-31;4.297043;
2018-08-31;4.138306;
2018-09-30;4.324445;
2018-10-31;3.189919;
2018-11-30;3.511111;
2018-12-31;2.163441;
2019-01-31;2.763306;
2019-02-28;1.770833;
2019-03-31;1.637748;
2019-04-30;1.910434;
2019-05-31;2.753763;
2019-06-30;4.094722;
2019-07-31;4.077419;
2019-08-31;4.725806;
2019-09-30;4.260278;
2019-10-31;3.980914;
2019-11-30;2.998249;
2019-12-31;3.122984;
2020-01-31;1.53172;
2020-02-29;1.634626;
2020-03-31;1.63293;
2020-04-30;2.164861;
2020-05-31;2.957393;
2020-06-30;3.413056;
2020-07-31;4.281872;
2020-08-31;4.464651;
2020-09-30;4.345149;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

