Nome: MORADA NOVA
Codigo Estacao: A332
Latitude: -5.0911111
Longitude: -38.36472222
Altitude: 92
Situacao: Operante
Data Inicial: 2007-08-23
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;null;
2007-09-30;3.254306;
2007-10-31;3.039031;
2007-11-30;3.180686;
2007-12-31;2.980552;
2008-01-31;2.620227;
2008-02-29;2.329109;
2008-03-31;1.51511;
2008-04-30;1.172089;
2008-05-31;1.199345;
2008-06-30;1.804426;
2008-07-31;2.436828;
2008-08-31;2.531855;
2008-09-30;2.764861;
2008-10-31;3.00336;
2008-11-30;2.974306;
2008-12-31;2.869267;
2009-01-31;2.513172;
2009-02-28;1.813393;
2009-03-31;1.482661;
2009-04-30;1.049444;
2009-05-31;.837789;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;2.56875;
2009-10-31;2.735919;
2009-11-30;2.964306;
2009-12-31;2.68871;
2010-01-31;1.982441;
2010-02-28;2.333184;
2010-03-31;2.207258;
2010-04-30;1.505556;
2010-05-31;.825;
2010-06-30;1.988056;
2010-07-31;2.153495;
2010-08-31;2.441263;
2010-09-30;2.839722;
2010-10-31;2.243145;
2010-11-30;2.513472;
2010-12-31;1.539113;
2011-01-31;1.142742;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;1.102151;
2011-06-30;1.435556;
2011-07-31;1.927957;
2011-08-31;1.95914;
2011-09-30;2.403472;
2011-10-31;2.189516;
2011-11-30;2.379695;
2011-12-31;null;
2012-01-31;null;
2012-02-29;1.859007;
2012-03-31;1.414113;
2012-04-30;1.577917;
2012-05-31;1.832124;
2012-06-30;1.776806;
2012-07-31;2.190323;
2012-08-31;2.544566;
2012-09-30;2.654841;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;2.414444;
2013-04-30;1.505972;
2013-05-31;1.460887;
2013-06-30;1.516288;
2013-07-31;1.695699;
2013-08-31;2.246908;
2013-09-30;2.965;
2013-10-31;3.046371;
2013-11-30;2.626806;
2013-12-31;2.53078;
2014-01-31;2.53871;
2014-02-28;2.069494;
2014-03-31;1.744758;
2014-04-30;1.259583;
2014-05-31;1.488844;
2014-06-30;2.069445;
2014-07-31;2.522984;
2014-08-31;2.862366;
2014-09-30;3.451389;
2014-10-31;3.713306;
2014-11-30;3.404155;
2014-12-31;3.683737;
2015-01-31;3.291059;
2015-02-28;2.692559;
2015-03-31;1.625672;
2015-04-30;1.704167;
2015-05-31;2.316935;
2015-06-30;2.289445;
2015-07-31;null;
2015-08-31;null;
2015-09-30;3.607222;
2015-10-31;3.75457;
2015-11-30;3.785278;
2015-12-31;3.501613;
2016-01-31;2.290457;
2016-02-29;1.992098;
2016-03-31;2.298522;
2016-04-30;1.859583;
2016-05-31;2.004301;
2016-06-30;2.442083;
2016-07-31;2.79086;
2016-08-31;null;
2016-09-30;null;
2016-10-31;3.726367;
2016-11-30;3.750417;
2016-12-31;3.383199;
2017-01-31;3.252957;
2017-02-28;2.69122;
2017-03-31;1.677957;
2017-04-30;1.519306;
2017-05-31;1.855376;
2017-06-30;2.443195;
2017-07-31;2.967339;
2017-08-31;2.688172;
2017-09-30;3.535139;
2017-10-31;3.716935;
2017-11-30;3.877778;
2017-12-31;3.662769;
2018-01-31;2.83172;
2018-02-28;2.176935;
2018-03-31;1.809274;
2018-04-30;1.46625;
2018-05-31;1.53293;
2018-06-30;2.139722;
2018-07-31;2.359274;
2018-08-31;2.611425;
2018-09-30;3.143333;
2018-10-31;3.497364;
2018-11-30;3.513195;
2018-12-31;2.575941;
2019-01-31;2.066532;
2019-02-28;1.448512;
2019-03-31;1.388172;
2019-04-30;1.285139;
2019-05-31;1.763038;
2019-06-30;2.066389;
2019-07-31;2.388575;
2019-08-31;2.753226;
2019-09-30;2.988194;
2019-10-31;3.094818;
2019-11-30;null;
2019-12-31;3.248936;
2020-01-31;2.12164;
2020-02-29;1.790086;
2020-03-31;1.12379;
2020-04-30;1.434444;
2020-05-31;1.562769;
2020-06-30;1.85692;
2020-07-31;2.064919;
2020-08-31;2.278495;
2020-09-30;2.78125;
2020-10-31;3.303898;
2020-11-30;3.274444;
2020-12-31;3.656855;
2021-01-31;3.358871;
2021-02-28;2.856373;
2021-03-31;1.911694;
2021-04-30;1.680278;
2021-05-31;1.552776;
2021-06-30;1.835139;
2021-07-31;2.377911;
2021-08-31;3.145664;
2021-09-30;3.136667;
2021-10-31;3.611185;
2021-11-30;3.801085;
2021-12-31;3.763277;
2022-01-31;1.959714;
2022-02-28;2.26677;
2022-03-31;1.701322;
2022-04-30;1.472711;
2022-05-31;1.47621;
2022-06-30;1.496818;
2022-07-31;1.760332;
2022-08-31;1.99657;
2022-09-30;2.545754;
2022-10-31;3.134144;
2022-11-30;3.320258;
2022-12-31;3.471125;

