Nome: SAO GONCALO
Codigo Estacao: A333
Latitude: -6.835777
Longitude: -38.311583
Altitude: 237.04
Situacao: Operante
Data Inicial: 2007-11-05
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;.969444;
2008-04-30;1.022083;
2008-05-31;1.253144;
2008-06-30;1.484464;
2008-07-31;1.881855;
2008-08-31;2.066532;
2008-09-30;2.333889;
2008-10-31;2.543011;
2008-11-30;2.251111;
2008-12-31;1.798118;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;1.718822;
2009-11-30;2.039976;
2009-12-31;1.858737;
2010-01-31;1.34031;
2010-02-28;1.599554;
2010-03-31;1.373656;
2010-04-30;1.175833;
2010-05-31;1.111559;
2010-06-30;1.664028;
2010-07-31;2.110618;
2010-08-31;2.444897;
2010-09-30;2.509445;
2010-10-31;1.778629;
2010-11-30;1.962917;
2010-12-31;1.649644;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;1.622043;
2011-11-30;1.535972;
2011-12-31;1.574328;
2012-01-31;1.531183;
2012-02-29;1.213218;
2012-03-31;1.159274;
2012-04-30;1.056111;
2012-05-31;1.277688;
2012-06-30;1.358472;
2012-07-31;1.772581;
2012-08-31;2.216648;
2012-09-30;2.18625;
2012-10-31;2.164721;
2012-11-30;1.676806;
2012-12-31;1.617204;
2013-01-31;1.320833;
2013-02-28;1.493452;
2013-03-31;1.283583;
2013-04-30;.935139;
2013-05-31;1.039382;
2013-06-30;1.085255;
2013-07-31;1.415995;
2013-08-31;1.962097;
2013-09-30;2.194722;
2013-10-31;2.076747;
2013-11-30;1.820417;
2013-12-31;1.616936;
2014-01-31;1.289516;
2014-02-28;1.115625;
2014-03-31;.956855;
2014-04-30;.841806;
2014-05-31;1.020564;
2014-06-30;1.456806;
2014-07-31;1.70457;
2014-08-31;2.028629;
2014-09-30;1.970833;
2014-10-31;2.181183;
2014-11-30;1.741528;
2014-12-31;1.800269;
2015-01-31;1.421289;
2015-02-28;1.148214;
2015-03-31;.806048;
2015-04-30;.714722;
2015-05-31;.972446;
2015-06-30;1.480278;
2015-07-31;1.852554;
2015-08-31;2.083199;
2015-09-30;2.150694;
2015-10-31;2.310349;
2015-11-30;2.3225;
2015-12-31;2.625538;
2016-01-31;1.62164;
2016-02-29;1.652586;
2016-03-31;1.484274;
2016-04-30;1.224444;
2016-05-31;1.301479;
2016-06-30;1.728056;
2016-07-31;2.441263;
2016-08-31;2.548147;
2016-09-30;2.646944;
2016-10-31;3.25282;
2016-11-30;null;
2016-12-31;null;
2017-01-31;2.253764;
2017-02-28;1.582589;
2017-03-31;1.194624;
2017-04-30;1.56;
2017-05-31;1.781989;
2017-06-30;2.301944;
2017-07-31;2.681317;
2017-08-31;2.889919;
2017-09-30;3.539444;
2017-10-31;3.491801;
2017-11-30;3.005972;
2017-12-31;2.940591;
2018-01-31;2.295699;
2018-02-28;1.547024;
2018-03-31;1.612903;
2018-04-30;1.323333;
2018-05-31;1.513038;
2018-06-30;1.796944;
2018-07-31;2.224597;
2018-08-31;2.428495;
2018-09-30;2.916667;
2018-10-31;2.500269;
2018-11-30;2.963472;
2018-12-31;1.871774;
2019-01-31;1.762233;
2019-02-28;null;
2019-03-31;1.243548;
2019-04-30;1.198194;
2019-05-31;1.284409;
2019-06-30;1.918472;
2019-07-31;2.2875;
2019-08-31;2.985484;
2019-09-30;2.942778;
2019-10-31;3.066801;
2019-11-30;2.673333;
2019-12-31;2.735753;
2020-01-31;1.590054;
2020-02-29;1.272414;
2020-03-31;1.011022;
2020-04-30;1.14625;
2020-05-31;1.303629;
2020-06-30;1.595314;
2020-07-31;2.245161;
2020-08-31;2.665726;
2020-09-30;2.732639;
2020-10-31;2.422984;
2020-11-30;2.165139;
2020-12-31;2.1;
2021-01-31;1.447715;
2021-02-28;1.058631;
2021-03-31;.52836;
2021-04-30;.344167;
2021-05-31;1.483737;
2021-06-30;1.620278;
2021-07-31;2.004839;
2021-08-31;2.598118;
2021-09-30;2.234306;
2021-10-31;2.157527;
2021-11-30;1.861317;
2021-12-31;2.063978;
2022-01-31;1.022581;
2022-02-28;1.012351;
2022-03-31;.521774;
2022-04-30;.590694;
2022-05-31;1.130511;
2022-06-30;1.052778;
2022-07-31;1.804704;
2022-08-31;1.971102;
2022-09-30;1.9775;
2022-10-31;1.926747;
2022-11-30;.789722;
2022-12-31;1.217339;

