Nome: MONTEIRO
Codigo Estacao: A334
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.39
Situacao: Operante
Data Inicial: 2007-08-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;null;
2007-09-30;3.375139;
2007-10-31;3.694121;
2007-11-30;4.310772;
2007-12-31;3.77379;
2008-01-31;3.354839;
2008-02-29;2.983937;
2008-03-31;1.932661;
2008-04-30;1.796667;
2008-05-31;1.540726;
2008-06-30;1.843527;
2008-07-31;2.185081;
2008-08-31;2.341129;
2008-09-30;2.950556;
2008-10-31;3.631855;
2008-11-30;4.133194;
2008-12-31;3.432392;
2009-01-31;3.018771;
2009-02-28;2.488839;
2009-03-31;2.520564;
2009-04-30;1.764583;
2009-05-31;1.595699;
2009-06-30;1.754722;
2009-07-31;1.928763;
2009-08-31;2.243548;
2009-09-30;3.047361;
2009-10-31;3.333583;
2009-11-30;3.878472;
2009-12-31;3.688575;
2010-01-31;3.002823;
2010-02-28;2.904911;
2010-03-31;2.793385;
2010-04-30;2.208194;
2010-05-31;1.969086;
2010-06-30;1.96875;
2010-07-31;2.239919;
2010-08-31;2.520161;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;3.936944;
2011-12-31;4.147984;
2012-01-31;3.412634;
2012-02-29;3.045402;
2012-03-31;3.1625;
2012-04-30;2.803056;
2012-05-31;2.859677;
2012-06-30;2.547083;
2012-07-31;2.605108;
2012-08-31;3.212692;
2012-09-30;3.661805;
2012-10-31;4.075672;
2012-11-30;4.564861;
2012-12-31;4.087231;
2013-01-31;3.824194;
2013-02-28;3.952381;
2013-03-31;3.503056;
2013-04-30;2.812778;
2013-05-31;2.253091;
2013-06-30;2.257639;
2013-07-31;2.336852;
2013-08-31;3.017608;
2013-09-30;3.619722;
2013-10-31;4.197446;
2013-11-30;4.461528;
2013-12-31;4.12836;
2014-01-31;3.388038;
2014-02-28;3.02872;
2014-03-31;2.737231;
2014-04-30;2.072083;
2014-05-31;1.979301;
2014-06-30;2.201667;
2014-07-31;2.546102;
2014-08-31;2.866528;
2014-09-30;null;
2014-10-31;null;
2014-11-30;3.932917;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;3.145673;
2015-04-30;2.612639;
2015-05-31;2.813979;
2015-06-30;2.471528;
2015-07-31;2.49664;
2015-08-31;2.785753;
2015-09-30;3.848333;
2015-10-31;4.013172;
2015-11-30;4.438194;
2015-12-31;4.003763;
2016-01-31;null;
2016-02-29;null;
2016-03-31;2.738021;
2016-04-30;2.527222;
2016-05-31;2.299731;
2016-06-30;2.691111;
2016-07-31;2.915726;
2016-08-31;3.049866;
2016-09-30;3.559306;
2016-10-31;4.367654;
2016-11-30;4.523056;
2016-12-31;4.037769;
2017-01-31;3.364113;
2017-02-28;3.343452;
2017-03-31;2.717204;
2017-04-30;2.35625;
2017-05-31;2.355108;
2017-06-30;2.392778;
2017-07-31;2.993414;
2017-08-31;2.512366;
2017-09-30;3.447778;
2017-10-31;3.813978;
2017-11-30;4.520833;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;1.740417;
2018-05-31;2.003226;
2018-06-30;2.47375;
2018-07-31;2.67285;
2018-08-31;3.019624;
2018-09-30;3.492639;
2018-10-31;3.940591;
2018-11-30;4.132778;
2018-12-31;3.284543;
2019-01-31;2.762231;
2019-02-28;2.57753;
2019-03-31;2.249597;
2019-04-30;1.889583;
2019-05-31;1.953629;
2019-06-30;2.283056;
2019-07-31;2.56371;
2019-08-31;2.758468;
2019-09-30;3.408333;
2019-10-31;3.900672;
2019-11-30;3.900139;
2019-12-31;3.789247;
2020-01-31;3.166801;
2020-02-29;2.501437;
2020-03-31;1.593344;
2020-04-30;1.76125;
2020-05-31;1.652823;
2020-06-30;1.965694;
2020-07-31;2.273118;
2020-08-31;2.651075;
2020-09-30;2.934167;
2020-10-31;3.815323;
2020-11-30;3.514583;
2020-12-31;4.086156;
2021-01-31;3.460753;
2021-02-28;3.284673;
2021-03-31;2.671469;
2021-04-30;2.163056;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;4.470402;
2022-01-31;2.788979;
2022-02-28;3.145102;
2022-03-31;2.090054;
2022-04-30;1.760646;
2022-05-31;1.919829;
2022-06-30;1.708746;
2022-07-31;2.405715;
2022-08-31;1.763936;
2022-09-30;.230898;
2022-10-31;.762138;
2022-11-30;.323551;
2022-12-31;.465616;

