Nome: PIRIPIRI
Codigo Estacao: A335
Latitude: -4.2761111
Longitude: -41.79444444
Altitude: 157.89
Situacao: Operante
Data Inicial: 2007-08-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;null;
2007-09-30;2.206806;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;1.190907;
2008-04-30;1.331806;
2008-05-31;1.39498;
2008-06-30;1.515386;
2008-07-31;1.896774;
2008-08-31;1.780645;
2008-09-30;2.096389;
2008-10-31;2.469355;
2008-11-30;2.230694;
2008-12-31;1.933579;
2009-01-31;1.706855;
2009-02-28;1.513542;
2009-03-31;1.226747;
2009-04-30;1.260543;
2009-05-31;1.129301;
2009-06-30;1.562669;
2009-07-31;1.538306;
2009-08-31;1.848253;
2009-09-30;2.153333;
2009-10-31;2.023933;
2009-11-30;2.143472;
2009-12-31;2.067339;
2010-01-31;1.62066;
2010-02-28;2.032589;
2010-03-31;1.531855;
2010-04-30;1.366667;
2010-05-31;1.179839;
2010-06-30;1.3825;
2010-07-31;1.38078;
2010-08-31;1.462366;
2010-09-30;1.807639;
2010-10-31;1.679032;
2010-11-30;1.438056;
2010-12-31;1.367876;
2011-01-31;1.150134;
2011-02-28;1.089435;
2011-03-31;1.048186;
2011-04-30;.996667;
2011-05-31;1.128629;
2011-06-30;1.224861;
2011-07-31;1.28871;
2011-08-31;null;
2011-09-30;null;
2011-10-31;1.606989;
2011-11-30;1.411993;
2011-12-31;1.585618;
2012-01-31;1.462459;
2012-02-29;1.413333;
2012-03-31;1.273377;
2012-04-30;1.255972;
2012-05-31;1.497715;
2012-06-30;1.31375;
2012-07-31;1.393817;
2012-08-31;1.84639;
2012-09-30;2.05125;
2012-10-31;2.031989;
2012-11-30;1.554306;
2012-12-31;1.679839;
2013-01-31;1.35914;
2013-02-28;1.302232;
2013-03-31;1.289064;
2013-04-30;.937355;
2013-05-31;1.03172;
2013-06-30;1.197475;
2013-07-31;1.553763;
2013-08-31;1.772715;
2013-09-30;2.260417;
2013-10-31;2.326747;
2013-11-30;2.149583;
2013-12-31;1.991532;
2014-01-31;1.691935;
2014-02-28;1.219792;
2014-03-31;1.221774;
2014-04-30;.995935;
2014-05-31;1.008871;
2014-06-30;1.143056;
2014-07-31;1.519489;
2014-08-31;1.810753;
2014-09-30;1.921389;
2014-10-31;2.375538;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;1.433737;
2015-04-30;1.505278;
2015-05-31;1.327016;
2015-06-30;1.472361;
2015-07-31;2.011962;
2015-08-31;2.020833;
2015-09-30;2.283056;
2015-10-31;2.355779;
2015-11-30;2.3;
2015-12-31;2.517795;
2016-01-31;1.785618;
2016-02-29;1.574138;
2016-03-31;1.390726;
2016-04-30;1.608056;
2016-05-31;1.384946;
2016-06-30;1.634375;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;2.672177;
2016-11-30;2.624306;
2016-12-31;2.22957;
2017-01-31;2.028629;
2017-02-28;1.749443;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;2.476528;
2018-01-31;1.943683;
2018-02-28;1.746429;
2018-03-31;1.603091;
2018-04-30;1.476667;
2018-05-31;1.503763;
2018-06-30;1.691111;
2018-07-31;1.87379;
2018-08-31;1.955242;
2018-09-30;2.317917;
2018-10-31;2.311156;
2018-11-30;2.29;
2018-12-31;1.907796;
2019-01-31;1.802957;
2019-02-28;1.610417;
2019-03-31;1.558102;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;2.228629;
2020-01-31;1.633602;
2020-02-29;1.516954;
2020-03-31;1.519355;
2020-04-30;1.541528;
2020-05-31;1.47836;
2020-06-30;1.879306;
2020-07-31;1.945161;
2020-08-31;2.20121;
2020-09-30;2.2275;
2020-10-31;2.445027;
2020-11-30;1.883194;
2020-12-31;2.00578;
2021-01-31;1.775269;
2021-02-28;1.713244;
2021-03-31;1.514113;
2021-04-30;1.628194;
2021-05-31;1.599059;
2021-06-30;1.643611;
2021-07-31;1.736559;
2021-08-31;1.980914;
2021-09-30;2.158472;
2021-10-31;2.193414;
2021-11-30;1.993056;
2021-12-31;1.978898;
2022-01-31;1.6625;
2022-02-28;null;
2022-03-31;1.464516;
2022-04-30;1.438611;
2022-05-31;1.727016;
2022-06-30;1.707639;
2022-07-31;1.899194;
2022-08-31;1.90793;
2022-09-30;2.137403;
2022-10-31;2.285668;
2022-11-30;1.863198;
2022-12-31;1.937891;

