Nome: ESPERANTINA
Codigo Estacao: A338
Latitude: -3.89944444
Longitude: -42.25944444
Altitude: 88
Situacao: Desativada
Data Inicial: 2007-12-02
Data Final: 2018-11-19
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-12-31;1.963542;
2008-01-31;1.536962;
2008-02-29;1.310259;
2008-03-31;.891503;
2008-04-30;1.077083;
2008-05-31;1.03331;
2008-06-30;1.10538;
2008-07-31;1.288172;
2008-08-31;1.618683;
2008-09-30;1.950833;
2008-10-31;2.287634;
2008-11-30;2.353889;
2008-12-31;2.016398;
2009-01-31;1.778407;
2009-02-28;1.378125;
2009-03-31;1.23629;
2009-04-30;1.090833;
2009-05-31;.960887;
2009-06-30;1.055833;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;2.249826;
2009-11-30;2.060278;
2009-12-31;1.788441;
2010-01-31;1.357906;
2010-02-28;1.372321;
2010-03-31;1.330511;
2010-04-30;1.05625;
2010-05-31;1.100672;
2010-06-30;1.134028;
2010-07-31;1.390591;
2010-08-31;1.600931;
2010-09-30;1.742657;
2010-10-31;null;
2010-11-30;null;
2010-12-31;1.41586;
2011-01-31;1.168683;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;.83414;
2011-06-30;.915556;
2011-07-31;1.018952;
2011-08-31;1.369086;
2011-09-30;1.604722;
2011-10-31;1.665833;
2011-11-30;1.347639;
2011-12-31;1.791935;
2012-01-31;1.498784;
2012-02-29;1.175719;
2012-03-31;1.102724;
2012-04-30;null;
2012-05-31;1.155645;
2012-06-30;1.180278;
2012-07-31;1.324866;
2012-08-31;1.482815;
2012-09-30;1.799861;
2012-10-31;2.021774;
2012-11-30;2.278194;
2012-12-31;1.919758;
2013-01-31;1.516935;
2013-02-28;1.446131;
2013-03-31;1.297861;
2013-04-30;.925972;
2013-05-31;.824731;
2013-06-30;.983737;
2013-07-31;1.05793;
2013-08-31;1.458333;
2013-09-30;1.657083;
2013-10-31;2.006317;
2013-11-30;1.723194;
2013-12-31;1.674936;
2014-01-31;1.400538;
2014-02-28;.940774;
2014-03-31;.89207;
2014-04-30;.740972;
2014-05-31;.59086;
2014-06-30;.775556;
2014-07-31;.963575;
2014-08-31;1.295699;
2014-09-30;1.60375;
2014-10-31;1.669893;
2014-11-30;1.645278;
2014-12-31;1.602823;
2015-01-31;1.536022;
2015-02-28;1.003423;
2015-03-31;.735215;
2015-04-30;.747639;
2015-05-31;.68414;
2015-06-30;.730972;
2015-07-31;1.091801;
2015-08-31;1.512769;
2015-09-30;1.92125;
2015-10-31;2.093145;
2015-11-30;2.302778;
2015-12-31;2.378155;
2016-01-31;1.433015;
2016-02-29;.925431;
2016-03-31;.827285;
2016-04-30;.675351;
2016-05-31;.740726;
2016-06-30;.855972;
2016-07-31;1.096371;
2016-08-31;1.475134;
2016-09-30;1.756806;
2016-10-31;1.764154;
2016-11-30;1.823967;
2016-12-31;null;
2017-01-31;1.532396;
2017-02-28;.804613;
2017-03-31;.698656;
2017-04-30;.362917;
2017-05-31;null;
2017-06-30;null;
2017-07-31;.831317;
2017-08-31;.701344;
2017-09-30;1.041389;
2017-10-31;1.336559;
2017-11-30;1.216944;
2017-12-31;1.21828;
2018-01-31;.718414;
2018-02-28;.754315;
2018-03-31;.484274;
2018-04-30;.380833;
2018-05-31;.201344;
2018-06-30;.251528;
2018-07-31;.314247;
2018-08-31;.387097;
2018-09-30;.608611;
2018-10-31;.755108;
2018-11-30;null;

