Nome: APODI
Codigo Estacao: A340
Latitude: -5.62666666
Longitude: -37.815
Altitude: 131.41
Situacao: Operante
Data Inicial: 2007-11-13
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;
2007-12-31;3.983631;
2008-01-31;3.372043;
2008-02-29;2.992385;
2008-03-31;1.991719;
2008-04-30;1.723194;
2008-05-31;1.871798;
2008-06-30;2.312736;
2008-07-31;2.646909;
2008-08-31;3.158737;
2008-09-30;3.561389;
2008-10-31;3.926344;
2008-11-30;3.845556;
2008-12-31;3.672312;
2009-01-31;3.308737;
2009-02-28;2.328423;
2009-03-31;1.987097;
2009-04-30;1.544583;
2009-05-31;1.514785;
2009-06-30;2.01125;
2009-07-31;2.263727;
2009-08-31;2.655645;
2009-09-30;2.93375;
2009-10-31;3.435632;
2009-11-30;3.753472;
2009-12-31;3.412366;
2010-01-31;2.45722;
2010-02-28;2.725595;
2010-03-31;2.618817;
2010-04-30;1.887222;
2010-05-31;2.040726;
2010-06-30;2.794583;
2010-07-31;3.448118;
2010-08-31;3.967876;
2010-09-30;null;
2010-10-31;null;
2010-11-30;3.766528;
2010-12-31;2.89086;
2011-01-31;2.136425;
2011-02-28;1.895089;
2011-03-31;1.493945;
2011-04-30;1.475695;
2011-05-31;1.743689;
2011-06-30;1.862361;
2011-07-31;2.627151;
2011-08-31;2.729301;
2011-09-30;3.642639;
2011-10-31;3.21707;
2011-11-30;3.244444;
2011-12-31;3.588306;
2012-01-31;3.23241;
2012-02-29;2.386925;
2012-03-31;2.395027;
2012-04-30;2.550139;
2012-05-31;2.919536;
2012-06-30;2.943358;
2012-07-31;3.56035;
2012-08-31;4.152652;
2012-09-30;3.792639;
2012-10-31;3.969016;
2012-11-30;4.047083;
2012-12-31;3.934946;
2013-01-31;3.702016;
2013-02-28;3.73631;
2013-03-31;3.512066;
2013-04-30;null;
2013-05-31;null;
2013-06-30;2.156768;
2013-07-31;2.502828;
2013-08-31;3.238306;
2013-09-30;3.896667;
2013-10-31;4.127554;
2013-11-30;3.728056;
2013-12-31;3.892876;
2014-01-31;3.528226;
2014-02-28;3.073958;
2014-03-31;2.715188;
2014-04-30;1.932597;
2014-05-31;1.76129;
2014-06-30;2.424722;
2014-07-31;2.574597;
2014-08-31;3.472715;
2014-09-30;3.795417;
2014-10-31;4.142339;
2014-11-30;3.639444;
2014-12-31;4.155108;
2015-01-31;3.708117;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;2.794599;
2015-06-30;2.901667;
2015-07-31;3.483871;
2015-08-31;3.779301;
2015-09-30;3.795;
2015-10-31;3.919624;
2015-11-30;null;
2015-12-31;3.678395;
2016-01-31;2.321102;
2016-02-29;2.002155;
2016-03-31;2.358807;
2016-04-30;2.394167;
2016-05-31;2.426075;
2016-06-30;2.67507;
2016-07-31;null;
2016-08-31;3.306316;
2016-09-30;3.647361;
2016-10-31;3.725321;
2016-11-30;null;
2016-12-31;null;
2017-01-31;2.461694;
2017-02-28;2.376623;
2017-03-31;1.161161;
2017-04-30;1.653393;
2017-05-31;null;
2017-06-30;2.486138;
2017-07-31;2.906073;
2017-08-31;2.582258;
2017-09-30;3.193937;
2017-10-31;2.532246;
2017-11-30;1.672778;
2017-12-31;1.391935;
2018-01-31;1.140726;
2018-02-28;.577226;
2018-03-31;.326315;
2018-04-30;.074869;
2018-05-31;null;
2018-06-30;null;
2018-07-31;.542419;
2018-08-31;.729747;
2018-09-30;.876475;
2018-10-31;.964839;
2018-11-30;1.180172;
2018-12-31;.679032;
2019-01-31;.330289;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;3.409925;
2019-09-30;3.381528;
2019-10-31;3.612292;
2019-11-30;3.745615;
2019-12-31;3.775672;
2020-01-31;2.876952;
2020-02-29;2.121735;
2020-03-31;1.562007;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;2.477796;
2020-08-31;2.83525;
2020-09-30;3.241865;
2020-10-31;3.300937;
2020-11-30;3.304481;
2020-12-31;3.55336;
2021-01-31;3.290531;
2021-02-28;2.861187;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;1.85528;
2021-07-31;2.659755;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;3.145;
2022-10-31;3.483602;
2022-11-30;2.969167;
2022-12-31;3.165591;

