Nome: CARUARU
Codigo Estacao: A341
Latitude: -8.36527777
Longitude: -36.02833332
Altitude: 852
Situacao: Pane
Data Inicial: 2007-11-20
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;2.077688;
2008-04-30;1.954444;
2008-05-31;2.937465;
2008-06-30;3.46661;
2008-07-31;3.708333;
2008-08-31;3.529032;
2008-09-30;3.459028;
2008-10-31;3.916398;
2008-11-30;3.598611;
2008-12-31;3.463575;
2009-01-31;3.414247;
2009-02-28;2.643304;
2009-03-31;2.31707;
2009-04-30;2.289583;
2009-05-31;2.467742;
2009-06-30;2.897222;
2009-07-31;2.828091;
2009-08-31;2.964113;
2009-09-30;2.788611;
2009-10-31;3.198276;
2009-11-30;3.186944;
2009-12-31;3.093952;
2010-01-31;2.365092;
2010-02-28;2.806399;
2010-03-31;2.610349;
2010-04-30;2.642639;
2010-05-31;2.919489;
2010-06-30;2.985;
2010-07-31;3.35336;
2010-08-31;3.583176;
2010-09-30;3.426932;
2010-10-31;3.104436;
2010-11-30;3.145;
2010-12-31;2.981317;
2011-01-31;2.441935;
2011-02-28;null;
2011-03-31;2.061489;
2011-04-30;2.429028;
2011-05-31;2.690726;
2011-06-30;2.754191;
2011-07-31;null;
2011-08-31;null;
2011-09-30;3.366935;
2011-10-31;2.855914;
2011-11-30;2.850417;
2011-12-31;3.257796;
2012-01-31;3.047043;
2012-02-29;2.939799;
2012-03-31;2.764785;
2012-04-30;2.770139;
2012-05-31;2.832124;
2012-06-30;2.760833;
2012-07-31;2.76586;
2012-08-31;3.554608;
2012-09-30;3.478333;
2012-10-31;3.59664;
2012-11-30;3.666111;
2012-12-31;3.068548;
2013-01-31;2.999059;
2013-02-28;3.052083;
2013-03-31;null;
2013-04-30;null;
2013-05-31;2.212366;
2013-06-30;2.174103;
2013-07-31;2.423925;
2013-08-31;2.910618;
2013-09-30;3.193422;
2013-10-31;3.349462;
2013-11-30;3.351171;
2013-12-31;3.620699;
2014-01-31;3.444893;
2014-02-28;2.929167;
2014-03-31;2.838306;
2014-04-30;2.567083;
2014-05-31;2.804699;
2014-06-30;null;
2014-07-31;null;
2014-08-31;3.519489;
2014-09-30;3.5525;
2014-10-31;3.460081;
2014-11-30;3.428056;
2014-12-31;3.519624;
2015-01-31;3.467952;
2015-02-28;3.240923;
2015-03-31;3.056452;
2015-04-30;2.980556;
2015-05-31;2.87043;
2015-06-30;2.845972;
2015-07-31;3.047446;
2015-08-31;3.48172;
2015-09-30;3.038611;
2015-10-31;3.516667;
2015-11-30;3.774444;
2015-12-31;3.328091;
2016-01-31;2.915457;
2016-02-29;3.022988;
2016-03-31;2.912634;
2016-04-30;3.063889;
2016-05-31;2.943145;
2016-06-30;3.006528;
2016-07-31;3.501882;
2016-08-31;3.286425;
2016-09-30;3.505;
2016-10-31;3.932655;
2016-11-30;3.77875;
2016-12-31;3.863038;
2017-01-31;3.519892;
2017-02-28;3.212054;
2017-03-31;3.265591;
2017-04-30;3.229167;
2017-05-31;3.113844;
2017-06-30;3.2075;
2017-07-31;4.282258;
2017-08-31;3.264382;
2017-09-30;null;
2017-10-31;null;
2017-11-30;3.38125;
2017-12-31;3.369355;
2018-01-31;3.169086;
2018-02-28;2.902381;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;3.205779;
2018-09-30;3.742639;
2018-10-31;3.413844;
2018-11-30;3.305139;
2018-12-31;3.078495;
2019-01-31;3.042607;
2019-02-28;2.648214;
2019-03-31;2.808602;
2019-04-30;2.519306;
2019-05-31;2.635484;
2019-06-30;2.952222;
2019-07-31;3.00121;
2019-08-31;3.309274;
2019-09-30;3.188056;
2019-10-31;3.365995;
2019-11-30;2.922917;
2019-12-31;2.839651;
2020-01-31;2.43293;
2020-02-29;2.425431;
2020-03-31;2.213844;
2020-04-30;2.366667;
2020-05-31;2.532661;
2020-06-30;3.001667;
2020-07-31;3.238441;
2020-08-31;3.164516;
2020-09-30;3.131667;
2020-10-31;3.197043;
2020-11-30;2.896528;
2020-12-31;2.592876;
2021-01-31;2.4539;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;2.489352;
2022-07-31;2.744624;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

