Nome: CRATEUS
Codigo Estacao: A342
Latitude: -5.18666666
Longitude: -40.67222221
Altitude: 298.19
Situacao: Operante
Data Inicial: 2008-12-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;1.598656;
2009-04-30;1.405833;
2009-05-31;1.338575;
2009-06-30;1.673889;
2009-07-31;1.933871;
2009-08-31;2.112903;
2009-09-30;2.636111;
2009-10-31;2.520402;
2009-11-30;3.004306;
2009-12-31;2.821505;
2010-01-31;1.957234;
2010-02-28;2.660417;
2010-03-31;2.170785;
2010-04-30;null;
2010-05-31;1.803922;
2010-06-30;2.333131;
2010-07-31;2.350403;
2010-08-31;2.334813;
2010-09-30;2.58253;
2010-10-31;2.38712;
2010-11-30;2.480195;
2010-12-31;2.02552;
2011-01-31;1.62985;
2011-02-28;1.626372;
2011-03-31;1.56566;
2011-04-30;1.543472;
2011-05-31;1.580242;
2011-06-30;1.765574;
2011-07-31;1.962769;
2011-08-31;1.975537;
2011-09-30;2.194745;
2011-10-31;2.299893;
2011-11-30;2.396274;
2011-12-31;2.536407;
2012-01-31;2.448253;
2012-02-29;2.020259;
2012-03-31;1.891114;
2012-04-30;1.715779;
2012-05-31;2.005072;
2012-06-30;1.992361;
2012-07-31;2.083871;
2012-08-31;2.355664;
2012-09-30;2.511806;
2012-10-31;2.611267;
2012-11-30;2.572917;
2012-12-31;2.396909;
2013-01-31;2.254839;
2013-02-28;2.263542;
2013-03-31;2.17123;
2013-04-30;1.837964;
2013-05-31;1.808468;
2013-06-30;1.787058;
2013-07-31;1.965054;
2013-08-31;2.145699;
2013-09-30;2.636341;
2013-10-31;2.794505;
2013-11-30;3.022222;
2013-12-31;2.570915;
2014-01-31;2.114703;
2014-02-28;2.02128;
2014-03-31;1.891667;
2014-04-30;1.52375;
2014-05-31;1.639516;
2014-06-30;2.159994;
2014-07-31;2.407258;
2014-08-31;2.381855;
2014-09-30;2.735833;
2014-10-31;3.093133;
2014-11-30;2.605779;
2014-12-31;2.719489;
2015-01-31;2.258591;
2015-02-28;2.109165;
2015-03-31;1.696272;
2015-04-30;1.587234;
2015-05-31;1.669355;
2015-06-30;1.92;
2015-07-31;2.298656;
2015-08-31;2.332824;
2015-09-30;2.595243;
2015-10-31;2.842407;
2015-11-30;2.830525;
2015-12-31;2.834374;
2016-01-31;1.870255;
2016-02-29;1.757003;
2016-03-31;1.767003;
2016-04-30;1.791787;
2016-05-31;1.709666;
2016-06-30;null;
2016-07-31;null;
2016-08-31;2.170226;
2016-09-30;2.395329;
2016-10-31;2.743591;
2016-11-30;2.889191;
2016-12-31;2.322302;
2017-01-31;2.095985;
2017-02-28;2.011012;
2017-03-31;1.69737;
2017-04-30;1.470278;
2017-05-31;1.780107;
2017-06-30;2.132017;
2017-07-31;2.564734;
2017-08-31;2.018112;
2017-09-30;2.581787;
2017-10-31;2.895023;
2017-11-30;2.696945;
2017-12-31;2.645039;
2018-01-31;2.304885;
2018-02-28;1.891341;
2018-03-31;1.690165;
2018-04-30;1.465417;
2018-05-31;1.703191;
2018-06-30;1.866753;
2018-07-31;1.843793;
2018-08-31;1.96458;
2018-09-30;2.441443;
2018-10-31;2.383268;
2018-11-30;2.599321;
2018-12-31;1.711353;
2019-01-31;1.920356;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;1.569348;
2019-06-30;1.766812;
2019-07-31;null;
2019-08-31;null;
2019-09-30;2.376945;
2019-10-31;2.505891;
2019-11-30;2.482409;
2019-12-31;2.485612;
2020-01-31;1.82341;
2020-02-29;1.526905;
2020-03-31;1.443683;
2020-04-30;1.501377;
2020-05-31;1.467308;
2020-06-30;1.919555;
2020-07-31;2.015913;
2020-08-31;2.152407;
2020-09-30;2.24836;
2020-10-31;2.54884;
2020-11-30;2.111178;
2020-12-31;2.318648;
2021-01-31;2.0927;
2021-02-28;1.750214;
2021-03-31;1.663914;
2021-04-30;1.758606;
2021-05-31;1.736949;
2021-06-30;1.823832;
2021-07-31;2.175053;
2021-08-31;2.279479;
2021-09-30;2.446425;
2021-10-31;2.509621;
2021-11-30;2.363811;
2021-12-31;2.59403;
2022-01-31;1.694011;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;2.395;
2022-10-31;2.633871;
2022-11-30;1.997917;
2022-12-31;2.128559;

