Nome: PICOS
Codigo Estacao: A343
Latitude: -7.0711111
Longitude: -41.40416666
Altitude: 232.91
Situacao: Operante
Data Inicial: 2008-12-11
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;1.407083;
2009-05-31;1.426613;
2009-06-30;1.861806;
2009-07-31;2.23293;
2009-08-31;2.768952;
2009-09-30;2.685556;
2009-10-31;2.382328;
2009-11-30;2.638889;
2009-12-31;2.104704;
2010-01-31;1.834213;
2010-02-28;2.115625;
2010-03-31;1.634543;
2010-04-30;1.505;
2010-05-31;1.782258;
2010-06-30;2.49125;
2010-07-31;2.744238;
2010-08-31;null;
2010-09-30;null;
2010-10-31;2.42381;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;1.43679;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;2.985618;
2012-11-30;2.415695;
2012-12-31;2.180376;
2013-01-31;1.971333;
2013-02-28;2.184375;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;3.049866;
2013-11-30;2.660833;
2013-12-31;2.275134;
2014-01-31;2.102151;
2014-02-28;1.821814;
2014-03-31;1.69664;
2014-04-30;1.670695;
2014-05-31;2.016801;
2014-06-30;2.615122;
2014-07-31;null;
2014-08-31;null;
2014-09-30;2.842083;
2014-10-31;2.930242;
2014-11-30;2.413056;
2014-12-31;2.21922;
2015-01-31;1.971429;
2015-02-28;1.683983;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;2.686805;
2015-10-31;2.940457;
2015-11-30;2.560139;
2015-12-31;2.725;
2016-01-31;null;
2016-02-29;null;
2016-03-31;1.616518;
2016-04-30;1.96;
2016-05-31;2.01129;
2016-06-30;2.426667;
2016-07-31;2.881972;
2016-08-31;2.843677;
2016-09-30;2.812361;
2016-10-31;2.820699;
2016-11-30;2.911667;
2016-12-31;2.236021;
2017-01-31;2.008602;
2017-02-28;1.75253;
2017-03-31;1.632527;
2017-04-30;1.848333;
2017-05-31;2.110349;
2017-06-30;2.75125;
2017-07-31;3.662588;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;2.473333;
2017-12-31;2.167204;
2018-01-31;1.812769;
2018-02-28;1.650298;
2018-03-31;1.556989;
2018-04-30;1.747778;
2018-05-31;2.063172;
2018-06-30;2.380972;
2018-07-31;2.558052;
2018-08-31;2.613844;
2018-09-30;2.613333;
2018-10-31;2.301478;
2018-11-30;2.351944;
2018-12-31;1.661559;
2019-01-31;1.676613;
2019-02-28;1.54628;
2019-03-31;1.477016;
2019-04-30;1.341667;
2019-05-31;1.596774;
2019-06-30;2.075366;
2019-07-31;2.392608;
2019-08-31;2.609379;
2019-09-30;2.535694;
2019-10-31;2.451479;
2019-11-30;2.160139;
2019-12-31;2.056989;
2020-01-31;1.493011;
2020-02-29;1.496264;
2020-03-31;1.402957;
2020-04-30;1.342537;
2020-05-31;1.531198;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

