Nome: URUCUI
Codigo Estacao: A346
Latitude: -7.44138888
Longitude: -44.34499999
Altitude: 398.83
Situacao: Operante
Data Inicial: 2008-03-05
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;.740972;
2008-04-30;.909306;
2008-05-31;1.327951;
2008-06-30;1.822549;
2008-07-31;2.18414;
2008-08-31;2.121909;
2008-09-30;2.0625;
2008-10-31;1.885081;
2008-11-30;.884305;
2008-12-31;.756183;
2009-01-31;.898387;
2009-02-28;.669792;
2009-03-31;.616263;
2009-04-30;.674305;
2009-05-31;1.017608;
2009-06-30;1.364306;
2009-07-31;1.614785;
2009-08-31;1.902823;
2009-09-30;1.308056;
2009-10-31;.90273;
2009-11-30;.92375;
2009-12-31;.907527;
2010-01-31;.90192;
2010-02-28;.857143;
2010-03-31;.722177;
2010-04-30;.875972;
2010-05-31;.786828;
2010-06-30;1.440139;
2010-07-31;1.984409;
2010-08-31;1.950857;
2010-09-30;2.16875;
2010-10-31;.990054;
2010-11-30;.806667;
2010-12-31;.865054;
2011-01-31;.653629;
2011-02-28;.303875;
2011-03-31;.01511;
2011-04-30;.028333;
2011-05-31;.036021;
2011-06-30;.025833;
2011-07-31;1.063844;
2011-08-31;1.622715;
2011-09-30;1.917639;
2011-10-31;null;
2011-11-30;null;
2011-12-31;.887097;
2012-01-31;.715726;
2012-02-29;.696695;
2012-03-31;.356048;
2012-04-30;.506528;
2012-05-31;.718414;
2012-06-30;.897222;
2012-07-31;1.623387;
2012-08-31;2.102093;
2012-09-30;1.774444;
2012-10-31;1.50914;
2012-11-30;.816389;
2012-12-31;.728226;
2013-01-31;.638844;
2013-02-28;.479464;
2013-03-31;.424361;
2013-04-30;.599583;
2013-05-31;.693683;
2013-06-30;.718207;
2013-07-31;1.055645;
2013-08-31;1.345699;
2013-09-30;1.590139;
2013-10-31;1.405242;
2013-11-30;1.007083;
2013-12-31;.783199;
2014-01-31;.594086;
2014-02-28;.470536;
2014-03-31;.515457;
2014-04-30;.37875;
2014-05-31;.538441;
2014-06-30;.827222;
2014-07-31;1.10672;
2014-08-31;1.293011;
2014-09-30;.948889;
2014-10-31;1.254167;
2014-11-30;1.071389;
2014-12-31;.863978;
2015-01-31;.506399;
2015-02-28;.459077;
2015-03-31;.480108;
2015-04-30;.375278;
2015-05-31;.443145;
2015-06-30;.783472;
2015-07-31;.969624;
2015-08-31;1.272177;
2015-09-30;.844861;
2015-10-31;1.00914;
2015-11-30;.633889;
2015-12-31;.815188;
2016-01-31;.808737;
2016-02-29;.676868;
2016-03-31;.419355;
2016-04-30;.704028;
2016-05-31;.702285;
2016-06-30;.865;
2016-07-31;1.177016;
2016-08-31;1.137366;
2016-09-30;.88375;
2016-10-31;1.011039;
2016-11-30;.96;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;.153495;
2017-04-30;.433333;
2017-05-31;.42379;
2017-06-30;.872639;
2017-07-31;1.445565;
2017-08-31;1.186156;
2017-09-30;2.296528;
2017-10-31;1.816478;
2017-11-30;.890652;
2017-12-31;.447043;
2018-01-31;.227823;
2018-02-28;.238988;
2018-03-31;.339919;
2018-04-30;.579444;
2018-05-31;.717473;
2018-06-30;1.33625;
2018-07-31;1.288575;
2018-08-31;1.346505;
2018-09-30;1.064861;
2018-10-31;.938038;
2018-11-30;.733611;
2018-12-31;.589785;
2019-01-31;.343683;
2019-02-28;.286458;
2019-03-31;.269355;
2019-04-30;.223333;
2019-05-31;.235618;
2019-06-30;.783333;
2019-07-31;1.198118;
2019-08-31;1.818817;
2019-09-30;1.431667;
2019-10-31;1.142876;
2019-11-30;.666667;
2019-12-31;.672849;
2020-01-31;.353226;
2020-02-29;.193391;
2020-03-31;.322312;
2020-04-30;.285972;
2020-05-31;.32164;
2020-06-30;.608056;
2020-07-31;.828629;
2020-08-31;1.100807;
2020-09-30;1.054966;
2020-10-31;.597628;
2020-11-30;.605536;
2020-12-31;.355242;
2021-01-31;.209797;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;1.042473;
2022-09-30;.884722;
2022-10-31;.816801;
2022-11-30;.511806;
2022-12-31;.380511;

