Nome: IBIMIRIM
Codigo Estacao: A349
Latitude: -8.50944444
Longitude: -37.71166666
Altitude: 434.23
Situacao: Operante
Data Inicial: 2008-10-13
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-10-31;null;
2008-11-30;2.814034;
2008-12-31;2.63871;
2009-01-31;2.714949;
2009-02-28;2.431994;
2009-03-31;2.231183;
2009-04-30;1.918889;
2009-05-31;2.213575;
2009-06-30;2.504028;
2009-07-31;2.831586;
2009-08-31;3;
2009-09-30;2.779167;
2009-10-31;2.694109;
2009-11-30;2.776111;
2009-12-31;2.538038;
2010-01-31;2.118988;
2010-02-28;2.349702;
2010-03-31;2.185618;
2010-04-30;2.317361;
2010-05-31;2.595161;
2010-06-30;3.023056;
2010-07-31;3.132527;
2010-08-31;3.701371;
2010-09-30;3.603472;
2010-10-31;2.865591;
2010-11-30;2.469167;
2010-12-31;2.229435;
2011-01-31;2.268817;
2011-02-28;1.995982;
2011-03-31;1.878404;
2011-04-30;2.324861;
2011-05-31;2.861425;
2011-06-30;2.940972;
2011-07-31;3.428226;
2011-08-31;3.290726;
2011-09-30;3.956667;
2011-10-31;2.932527;
2011-11-30;2.83375;
2011-12-31;2.711694;
2012-01-31;2.871774;
2012-02-29;2.930891;
2012-03-31;2.798118;
2012-04-30;2.820833;
2012-05-31;3.068011;
2012-06-30;2.985937;
2012-07-31;3.384409;
2012-08-31;3.922254;
2012-09-30;3.551528;
2012-10-31;3.474597;
2012-11-30;2.729722;
2012-12-31;2.903091;
2013-01-31;2.607527;
2013-02-28;3.248958;
2013-03-31;2.916083;
2013-04-30;2.882083;
2013-05-31;2.738844;
2013-06-30;2.887601;
2013-07-31;3.074597;
2013-08-31;3.528091;
2013-09-30;3.465417;
2013-10-31;3.326479;
2013-11-30;2.942083;
2013-12-31;2.475403;
2014-01-31;3.023521;
2014-02-28;2.492262;
2014-03-31;2.47285;
2014-04-30;2.370556;
2014-05-31;2.653495;
2014-06-30;3.212917;
2014-07-31;3.403226;
2014-08-31;3.486694;
2014-09-30;3.517222;
2014-10-31;3.492742;
2014-11-30;2.903056;
2014-12-31;2.875941;
2015-01-31;3.136419;
2015-02-28;2.639137;
2015-03-31;2.529436;
2015-04-30;2.275833;
2015-05-31;2.936799;
2015-06-30;3.025417;
2015-07-31;3.411694;
2015-08-31;3.641398;
2015-09-30;null;
2015-10-31;3.32836;
2015-11-30;2.8975;
2015-12-31;3.058064;
2016-01-31;1.906586;
2016-02-29;2.423195;
2016-03-31;2.90568;
2016-04-30;3.211528;
2016-05-31;2.912769;
2016-06-30;2.686528;
2016-07-31;3.286022;
2016-08-31;3.305511;
2016-09-30;3.405417;
2016-10-31;3.592169;
2016-11-30;3.27375;
2016-12-31;3.358333;
2017-01-31;3.408199;
2017-02-28;3.064732;
2017-03-31;2.890591;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;4.054301;
2017-08-31;3.843952;
2017-09-30;4.457361;
2017-10-31;3.909812;
2017-11-30;3.128889;
2017-12-31;3.079973;
2018-01-31;2.932258;
2018-02-28;2.508929;
2018-03-31;2.10793;
2018-04-30;2.719167;
2018-05-31;3.07957;
2018-06-30;3.20125;
2018-07-31;3.791532;
2018-08-31;3.529435;
2018-09-30;3.775;
2018-10-31;3.164382;
2018-11-30;3.49875;
2018-12-31;2.844624;
2019-01-31;3.37836;
2019-02-28;null;
2019-03-31;null;
2019-04-30;2.135417;
2019-05-31;2.31115;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;3.6175;
2019-10-31;3.602285;
2019-11-30;3.099861;
2019-12-31;2.900538;
2020-01-31;2.340591;
2020-02-29;2.119109;
2020-03-31;1.885215;
2020-04-30;2.186806;
2020-05-31;2.568817;
2020-06-30;2.613056;
2020-07-31;3.067204;
2020-08-31;3.514247;
2020-09-30;3.601528;
2020-10-31;3.244758;
2020-11-30;2.803889;
2020-12-31;2.604436;
2021-01-31;2.787634;
2021-02-28;2.520685;
2021-03-31;2.677805;
2021-04-30;2.412639;
2021-05-31;2.916532;
2021-06-30;3.091389;
2021-07-31;3.316667;
2021-08-31;3.966398;
2021-09-30;3.510176;
2021-10-31;3.015054;
2021-11-30;2.592083;
2021-12-31;2.451356;
2022-01-31;2.203072;
2022-02-28;2.128274;
2022-03-31;2.273387;
2022-04-30;2.472778;
2022-05-31;2.87957;
2022-06-30;2.91125;
2022-07-31;null;
2022-08-31;null;
2022-09-30;3.5075;
2022-10-31;3.25;
2022-11-30;2.411944;
2022-12-31;2.143414;

