Nome: FLORESTA
Codigo Estacao: A351
Latitude: -8.59888888
Longitude: -38.58416666
Altitude: 327.42
Situacao: Operante
Data Inicial: 2008-09-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;
2008-10-31;4.335349;
2008-11-30;3.804722;
2008-12-31;2.974194;
2009-01-31;2.944355;
2009-02-28;2.373363;
2009-03-31;2.426478;
2009-04-30;2.030833;
2009-05-31;2.336425;
2009-06-30;2.617748;
2009-07-31;3.112903;
2009-08-31;3.559005;
2009-09-30;3.717639;
2009-10-31;3.335776;
2009-11-30;3.695417;
2009-12-31;3.224866;
2010-01-31;2.574194;
2010-02-28;2.935417;
2010-03-31;2.661425;
2010-04-30;2.636389;
2010-05-31;2.78414;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;2.975;
2010-12-31;2.491129;
2011-01-31;2.548522;
2011-02-28;2.569494;
2011-03-31;2.197312;
2011-04-30;2.693333;
2011-05-31;2.948405;
2011-06-30;2.872692;
2011-07-31;3.226526;
2011-08-31;3.367235;
2011-09-30;4.006694;
2011-10-31;3.534812;
2011-11-30;3.479167;
2011-12-31;3.358298;
2012-01-31;null;
2012-02-29;null;
2012-03-31;3.295211;
2012-04-30;3.309722;
2012-05-31;3.35658;
2012-06-30;3.358056;
2012-07-31;3.477419;
2012-08-31;3.846659;
2012-09-30;3.896667;
2012-10-31;3.974328;
2012-11-30;3.170278;
2012-12-31;3.374462;
2013-01-31;2.934005;
2013-02-28;3.636161;
2013-03-31;3.183944;
2013-04-30;3.059306;
2013-05-31;3.008602;
2013-06-30;3.050389;
2013-07-31;3.25076;
2013-08-31;3.665591;
2013-09-30;3.787639;
2013-10-31;3.818952;
2013-11-30;3.543889;
2013-12-31;2.739785;
2014-01-31;3.406855;
2014-02-28;2.983631;
2014-03-31;2.765457;
2014-04-30;2.471806;
2014-05-31;2.531586;
2014-06-30;2.936309;
2014-07-31;3.116694;
2014-08-31;3.475806;
2014-09-30;3.708472;
2014-10-31;3.940995;
2014-11-30;3.122317;
2014-12-31;2.905235;
2015-01-31;3.336435;
2015-02-28;2.820412;
2015-03-31;2.777823;
2015-04-30;2.48125;
2015-05-31;2.958737;
2015-06-30;3.007083;
2015-07-31;3.332527;
2015-08-31;3.549866;
2015-09-30;3.451806;
2015-10-31;3.686425;
2015-11-30;3.129167;
2015-12-31;3.25914;
2016-01-31;2.129704;
2016-02-29;2.772558;
2016-03-31;3.261425;
2016-04-30;null;
2016-05-31;null;
2016-06-30;2.739305;
2016-07-31;3.287769;
2016-08-31;3.438172;
2016-09-30;3.801528;
2016-10-31;3.866643;
2016-11-30;3.621528;
2016-12-31;3.533064;
2017-01-31;3.540995;
2017-02-28;3.212054;
2017-03-31;2.90793;
2017-04-30;2.941944;
2017-05-31;3.024328;
2017-06-30;3.044444;
2017-07-31;3.47715;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;3.335556;
2017-12-31;3.167742;
2018-01-31;2.939382;
2018-02-28;2.417411;
2018-03-31;2.329225;
2018-04-30;2.3825;
2018-05-31;2.973387;
2018-06-30;2.885694;
2018-07-31;3.193952;
2018-08-31;3.329704;
2018-09-30;3.649861;
2018-10-31;3.234409;
2018-11-30;3.528194;
2018-12-31;2.615726;
2019-01-31;3.337366;
2019-02-28;2.375026;
2019-03-31;2.09664;
2019-04-30;null;
2019-05-31;null;
2019-06-30;3.019167;
2019-07-31;2.836962;
2019-08-31;3.314516;
2019-09-30;3.508611;
2019-10-31;3.616532;
2019-11-30;3.156389;
2019-12-31;3.053091;
2020-01-31;2.410349;
2020-02-29;2.059626;
2020-03-31;1.94664;
2020-04-30;2.20125;
2020-05-31;2.439919;
2020-06-30;2.451111;
2020-07-31;2.781855;
2020-08-31;3.276479;
2020-09-30;3.424722;
2020-10-31;3.33871;
2020-11-30;2.674861;
2020-12-31;2.849731;
2021-01-31;2.931855;
2021-02-28;2.513542;
2021-03-31;2.786022;
2021-04-30;2.4725;
2021-05-31;2.721102;
2021-06-30;2.664445;
2021-07-31;3.092876;
2021-08-31;3.523925;
2021-09-30;3.452022;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;3.365417;
2022-10-31;3.443145;
2022-11-30;2.41875;
2022-12-31;2.240995;

