Nome: CAMARATUBA
Codigo Estacao: A352
Latitude: -6.56194444
Longitude: -35.13527777
Altitude: 135.51
Situacao: Operante
Data Inicial: 2008-05-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;3.213636;
2008-06-30;3.84172;
2008-07-31;4.289458;
2008-08-31;3.985349;
2008-09-30;4.049722;
2008-10-31;4.037097;
2008-11-30;3.560694;
2008-12-31;3.461255;
2009-01-31;3.263973;
2009-02-28;2.857408;
2009-03-31;2.709812;
2009-04-30;2.186182;
2009-05-31;2.383948;
2009-06-30;3.055939;
2009-07-31;3.030856;
2009-08-31;3.141445;
2009-09-30;3.134758;
2009-10-31;3.034227;
2009-11-30;3.410556;
2009-12-31;3.161016;
2010-01-31;3.021307;
2010-02-28;3.154762;
2010-03-31;2.86922;
2010-04-30;3.095556;
2010-05-31;3.162868;
2010-06-30;3.354048;
2010-07-31;3.805324;
2010-08-31;4.130026;
2010-09-30;null;
2010-10-31;null;
2010-11-30;3.824264;
2010-12-31;3.373133;
2011-01-31;2.997077;
2011-02-28;2.949635;
2011-03-31;2.245936;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;4.210545;
2011-10-31;2.986086;
2011-11-30;2.469583;
2011-12-31;3.254839;
2012-01-31;2.993548;
2012-02-29;3.023276;
2012-03-31;3.226259;
2012-04-30;3.096944;
2012-05-31;2.787903;
2012-06-30;2.99125;
2012-07-31;3.213172;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;3.289861;
2012-12-31;3.497446;
2013-01-31;3.183468;
2013-02-28;3.757589;
2013-03-31;3.166194;
2013-04-30;2.440556;
2013-05-31;3.097715;
2013-06-30;2.238649;
2013-07-31;2.512921;
2013-08-31;3.136694;
2013-09-30;3.378611;
2013-10-31;2.96129;
2013-11-30;2.826667;
2013-12-31;1.382393;
2014-01-31;1.356183;
2014-02-28;.715625;
2014-03-31;.692204;
2014-04-30;.535278;
2014-05-31;.413979;
2014-06-30;.679722;
2014-07-31;.866288;
2014-08-31;1.299194;
2014-09-30;2.017222;
2014-10-31;2.380511;
2014-11-30;1.707361;
2014-12-31;1.696237;
2015-01-31;2.187395;
2015-02-28;2.048066;
2015-03-31;1.568817;
2015-04-30;1.518889;
2015-05-31;1.577823;
2015-06-30;1.531667;
2015-07-31;2.141263;
2015-08-31;2.713038;
2015-09-30;2.36375;
2015-10-31;2.570833;
2015-11-30;3.097917;
2015-12-31;3.363038;
2016-01-31;2.606989;
2016-02-29;3.333908;
2016-03-31;3.065923;
2016-04-30;null;
2016-05-31;2.786618;
2016-06-30;2.927083;
2016-07-31;3.531317;
2016-08-31;3.635215;
2016-09-30;3.608123;
2016-10-31;null;
2016-11-30;3.923194;
2016-12-31;3.728495;
2017-01-31;3.583141;
2017-02-28;3.246189;
2017-03-31;2.85672;
2017-04-30;3.029167;
2017-05-31;2.875269;
2017-06-30;3.48529;
2017-07-31;4.264247;
2017-08-31;3.816842;
2017-09-30;4.242246;
2017-10-31;3.824194;
2017-11-30;2.35875;
2017-12-31;.937178;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;.165338;
2018-05-31;.393683;
2018-06-30;.334444;
2018-07-31;.656989;
2018-08-31;.745833;
2018-09-30;.872222;
2018-10-31;.531183;
2018-11-30;.860556;
2018-12-31;.488979;
2019-01-31;.65578;
2019-02-28;.218304;
2019-03-31;.123656;
2019-04-30;.060556;
2019-05-31;.154704;
2019-06-30;.302639;
2019-07-31;.219086;
2019-08-31;.701882;
2019-09-30;.758333;
2019-10-31;1.145296;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;1.399059;
2022-01-31;.881452;
2022-02-28;1.058333;
2022-03-31;.836156;
2022-04-30;.7;
2022-05-31;.660081;
2022-06-30;.581806;
2022-07-31;1.284946;
2022-08-31;1.65121;
2022-09-30;1.558611;
2022-10-31;1.671102;
2022-11-30;1.049444;
2022-12-31;1.238038;

