Nome: ARAPIRACA
Codigo Estacao: A353
Latitude: -9.80444444
Longitude: -36.61916666
Altitude: 236.84
Situacao: Pane
Data Inicial: 2008-04-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;1.850023;
2008-06-30;2.01067;
2008-07-31;2.217473;
2008-08-31;2.183737;
2008-09-30;2.620417;
2008-10-31;3.192204;
2008-11-30;4.103889;
2008-12-31;3.690802;
2009-01-31;3.477285;
2009-02-28;2.958631;
2009-03-31;2.955914;
2009-04-30;2.364028;
2009-05-31;1.817473;
2009-06-30;1.959722;
2009-07-31;2.008737;
2009-08-31;2.218467;
2009-09-30;2.815833;
2009-10-31;3.593411;
2009-11-30;3.844547;
2009-12-31;3.520565;
2010-01-31;2.753245;
2010-02-28;2.641518;
2010-03-31;2.573387;
2010-04-30;1.847917;
2010-05-31;1.55479;
2010-06-30;1.914306;
2010-07-31;1.983199;
2010-08-31;2.026408;
2010-09-30;2.530555;
2010-10-31;2.775941;
2010-11-30;3.5825;
2010-12-31;3.336407;
2011-01-31;2.675403;
2011-02-28;2.708333;
2011-03-31;2.669494;
2011-04-30;1.96;
2011-05-31;1.79692;
2011-06-30;1.466503;
2011-07-31;1.727863;
2011-08-31;1.914113;
2011-09-30;2.234583;
2011-10-31;2.839148;
2011-11-30;3.096111;
2011-12-31;3.525672;
2012-01-31;3.169086;
2012-02-29;2.889943;
2012-03-31;2.759677;
2012-04-30;2.266111;
2012-05-31;2.266667;
2012-06-30;2.026945;
2012-07-31;1.92379;
2012-08-31;2.083468;
2012-09-30;2.467222;
2012-10-31;3.078764;
2012-11-30;3.937917;
2012-12-31;3.621237;
2013-01-31;3.823253;
2013-02-28;3.398512;
2013-03-31;3.23975;
2013-04-30;2.560278;
2013-05-31;1.738441;
2013-06-30;1.639179;
2013-07-31;1.713306;
2013-08-31;1.910349;
2013-09-30;2.505833;
2013-10-31;2.994624;
2013-11-30;3.188333;
2013-12-31;3.578898;
2014-01-31;2.904435;
2014-02-28;2.743006;
2014-03-31;2.842876;
2014-04-30;2.170417;
2014-05-31;1.615323;
2014-06-30;1.844583;
2014-07-31;1.90457;
2014-08-31;1.996102;
2014-09-30;2.527083;
2014-10-31;2.937903;
2014-11-30;3.071111;
2014-12-31;3.242876;
2015-01-31;3.268852;
2015-02-28;3.037202;
2015-03-31;2.797849;
2015-04-30;2.588056;
2015-05-31;2.222715;
2015-06-30;1.788055;
2015-07-31;1.922581;
2015-08-31;2.091667;
2015-09-30;2.748056;
2015-10-31;3.238844;
2015-11-30;3.904722;
2015-12-31;3.232124;
2016-01-31;3.006183;
2016-02-29;2.744109;
2016-03-31;2.693817;
2016-04-30;2.193055;
2016-05-31;1.728226;
2016-06-30;1.802083;
2016-07-31;1.570178;
2016-08-31;null;
2016-09-30;null;
2016-10-31;3.21416;
2016-11-30;3.598591;
2016-12-31;2.4125;
2017-01-31;1.736021;
2017-02-28;1.566816;
2017-03-31;1.136021;
2017-04-30;.738194;
2017-05-31;.248219;
2017-06-30;.257917;
2017-07-31;.502957;
2017-08-31;.190995;
2017-09-30;.846111;
2017-10-31;1.097312;
2017-11-30;1.865;
2017-12-31;1.898925;
2018-01-31;1.655242;
2018-02-28;1.416667;
2018-03-31;.512097;
2018-04-30;.4545;
2018-05-31;null;
2018-06-30;null;
2018-07-31;.472446;
2018-08-31;.987634;
2018-09-30;1.434444;
2018-10-31;2.163172;
2018-11-30;2.243056;
2018-12-31;1.67379;
2019-01-31;1.060215;
2019-02-28;1.373065;
2019-03-31;.948387;
2019-04-30;.582361;
2019-05-31;.603764;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;.256111;
2022-07-31;.648626;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

