Nome: CORURIPE
Codigo Estacao: A355
Latitude: -10.1286111
Longitude: -36.28638888
Altitude: 82.39
Situacao: Operante
Data Inicial: 2008-09-05
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;
2008-10-31;2.430645;
2008-11-30;2.614028;
2008-12-31;2.555242;
2009-01-31;2.565697;
2009-02-28;2.213542;
2009-03-31;2.23871;
2009-04-30;1.913611;
2009-05-31;1.962231;
2009-06-30;2.07;
2009-07-31;1.850269;
2009-08-31;2.187471;
2009-09-30;2.021389;
2009-10-31;2.620074;
2009-11-30;2.494583;
2009-12-31;2.465457;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;2.357527;
2010-08-31;2.458433;
2010-09-30;2.51375;
2010-10-31;2.253495;
2010-11-30;2.319722;
2010-12-31;2.396701;
2011-01-31;2.118817;
2011-02-28;2.008631;
2011-03-31;2.028991;
2011-04-30;1.970833;
2011-05-31;2.253889;
2011-06-30;2.067222;
2011-07-31;2.450134;
2011-08-31;2.086333;
2011-09-30;2.612774;
2011-10-31;2.164651;
2011-11-30;2.331869;
2011-12-31;2.377823;
2012-01-31;2.255242;
2012-02-29;2.187787;
2012-03-31;2.101478;
2012-04-30;1.901944;
2012-05-31;1.964651;
2012-06-30;1.884306;
2012-07-31;2.071774;
2012-08-31;2.385618;
2012-09-30;2.087778;
2012-10-31;2.167473;
2012-11-30;2.682083;
2012-12-31;2.385215;
2013-01-31;2.563441;
2013-02-28;2.44747;
2013-03-31;2.447139;
2013-04-30;2.437083;
2013-05-31;1.906048;
2013-06-30;1.885101;
2013-07-31;2.135215;
2013-08-31;2.222984;
2013-09-30;2.380972;
2013-10-31;2.759409;
2013-11-30;2.56125;
2013-12-31;2.949193;
2014-01-31;2.561156;
2014-02-28;2.414215;
2014-03-31;2.317608;
2014-04-30;2.209722;
2014-05-31;2.078091;
2014-06-30;2.313611;
2014-07-31;2.39328;
2014-08-31;2.438575;
2014-09-30;2.586369;
2014-10-31;2.749731;
2014-11-30;2.460972;
2014-12-31;2.551882;
2015-01-31;2.485811;
2015-02-28;2.337351;
2015-03-31;2.237231;
2015-04-30;2.24625;
2015-05-31;1.947043;
2015-06-30;2.141944;
2015-07-31;2.38293;
2015-08-31;2.313306;
2015-09-30;2.169028;
2015-10-31;2.440188;
2015-11-30;2.97;
2015-12-31;2.572312;
2016-01-31;2.340726;
2016-02-29;2.312931;
2016-03-31;2.185484;
2016-04-30;2.142917;
2016-05-31;2.062366;
2016-06-30;2.165972;
2016-07-31;2.259543;
2016-08-31;2.114919;
2016-09-30;2.318472;
2016-10-31;2.82708;
2016-11-30;null;
2016-12-31;2.863768;
2017-01-31;2.596908;
2017-02-28;2.551042;
2017-03-31;2.383847;
2017-04-30;null;
2017-05-31;null;
2017-06-30;2.463889;
2017-07-31;3.320833;
2017-08-31;2.322715;
2017-09-30;2.777361;
2017-10-31;2.341667;
2017-11-30;2.518472;
2017-12-31;2.572715;
2018-01-31;2.457124;
2018-02-28;2.359673;
2018-03-31;2.351344;
2018-04-30;2.156806;
2018-05-31;2.153898;
2018-06-30;2.041111;
2018-07-31;2.089306;
2018-08-31;2.085081;
2018-09-30;2.3;
2018-10-31;2.547043;
2018-11-30;2.596111;
2018-12-31;2.563172;
2019-01-31;2.368952;
2019-02-28;2.210268;
2019-03-31;2.14179;
2019-04-30;1.872988;
2019-05-31;1.68524;
2019-06-30;null;
2019-07-31;null;
2019-08-31;2.405029;
2019-09-30;2.220139;
2019-10-31;2.415726;
2019-11-30;2.426806;
2019-12-31;2.484005;
2020-01-31;2.432527;
2020-02-29;2.205173;
2020-03-31;2.14664;
2020-04-30;1.822639;
2020-05-31;1.835618;
2020-06-30;2.043333;
2020-07-31;2.37836;
2020-08-31;2.333064;
2020-09-30;2.233333;
2020-10-31;2.470296;
2020-11-30;2.541944;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;2.591129;
2022-08-31;2.352554;
2022-09-30;2.151667;
2022-10-31;2.404435;
2022-11-30;2.406667;
2022-12-31;2.392608;

