Nome: SAO LUIS DO QUITUNDE
Codigo Estacao: A356
Latitude: -9.28749999
Longitude: -35.56583333
Altitude: 13.69
Situacao: Operante
Data Inicial: 2008-09-07
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;
2008-10-31;1.909274;
2008-11-30;2.148333;
2008-12-31;2.144758;
2009-01-31;2.060209;
2009-02-28;1.703274;
2009-03-31;1.671505;
2009-04-30;1.460833;
2009-05-31;1.274597;
2009-06-30;1.394167;
2009-07-31;1.429167;
2009-08-31;1.519624;
2009-09-30;1.714306;
2009-10-31;2.063657;
2009-11-30;2.109167;
2009-12-31;2.038307;
2010-01-31;1.667415;
2010-02-28;1.61875;
2010-03-31;1.582124;
2010-04-30;1.473611;
2010-05-31;1.293952;
2010-06-30;1.610556;
2010-07-31;1.64879;
2010-08-31;1.655628;
2010-09-30;1.869971;
2010-10-31;1.825806;
2010-11-30;2.14375;
2010-12-31;2.112903;
2011-01-31;1.859274;
2011-02-28;1.61886;
2011-03-31;1.636948;
2011-04-30;1.38954;
2011-05-31;1.506586;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;1.832361;
2011-10-31;1.792339;
2011-11-30;1.978333;
2011-12-31;2.19879;
2012-01-31;1.968817;
2012-02-29;1.865661;
2012-03-31;1.725648;
2012-04-30;1.557222;
2012-05-31;1.579301;
2012-06-30;1.422361;
2012-07-31;1.474059;
2012-08-31;1.76634;
2012-09-30;1.766111;
2012-10-31;1.987366;
2012-11-30;2.371993;
2012-12-31;2.195833;
2013-01-31;2.189113;
2013-02-28;2.09628;
2013-03-31;1.911339;
2013-04-30;1.649359;
2013-05-31;1.360618;
2013-06-30;1.345025;
2013-07-31;1.457796;
2013-08-31;1.653629;
2013-09-30;1.809306;
2013-10-31;1.951478;
2013-11-30;1.96;
2013-12-31;2.180914;
2014-01-31;1.925403;
2014-02-28;1.754018;
2014-03-31;1.734812;
2014-04-30;1.648194;
2014-05-31;1.39207;
2014-06-30;1.524722;
2014-07-31;null;
2014-08-31;1.791512;
2014-09-30;1.986667;
2014-10-31;2.073925;
2014-11-30;1.994306;
2014-12-31;2.022715;
2015-01-31;1.963821;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;1.568811;
2015-06-30;null;
2015-07-31;1.736021;
2015-08-31;1.842204;
2015-09-30;1.795;
2015-10-31;2.059677;
2015-11-30;2.390139;
2015-12-31;2.15;
2016-01-31;1.79207;
2016-02-29;1.831197;
2016-03-31;1.636425;
2016-04-30;1.639722;
2016-05-31;1.479301;
2016-06-30;1.539722;
2016-07-31;1.701479;
2016-08-31;1.789516;
2016-09-30;1.920833;
2016-10-31;2.276449;
2016-11-30;2.335833;
2016-12-31;2.325538;
2017-01-31;2.206317;
2017-02-28;2.164732;
2017-03-31;1.995027;
2017-04-30;1.683194;
2017-05-31;1.563756;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;2.286944;
2017-10-31;2.05121;
2017-11-30;2.163056;
2017-12-31;2.199059;
2018-01-31;1.940054;
2018-02-28;1.88869;
2018-03-31;1.884946;
2018-04-30;1.433333;
2018-05-31;1.521909;
2018-06-30;1.546389;
2018-07-31;1.58172;
2018-08-31;1.792876;
2018-09-30;1.947917;
2018-10-31;2.161021;
2018-11-30;2.256111;
2018-12-31;2.075269;
2019-01-31;1.80672;
2019-02-28;1.752976;
2019-03-31;1.7125;
2019-04-30;1.410833;
2019-05-31;1.387769;
2019-06-30;1.57625;
2019-07-31;1.641072;
2019-08-31;1.897446;
2019-09-30;1.807083;
2019-10-31;2.067876;
2019-11-30;2.109306;
2019-12-31;2.15914;
2020-01-31;2.026344;
2020-02-29;1.876006;
2020-03-31;1.564113;
2020-04-30;1.483056;
2020-05-31;1.364785;
2020-06-30;1.540362;
2020-07-31;1.682392;
2020-08-31;1.809783;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;1.7125;
2022-08-31;1.753898;
2022-09-30;1.740694;
2022-10-31;1.954545;
2022-11-30;null;
2022-12-31;null;

