Nome: JAGUARIBE
Codigo Estacao: A358
Latitude: -5.90555555
Longitude: -38.62777777
Altitude: 149.31
Situacao: Operante
Data Inicial: 2008-09-09
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;
2008-10-31;3.788095;
2008-11-30;null;
2008-12-31;3.510484;
2009-01-31;3.186261;
2009-02-28;2.22753;
2009-03-31;2.094758;
2009-04-30;1.719861;
2009-05-31;1.729301;
2009-06-30;2.252917;
2009-07-31;2.472312;
2009-08-31;3.133736;
2009-09-30;3.249306;
2009-10-31;3.444684;
2009-11-30;3.639167;
2009-12-31;3.492876;
2010-01-31;2.628421;
2010-02-28;3.084673;
2010-03-31;2.737769;
2010-04-30;2.322917;
2010-05-31;2.120027;
2010-06-30;3.19125;
2010-07-31;3.632124;
2010-08-31;3.589191;
2010-09-30;3.776389;
2010-10-31;3.079704;
2010-11-30;3.020695;
2010-12-31;2.547446;
2011-01-31;2.111425;
2011-02-28;2.064583;
2011-03-31;1.888431;
2011-04-30;1.957778;
2011-05-31;2.207392;
2011-06-30;2.515417;
2011-07-31;2.925538;
2011-08-31;3.070968;
2011-09-30;3.506111;
2011-10-31;2.88535;
2011-11-30;2.899583;
2011-12-31;3.132124;
2012-01-31;null;
2012-02-29;null;
2012-03-31;2.553004;
2012-04-30;2.382361;
2012-05-31;2.592339;
2012-06-30;2.601528;
2012-07-31;3.222177;
2012-08-31;3.643798;
2012-09-30;3.254028;
2012-10-31;3.36371;
2012-11-30;3.179167;
2012-12-31;2.97043;
2013-01-31;3.104973;
2013-02-28;3.053423;
2013-03-31;2.756667;
2013-04-30;2.554722;
2013-05-31;2.190995;
2013-06-30;2.277083;
2013-07-31;2.609543;
2013-08-31;3.010081;
2013-09-30;3.636944;
2013-10-31;3.501747;
2013-11-30;3.00125;
2013-12-31;3.066667;
2014-01-31;2.846909;
2014-02-28;2.215179;
2014-03-31;2.328629;
2014-04-30;1.919306;
2014-05-31;2.302823;
2014-06-30;3.014944;
2014-07-31;3.358065;
2014-08-31;3.273387;
2014-09-30;3.407917;
2014-10-31;3.667876;
2014-11-30;3.135;
2014-12-31;3.442607;
2015-01-31;2.935139;
2015-02-28;2.816815;
2015-03-31;2.012149;
2015-04-30;2.179444;
2015-05-31;2.657217;
2015-06-30;2.994867;
2015-07-31;3.635484;
2015-08-31;3.380638;
2015-09-30;3.127639;
2015-10-31;3.413844;
2015-11-30;3.369444;
2015-12-31;3.579167;
2016-01-31;2.608737;
2016-02-29;2.582902;
2016-03-31;2.402016;
2016-04-30;2.333333;
2016-05-31;2.160887;
2016-06-30;2.642083;
2016-07-31;3.060215;
2016-08-31;2.97379;
2016-09-30;2.972917;
2016-10-31;3.550018;
2016-11-30;3.454861;
2016-12-31;2.841129;
2017-01-31;2.395296;
2017-02-28;2.213393;
2017-03-31;1.913844;
2017-04-30;2.087361;
2017-05-31;2.408737;
2017-06-30;3.168333;
2017-07-31;null;
2017-08-31;null;
2017-09-30;3.808056;
2017-10-31;3.713141;
2017-11-30;2.986111;
2017-12-31;3.023656;
2018-01-31;2.815323;
2018-02-28;2.228869;
2018-03-31;2.208468;
2018-04-30;1.902083;
2018-05-31;2.350538;
2018-06-30;2.740972;
2018-07-31;2.818817;
2018-08-31;2.762769;
2018-09-30;3.135972;
2018-10-31;2.902688;
2018-11-30;3.174861;
2018-12-31;2.575807;
2019-01-31;2.427823;
2019-02-28;1.817262;
2019-03-31;1.751817;
2019-04-30;1.670556;
2019-05-31;2.229301;
2019-06-30;2.696389;
2019-07-31;3.011962;
2019-08-31;3.500134;
2019-09-30;2.989583;
2019-10-31;2.972312;
2019-11-30;2.7025;
2019-12-31;2.702554;
2020-01-31;2.034677;
2020-02-29;1.833046;
2020-03-31;1.56955;
2020-04-30;1.740417;
2020-05-31;2.05336;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;2.493075;
2022-10-31;2.784409;
2022-11-30;2.065278;
2022-12-31;2.190726;

