Nome: ITAPIPOCA
Codigo Estacao: A359
Latitude: -3.48416666
Longitude: -39.5886111
Altitude: 104.49
Situacao: Operante
Data Inicial: 2008-09-04
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;4.878;
2008-10-31;5.230511;
2008-11-30;5.172894;
2008-12-31;4.750181;
2009-01-31;3.751999;
2009-02-28;2.880655;
2009-03-31;1.864785;
2009-04-30;1.487639;
2009-05-31;1.5875;
2009-06-30;2.392639;
2009-07-31;3.199328;
2009-08-31;3.88871;
2009-09-30;4.733345;
2009-10-31;4.70155;
2009-11-30;5.237639;
2009-12-31;4.900299;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;2.891944;
2010-05-31;3.01586;
2010-06-30;3.124167;
2010-07-31;3.644355;
2010-08-31;4.596709;
2010-09-30;5.151528;
2010-10-31;4.635618;
2010-11-30;5.111528;
2010-12-31;4.310484;
2011-01-31;2.877419;
2011-02-28;2.898512;
2011-03-31;2.229879;
2011-04-30;2.107778;
2011-05-31;2.35336;
2011-06-30;3.182917;
2011-07-31;3.420027;
2011-08-31;4.583333;
2011-09-30;5.099722;
2011-10-31;5.303226;
2011-11-30;5.581528;
2011-12-31;5.846909;
2012-01-31;5.23172;
2012-02-29;3.989512;
2012-03-31;3.685484;
2012-04-30;3.896389;
2012-05-31;4.490188;
2012-06-30;4.272083;
2012-07-31;4.687903;
2012-08-31;4.986329;
2012-09-30;5.639167;
2012-10-31;5.891263;
2012-11-30;5.530556;
2012-12-31;5.56707;
2013-01-31;4.945968;
2013-02-28;4.787649;
2013-03-31;4.332444;
2013-04-30;2.668611;
2013-05-31;3.225134;
2013-06-30;3.325896;
2013-07-31;3.700833;
2013-08-31;null;
2013-09-30;null;
2013-10-31;5.937903;
2013-11-30;5.796806;
2013-12-31;5.506855;
2014-01-31;4.413897;
2014-02-28;4.083333;
2014-03-31;3.542742;
2014-04-30;2.714028;
2014-05-31;2.773925;
2014-06-30;4.032222;
2014-07-31;4.492339;
2014-08-31;5.151747;
2014-09-30;5.716806;
2014-10-31;5.983602;
2014-11-30;5.56875;
2014-12-31;5.695699;
2015-01-31;5.134134;
2015-02-28;4.311458;
2015-03-31;3.092608;
2015-04-30;2.716667;
2015-05-31;3.97164;
2015-06-30;4.095139;
2015-07-31;null;
2015-08-31;5.022177;
2015-09-30;5.721667;
2015-10-31;5.638441;
2015-11-30;5.542778;
2015-12-31;5.428898;
2016-01-31;3.459005;
2016-02-29;3.735632;
2016-03-31;3.406452;
2016-04-30;3.411667;
2016-05-31;3.606317;
2016-06-30;3.722639;
2016-07-31;4.068817;
2016-08-31;4.954301;
2016-09-30;5.356111;
2016-10-31;5.649591;
2016-11-30;5.764444;
2016-12-31;5.085753;
2017-01-31;4.375269;
2017-02-28;3.435119;
2017-03-31;2.432527;
2017-04-30;2.928713;
2017-05-31;3.127309;
2017-06-30;3.321688;
2017-07-31;3.076613;
2017-08-31;4.773387;
2017-09-30;5.320555;
2017-10-31;null;
2017-11-30;null;
2017-12-31;4.88109;
2018-01-31;3.919396;
2018-02-28;2.325298;
2018-03-31;2.96035;
2018-04-30;2.397778;
2018-05-31;2.661828;
2018-06-30;3.553194;
2018-07-31;3.806855;
2018-08-31;4.586694;
2018-09-30;5.199028;
2018-10-31;5.13141;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;1.864382;
2019-04-30;null;
2019-05-31;2.861582;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;3.848007;
2022-09-30;4.825298;
2022-10-31;5.229628;
2022-11-30;4.400238;
2022-12-31;4.575;

