Nome: ACARAU
Codigo Estacao: A360
Latitude: -3.1211111
Longitude: -40.08722221
Altitude: 67.15
Situacao: Operante
Data Inicial: 2009-04-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-04-30;null;
2009-05-31;1.673726;
2009-06-30;2.23;
2009-07-31;2.85457;
2009-08-31;3.532527;
2009-09-30;4.391806;
2009-10-31;3.890492;
2009-11-30;4.32875;
2009-12-31;3.854704;
2010-01-31;3.247287;
2010-02-28;3.860119;
2010-03-31;2.936694;
2010-04-30;2.374028;
2010-05-31;2.705914;
2010-06-30;3.007222;
2010-07-31;3.412903;
2010-08-31;4.233038;
2010-09-30;4.778194;
2010-10-31;3.869086;
2010-11-30;4.151667;
2010-12-31;3.512365;
2011-01-31;2.588307;
2011-02-28;2.369345;
2011-03-31;1.912286;
2011-04-30;1.828333;
2011-05-31;2.091129;
2011-06-30;2.638056;
2011-07-31;2.870027;
2011-08-31;3.717339;
2011-09-30;4.207361;
2011-10-31;3.966129;
2011-11-30;4.222083;
2011-12-31;4.144624;
2012-01-31;3.66716;
2012-02-29;3.023707;
2012-03-31;2.57164;
2012-04-30;2.746389;
2012-05-31;3.278495;
2012-06-30;3.318194;
2012-07-31;3.938172;
2012-08-31;4.394201;
2012-09-30;4.853333;
2012-10-31;4.983333;
2012-11-30;4.156111;
2012-12-31;4.151613;
2013-01-31;3.532258;
2013-02-28;3.518601;
2013-03-31;3.175639;
2013-04-30;2.140694;
2013-05-31;2.562097;
2013-06-30;2.805783;
2013-07-31;3.126549;
2013-08-31;4.243683;
2013-09-30;4.660694;
2013-10-31;4.655242;
2013-11-30;4.427778;
2013-12-31;3.939516;
2014-01-31;3.371237;
2014-02-28;3.120536;
2014-03-31;2.61707;
2014-04-30;null;
2014-05-31;null;
2014-06-30;3.276806;
2014-07-31;3.850948;
2014-08-31;4.368414;
2014-09-30;4.595833;
2014-10-31;4.81129;
2014-11-30;4.300278;
2014-12-31;4.283602;
2015-01-31;4.010875;
2015-02-28;3.200893;
2015-03-31;2.358064;
2015-04-30;2.060278;
2015-05-31;2.789785;
2015-06-30;3.206667;
2015-07-31;3.556452;
2015-08-31;4.391936;
2015-09-30;4.541667;
2015-10-31;4.639516;
2015-11-30;4.144167;
2015-12-31;4.047581;
2016-01-31;2.687231;
2016-02-29;2.71681;
2016-03-31;null;
2016-04-30;null;
2016-05-31;2.886425;
2016-06-30;3.181111;
2016-07-31;3.479961;
2016-08-31;null;
2016-09-30;null;
2016-10-31;4.675888;
2016-11-30;4.740278;
2016-12-31;3.905376;
2017-01-31;3.2125;
2017-02-28;2.679613;
2017-03-31;1.990457;
2017-04-30;2.277639;
2017-05-31;2.588978;
2017-06-30;2.950695;
2017-07-31;2.939785;
2017-08-31;4.089785;
2017-09-30;4.636806;
2017-10-31;4.853763;
2017-11-30;4.256528;
2017-12-31;3.809677;
2018-01-31;3.28414;
2018-02-28;2.033184;
2018-03-31;2.259005;
2018-04-30;2.019306;
2018-05-31;2.244758;
2018-06-30;2.9425;
2018-07-31;2.462366;
2018-08-31;.141801;
2018-09-30;.149722;
2018-10-31;.099503;
2018-11-30;.107083;
2018-12-31;.183941;
2019-01-31;.727419;
2019-02-28;.931671;
2019-03-31;.763172;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;3.406855;
2019-08-31;4.033468;
2019-09-30;4.375833;
2019-10-31;4.224597;
2019-11-30;3.903333;
2019-12-31;3.582392;
2020-01-31;2.252484;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;3.538;
2022-09-30;4.102917;
2022-10-31;4.43629;
2022-11-30;3.595417;
2022-12-31;3.600269;

