Nome: SAO PEDRO DO PIAUI
Codigo Estacao: A362
Latitude: -5.91111111
Longitude: -42.7186111
Altitude: 295.81
Situacao: Desativada
Data Inicial: 2009-05-19
Data Final: 2019-11-12
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-05-31;null;
2009-06-30;1.688194;
2009-07-31;1.70578;
2009-08-31;1.90672;
2009-09-30;1.87375;
2009-10-31;1.844971;
2009-11-30;1.744306;
2009-12-31;1.581989;
2010-01-31;1.531659;
2010-02-28;1.508185;
2010-03-31;1.476075;
2010-04-30;1.497083;
2010-05-31;1.499866;
2010-06-30;1.890694;
2010-07-31;2.045635;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;1.654839;
2011-01-31;1.574719;
2011-02-28;1.511756;
2011-03-31;1.459648;
2011-04-30;1.507083;
2011-05-31;1.656048;
2011-06-30;1.742361;
2011-07-31;1.930513;
2011-08-31;1.925134;
2011-09-30;2.1;
2011-10-31;1.788575;
2011-11-30;1.625833;
2011-12-31;1.736962;
2012-01-31;1.663978;
2012-02-29;1.6625;
2012-03-31;1.59422;
2012-04-30;1.503889;
2012-05-31;null;
2012-06-30;1.671389;
2012-07-31;1.986022;
2012-08-31;2.378629;
2012-09-30;2.072222;
2012-10-31;1.97836;
2012-11-30;1.852222;
2012-12-31;1.634005;
2013-01-31;1.573118;
2013-02-28;1.6625;
2013-03-31;1.616361;
2013-04-30;1.598611;
2013-05-31;1.518011;
2013-06-30;1.608346;
2013-07-31;1.757661;
2013-08-31;1.991073;
2013-09-30;2.162299;
2013-10-31;1.967608;
2013-11-30;1.749167;
2013-12-31;1.537231;
2014-01-31;1.609409;
2014-02-28;1.545089;
2014-03-31;1.457124;
2014-04-30;1.496389;
2014-05-31;1.484543;
2014-06-30;1.694046;
2014-07-31;1.846371;
2014-08-31;1.999328;
2014-09-30;2.041528;
2014-10-31;2.110887;
2014-11-30;1.778472;
2014-12-31;1.656855;
2015-01-31;1.579324;
2015-02-28;1.507589;
2015-03-31;1.504435;
2015-04-30;1.516111;
2015-05-31;1.478091;
2015-06-30;1.788611;
2015-07-31;2.024977;
2015-08-31;null;
2015-09-30;2.002083;
2015-10-31;2.072849;
2015-11-30;2.101528;
2015-12-31;2.098253;
2016-01-31;1.715726;
2016-02-29;1.566092;
2016-03-31;1.627554;
2016-04-30;1.601389;
2016-05-31;1.580645;
2016-06-30;1.959444;
2016-07-31;1.945699;
2016-08-31;1.953629;
2016-09-30;1.991945;
2016-10-31;2.029435;
2016-11-30;1.842083;
2016-12-31;1.70457;
2017-01-31;1.847581;
2017-02-28;1.611012;
2017-03-31;1.534274;
2017-04-30;1.456528;
2017-05-31;1.478495;
2017-06-30;1.880833;
2017-07-31;2.421505;
2017-08-31;1.918683;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;1.710833;
2018-01-31;1.679167;
2018-02-28;1.564583;
2018-03-31;1.549328;
2018-04-30;1.413056;
2018-05-31;1.563979;
2018-06-30;1.660556;
2018-07-31;1.781317;
2018-08-31;1.760215;
2018-09-30;1.831528;
2018-10-31;1.838844;
2018-11-30;1.847778;
2018-12-31;1.591129;
2019-01-31;1.59207;
2019-02-28;1.515327;
2019-03-31;1.52957;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;1.8625;
2019-10-31;null;
2019-11-30;null;

