Nome: GILBUES
Codigo Estacao: A364
Latitude: -9.87527777
Longitude: -45.34583333
Altitude: 425.1
Situacao: Operante
Data Inicial: 2009-05-15
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-05-31;null;
2009-06-30;2.391528;
2009-07-31;2.547043;
2009-08-31;3.070027;
2009-09-30;2.752222;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;2.091263;
2010-06-30;2.801667;
2010-07-31;3.4625;
2010-08-31;3.497572;
2010-09-30;3.667778;
2010-10-31;2.23172;
2010-11-30;1.849306;
2010-12-31;1.719355;
2011-01-31;1.683602;
2011-02-28;1.514286;
2011-03-31;1.481254;
2011-04-30;2.0625;
2011-05-31;2.454436;
2011-06-30;2.630694;
2011-07-31;3.068817;
2011-08-31;3.001613;
2011-09-30;3.539444;
2011-10-31;2.331586;
2011-11-30;1.975694;
2011-12-31;1.795968;
2012-01-31;1.728763;
2012-02-29;1.77931;
2012-03-31;1.406574;
2012-04-30;1.583333;
2012-05-31;2.304435;
2012-06-30;2.602639;
2012-07-31;3.220564;
2012-08-31;3.660273;
2012-09-30;3.44875;
2012-10-31;2.913441;
2012-11-30;1.819028;
2012-12-31;1.720833;
2013-01-31;1.606452;
2013-02-28;1.798512;
2013-03-31;1.626333;
2013-04-30;1.763148;
2013-05-31;null;
2013-06-30;null;
2013-07-31;3.132609;
2013-08-31;3.418145;
2013-09-30;3.395833;
2013-10-31;2.814785;
2013-11-30;1.999306;
2013-12-31;1.660484;
2014-01-31;1.803226;
2014-02-28;1.857143;
2014-03-31;1.725672;
2014-04-30;1.675139;
2014-05-31;2.149328;
2014-06-30;2.677361;
2014-07-31;3.252823;
2014-08-31;3.281855;
2014-09-30;3.005833;
2014-10-31;3.021505;
2014-11-30;2.141528;
2014-12-31;2.126882;
2015-01-31;1.973872;
2015-02-28;1.798958;
2015-03-31;1.43078;
2015-04-30;1.479722;
2015-05-31;2.183199;
2015-06-30;2.801944;
2015-07-31;3.112634;
2015-08-31;3.127957;
2015-09-30;2.777778;
2015-10-31;2.735215;
2015-11-30;2.00625;
2015-12-31;null;
2016-01-31;null;
2016-02-29;2.099333;
2016-03-31;1.680108;
2016-04-30;2.005972;
2016-05-31;2.400806;
2016-06-30;2.606389;
2016-07-31;3.003091;
2016-08-31;3.121909;
2016-09-30;3.046945;
2016-10-31;2.67538;
2016-11-30;2.359167;
2016-12-31;2.001882;
2017-01-31;1.617608;
2017-02-28;null;
2017-03-31;1.314969;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;3.503091;
2017-08-31;3.042876;
2017-09-30;4.034028;
2017-10-31;3.150134;
2017-11-30;2.00375;
2017-12-31;1.738844;
2018-01-31;1.569355;
2018-02-28;1.494792;
2018-03-31;1.54543;
2018-04-30;1.882268;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;2.87957;
2018-09-30;2.63125;
2018-10-31;2.005645;
2018-11-30;1.987917;
2018-12-31;1.760081;
2019-01-31;1.622446;
2019-02-28;1.352808;
2019-03-31;1.407258;
2019-04-30;1.436944;
2019-05-31;1.817742;
2019-06-30;2.840278;
2019-07-31;2.716398;
2019-08-31;3.374328;
2019-09-30;3.026528;
2019-10-31;2.262903;
2019-11-30;1.80723;
2019-12-31;2.094469;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;2.506884;
2021-10-31;1.963844;
2021-11-30;1.537083;
2021-12-31;1.508602;
2022-01-31;1.564978;
2022-02-28;1.531916;
2022-03-31;1.635998;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;3.027151;
2022-09-30;2.716806;
2022-10-31;2.549731;
2022-11-30;1.643611;
2022-12-31;1.648253;

