Nome: CANTO DO BURITI
Codigo Estacao: A365
Latitude: -8.11805554
Longitude: -42.97583332
Altitude: 312.07
Situacao: Operante
Data Inicial: 2010-06-11
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-06-30;null;
2010-07-31;3.885887;
2010-08-31;3.886564;
2010-09-30;4.221667;
2010-10-31;2.988441;
2010-11-30;2.762917;
2010-12-31;2.344489;
2011-01-31;2.311156;
2011-02-28;1.933333;
2011-03-31;1.831281;
2011-04-30;1.984028;
2011-05-31;2.458065;
2011-06-30;2.942639;
2011-07-31;3.259543;
2011-08-31;3.31828;
2011-09-30;3.824861;
2011-10-31;3.013978;
2011-11-30;2.606389;
2011-12-31;2.659274;
2012-01-31;2.558199;
2012-02-29;2.296408;
2012-03-31;2.170699;
2012-04-30;2.180417;
2012-05-31;2.800403;
2012-06-30;2.915278;
2012-07-31;3.378226;
2012-08-31;3.850422;
2012-09-30;3.625694;
2012-10-31;3.661828;
2012-11-30;2.826944;
2012-12-31;2.507796;
2013-01-31;2.276286;
2013-02-28;null;
2013-03-31;null;
2013-04-30;2.142083;
2013-05-31;2.38871;
2013-06-30;2.91471;
2013-07-31;3.354915;
2013-08-31;3.755511;
2013-09-30;3.851667;
2013-10-31;3.488441;
2013-11-30;2.724306;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;2.079861;
2014-05-31;2.319624;
2014-06-30;3.001111;
2014-07-31;3.540457;
2014-08-31;3.722312;
2014-09-30;null;
2014-10-31;null;
2014-11-30;2.694167;
2014-12-31;2.348925;
2015-01-31;2.583918;
2015-02-28;2.092559;
2015-03-31;1.947984;
2015-04-30;1.901389;
2015-05-31;2.630242;
2015-06-30;3.188194;
2015-07-31;3.614247;
2015-08-31;3.40121;
2015-09-30;2.940833;
2015-10-31;3.246102;
2015-11-30;2.702222;
2015-12-31;2.850941;
2016-01-31;1.938978;
2016-02-29;2.429598;
2016-03-31;2.160753;
2016-04-30;2.161111;
2016-05-31;2.427554;
2016-06-30;2.931073;
2016-07-31;null;
2016-08-31;3.249059;
2016-09-30;3.241528;
2016-10-31;2.871108;
2016-11-30;2.918472;
2016-12-31;2.192204;
2017-01-31;2.015726;
2017-02-28;1.776786;
2017-03-31;1.777285;
2017-04-30;2.079861;
2017-05-31;2.58293;
2017-06-30;3.398611;
2017-07-31;4.051747;
2017-08-31;3.22164;
2017-09-30;4.370556;
2017-10-31;3.636425;
2017-11-30;2.426944;
2017-12-31;2.226457;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;2.006667;
2018-05-31;2.388645;
2018-06-30;2.69;
2018-07-31;2.865995;
2018-08-31;3.095833;
2018-09-30;2.966528;
2018-10-31;2.574194;
2018-11-30;2.47347;
2018-12-31;2.046476;
2019-01-31;null;
2019-02-28;null;
2019-03-31;1.833333;
2019-04-30;1.62;
2019-05-31;1.810215;
2019-06-30;2.703472;
2019-07-31;2.957661;
2019-08-31;3.416129;
2019-09-30;3.146806;
2019-10-31;2.99664;
2019-11-30;2.355139;
2019-12-31;2.487366;
2020-01-31;1.79086;
2020-02-29;1.675853;
2020-03-31;1.720545;
2020-04-30;1.77125;
2020-05-31;2.010665;
2020-06-30;2.823333;
2020-07-31;3.150269;
2020-08-31;3.42799;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;1.959274;
2021-01-31;2.033602;
2021-02-28;1.776637;
2021-03-31;1.70914;
2021-04-30;2.023194;
2021-05-31;2.090726;
2021-06-30;2.389583;
2021-07-31;3.019758;
2021-08-31;3.293683;
2021-09-30;2.953017;
2021-10-31;2.437097;
2021-11-30;1.920972;
2021-12-31;1.954167;
2022-01-31;null;
2022-02-28;null;
2022-03-31;1.801747;
2022-04-30;1.81875;
2022-05-31;2.149462;
2022-06-30;2.402639;
2022-07-31;3.348889;
2022-08-31;3.375134;
2022-09-30;2.94375;
2022-10-31;2.702016;
2022-11-30;1.922361;
2022-12-31;1.870968;

