Nome: SANTA CRUZ
Codigo Estacao: A367
Latitude: -6.22805554
Longitude: -36.02666666
Altitude: 227.49
Situacao: Operante
Data Inicial: 2010-08-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-08-31;null;
2010-09-30;3.3775;
2010-10-31;2.941263;
2010-11-30;3.230139;
2010-12-31;2.810618;
2011-01-31;2.349866;
2011-02-28;2.235863;
2011-03-31;1.814122;
2011-04-30;null;
2011-05-31;1.907291;
2011-06-30;2.08;
2011-07-31;null;
2011-08-31;null;
2011-09-30;3.388075;
2011-10-31;2.907357;
2011-11-30;3.019722;
2011-12-31;3.0125;
2012-01-31;2.969758;
2012-02-29;2.732471;
2012-03-31;2.676613;
2012-04-30;2.696944;
2012-05-31;2.554032;
2012-06-30;2.334306;
2012-07-31;2.464651;
2012-08-31;3.247043;
2012-09-30;3.100556;
2012-10-31;3.218846;
2012-11-30;2.908036;
2012-12-31;3.054292;
2013-01-31;2.818313;
2013-02-28;2.953754;
2013-03-31;2.783499;
2013-04-30;2.301426;
2013-05-31;2.19291;
2013-06-30;1.995363;
2013-07-31;2.293011;
2013-08-31;2.618691;
2013-09-30;2.852862;
2013-10-31;2.975066;
2013-11-30;null;
2013-12-31;2.82621;
2014-01-31;2.897593;
2014-02-28;2.650893;
2014-03-31;2.498609;
2014-04-30;2.370556;
2014-05-31;2.173445;
2014-06-30;null;
2014-07-31;null;
2014-08-31;2.75457;
2014-09-30;2.608472;
2014-10-31;2.954704;
2014-11-30;2.647083;
2014-12-31;2.721505;
2015-01-31;2.765375;
2015-02-28;2.514881;
2015-03-31;2.04879;
2015-04-30;2.079861;
2015-05-31;2.204436;
2015-06-30;2.058333;
2015-07-31;2.21129;
2015-08-31;2.743952;
2015-09-30;2.591667;
2015-10-31;2.806113;
2015-11-30;2.634167;
2015-12-31;2.51828;
2016-01-31;1.797002;
2016-02-29;2.165086;
2016-03-31;2.251882;
2016-04-30;2.185024;
2016-05-31;2.011425;
2016-06-30;2.084295;
2016-07-31;null;
2016-08-31;2.691236;
2016-09-30;2.882083;
2016-10-31;3.027875;
2016-11-30;2.918611;
2016-12-31;2.722849;
2017-01-31;2.55672;
2017-02-28;2.532292;
2017-03-31;2.290726;
2017-04-30;2.161528;
2017-05-31;2.116263;
2017-06-30;2.588611;
2017-07-31;3.00914;
2017-08-31;2.516935;
2017-09-30;3.168472;
2017-10-31;2.978582;
2017-11-30;2.775417;
2017-12-31;2.772863;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;1.714815;
2018-05-31;2.127823;
2018-06-30;2.229861;
2018-07-31;2.605511;
2018-08-31;2.739247;
2018-09-30;2.815972;
2018-10-31;2.69086;
2018-11-30;2.825694;
2018-12-31;2.547984;
2019-01-31;2.43078;
2019-02-28;1.972619;
2019-03-31;1.765054;
2019-04-30;1.655;
2019-05-31;1.939516;
2019-06-30;2.195417;
2019-07-31;2.031586;
2019-08-31;2.568817;
2019-09-30;2.790694;
2019-10-31;2.755108;
2019-11-30;2.647222;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;2.512083;
2022-10-31;2.666129;
2022-11-30;2.471528;
2022-12-31;null;

