Nome: TIANGUA
Codigo Estacao: A368
Latitude: -3.73222221
Longitude: -41.01194444
Altitude: 756
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;4.240054;
2018-11-30;4.530139;
2018-12-31;3.186156;
2019-01-31;3.399059;
2019-02-28;3.200149;
2019-03-31;2.915323;
2019-04-30;2.84625;
2019-05-31;3.4625;
2019-06-30;3.124722;
2019-07-31;3.381183;
2019-08-31;3.81828;
2019-09-30;4.224028;
2019-10-31;4.238441;
2019-11-30;3.979861;
2019-12-31;4.010618;
2020-01-31;2.971505;
2020-02-29;3.1;
2020-03-31;2.327285;
2020-04-30;2.768333;
2020-05-31;2.888844;
2020-06-30;3.166667;
2020-07-31;3.184812;
2020-08-31;3.369624;
2020-09-30;3.908194;
2020-10-31;4.204704;
2020-11-30;3.576389;
2020-12-31;3.898253;
2021-01-31;3.532796;
2021-02-28;3.33869;
2021-03-31;3.192608;
2021-04-30;3.24625;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;3.556571;
2022-09-30;4.065694;
2022-10-31;4.486425;
2022-11-30;3.172917;
2022-12-31;null;

