Nome: IPANGUACU
Codigo Estacao: A372
Latitude: -5.53499999
Longitude: -36.87222221
Altitude: 19
Situacao: Operante
Data Inicial: 2017-11-07
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-11-30;3.350254;
2017-12-31;3.140092;
2018-01-31;2.414253;
2018-02-28;1.812105;
2018-03-31;1.932543;
2018-04-30;1.217361;
2018-05-31;1.168824;
2018-06-30;1.622766;
2018-07-31;2.112903;
2018-08-31;2.672715;
2018-09-30;3.124052;
2018-10-31;3.199007;
2018-11-30;3.34942;
2018-12-31;2.590784;
2019-01-31;2.024462;
2019-02-28;1.658873;
2019-03-31;1.117882;
2019-04-30;.998798;
2019-05-31;1.261425;
2019-06-30;1.481389;
2019-07-31;1.902823;
2019-08-31;2.532708;
2019-09-30;2.847222;
2019-10-31;3.089031;
2019-11-30;null;
2019-12-31;null;
2020-01-31;2.235679;
2020-02-29;1.762927;
2020-03-31;1.057506;
2020-04-30;1.025909;
2020-05-31;1.035191;
2020-06-30;1.14;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

