Nome: ITAPORANGA
Codigo Estacao: A373
Latitude: -7.31833332
Longitude: -38.14083333
Altitude: 292
Situacao: Operante
Data Inicial: 2017-11-02
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-11-30;2.904938;
2017-12-31;3.143841;
2018-01-31;null;
2018-02-28;1.796131;
2018-03-31;1.771371;
2018-04-30;1.423333;
2018-05-31;1.682258;
2018-06-30;null;
2018-07-31;null;
2018-08-31;2.465591;
2018-09-30;2.555972;
2018-10-31;2.725538;
2018-11-30;null;
2018-12-31;null;
2019-01-31;1.940432;
2019-02-28;1.672173;
2019-03-31;1.72275;
2019-04-30;1.367784;
2019-05-31;1.300926;
2019-06-30;1.736512;
2019-07-31;2.167226;
2019-08-31;2.482393;
2019-09-30;2.473889;
2019-10-31;2.771667;
2019-11-30;null;
2019-12-31;2.480739;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

