Nome: BAIXA GRANDE DO RIBEIRO
Codigo Estacao: A375
Latitude: -8.333531
Longitude: -45.094625
Altitude: 519
Situacao: Operante
Data Inicial: 2018-03-22
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;null;
2018-04-30;1.810278;
2018-05-31;2.214292;
2018-06-30;2.699844;
2018-07-31;2.922177;
2018-08-31;2.693817;
2018-09-30;2.219003;
2018-10-31;1.752016;
2018-11-30;1.917917;
2018-12-31;1.653781;
2019-01-31;1.296505;
2019-02-28;1.04406;
2019-03-31;1.191976;
2019-04-30;1.181667;
2019-05-31;1.338307;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;2.330556;
2019-10-31;1.942615;
2019-11-30;1.858588;
2019-12-31;2.180289;
2020-01-31;1.482832;
2020-02-29;1.401268;
2020-03-31;1.490022;
2020-04-30;1.911111;
2020-05-31;2.366801;
2020-06-30;3.069861;
2020-07-31;3.321371;
2020-08-31;3.315054;
2020-09-30;3.552899;
2020-10-31;2.549059;
2020-11-30;2.500802;
2020-12-31;1.751842;
2021-01-31;1.539292;
2021-02-28;1.310149;
2021-03-31;1.355926;
2021-04-30;1.552917;
2021-05-31;1.920658;
2021-06-30;2.055833;
2021-07-31;2.74664;
2021-08-31;3.132796;
2021-09-30;2.280074;
2021-10-31;1.749673;
2021-11-30;1.49752;
2021-12-31;1.374907;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

