Nome: CAMPO MAIOR
Codigo Estacao: A376
Latitude: -4.86416666
Longitude: -42.14555555
Altitude: 125
Situacao: Operante
Data Inicial: 2018-11-22
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;1.152083;
2019-05-31;1.240054;
2019-06-30;1.654306;
2019-07-31;1.902688;
2019-08-31;2.047312;
2019-09-30;2.049444;
2019-10-31;2.187903;
2019-11-30;2.085556;
2019-12-31;2.044624;
2020-01-31;1.325134;
2020-02-29;1.086925;
2020-03-31;1.140726;
2020-04-30;1.360417;
2020-05-31;1.540188;
2020-06-30;2.093472;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;2.218006;
2022-09-30;2.231806;
2022-10-31;2.299462;
2022-11-30;1.871586;
2022-12-31;1.875939;

