Nome: ANGICAL DO PIAUI
Codigo Estacao: A377
Latitude: -6.08944444
Longitude: -42.72749999
Altitude: 183
Situacao: Operante
Data Inicial: 2019-11-13
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-11-30;null;
2019-12-31;1.121371;
2020-01-31;1.028728;
2020-02-29;.927826;
2020-03-31;.939113;
2020-04-30;.940694;
2020-05-31;.9625;
2020-06-30;1.140278;
2020-07-31;1.261828;
2020-08-31;1.359946;
2020-09-30;1.362917;
2020-10-31;1.298925;
2020-11-30;1.083611;
2020-12-31;.993981;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;1.376339;
2022-09-30;1.25819;
2022-10-31;1.239516;
2022-11-30;.907083;
2022-12-31;.898387;

