Nome: SALVADOR
Codigo Estacao: A401
Latitude: -13.005515
Longitude: -38.50576
Altitude: 47.56
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;1.760081;
2004-02-29;1.541757;
2004-03-31;1.481253;
2004-04-30;1.557391;
2004-05-31;1.41108;
2004-06-30;1.708631;
2004-07-31;2.423323;
2004-08-31;2.126212;
2004-09-30;2.126063;
2004-10-31;1.854228;
2004-11-30;1.858425;
2004-12-31;1.915909;
2005-01-31;1.814169;
2005-02-28;1.757253;
2005-03-31;1.419295;
2005-04-30;null;
2005-05-31;2.126689;
2005-06-30;1.90851;
2005-07-31;2.244416;
2005-08-31;1.910374;
2005-09-30;1.846469;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;2.216184;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;1.871748;
2007-04-30;1.723564;
2007-05-31;null;
2007-06-30;2.342524;
2007-07-31;1.920162;
2007-08-31;null;
2007-09-30;null;
2007-10-31;2.384414;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;2.056655;
2008-08-31;1.619489;
2008-09-30;1.449028;
2008-10-31;1.786828;
2008-11-30;1.826843;
2008-12-31;1.347715;
2009-01-31;1.457311;
2009-02-28;1.242735;
2009-03-31;1.275672;
2009-04-30;.998056;
2009-05-31;1.800892;
2009-06-30;1.110278;
2009-07-31;.90914;
2009-08-31;1.088172;
2009-09-30;1.15125;
2009-10-31;1.41954;
2009-11-30;1.41875;
2009-12-31;1.417876;
