Nome: AREMBEPE
Codigo Estacao: A403
Latitude: -12.762552
Longitude: -38.16906
Altitude: 4.87
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2013-10-12
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;5.615293;
2004-02-29;5.414493;
2004-03-31;5.719624;
2004-04-30;5.664191;
2004-05-31;5.452554;
2004-06-30;6.632186;
2004-07-31;7.237998;
2004-08-31;6.197762;
2004-09-30;6.874523;
2004-10-31;6.833427;
2004-11-30;7.011685;
2004-12-31;6.850022;
2005-01-31;6.152109;
2005-02-28;5.842757;
2005-03-31;4.92262;
2005-04-30;4.994008;
2005-05-31;7.393359;
2005-06-30;6.925067;
2005-07-31;null;
2005-08-31;7.097762;
2005-09-30;null;
2005-10-31;.300438;
2005-11-30;0;
2005-12-31;0;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;7.70625;
2007-10-31;7.13303;
2007-11-30;7.119239;
2007-12-31;6.692608;
2008-01-31;6.452268;
2008-02-29;5.69959;
2008-03-31;5.455345;
2008-04-30;4.951834;
2008-05-31;6.300758;
2008-06-30;6.662193;
2008-07-31;7.691926;
2008-08-31;6.756357;
2008-09-30;6.625175;
2008-10-31;7.157381;
2008-11-30;6.659028;
2008-12-31;5.419355;
2009-01-31;5.806855;
2009-02-28;5.982418;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;6.091935;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;6.981327;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;5.930242;
2012-02-29;null;
2012-03-31;5.871529;
2012-04-30;5.22375;
2012-05-31;6.102833;
2012-06-30;null;
2012-07-31;5.918765;
2012-08-31;7.575303;
2012-09-30;6.436389;
2012-10-31;6.734946;
2012-11-30;5.230417;
2012-12-31;5.887366;
2013-01-31;5.55373;
2013-02-28;6.269048;
2013-03-31;5.707806;
2013-04-30;6.381528;
2013-05-31;5.406317;
2013-06-30;4.837134;
2013-07-31;6.00578;
2013-08-31;6.166129;
2013-09-30;6.353611;
2013-10-31;null;

