Nome: CARAVELAS
Codigo Estacao: A405
Latitude: -17.73944444
Longitude: -39.25861111
Altitude: 6.05
Situacao: Pane
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;3.126256;
2004-02-29;2.405722;
2004-03-31;1.953226;
2004-04-30;1.960248;
2004-05-31;2.235887;
2004-06-30;1.876407;
2004-07-31;2.736711;
2004-08-31;2.310309;
2004-09-30;2.312983;
2004-10-31;3.251207;
2004-11-30;3.30187;
2004-12-31;3.039466;
2005-01-31;2.870329;
2005-02-28;2.934678;
2005-03-31;2.070362;
2005-04-30;1.759258;
2005-05-31;2.628211;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;2.556813;
2006-07-31;1.958561;
2006-08-31;null;
2006-09-30;2.967633;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;1.874469;
2007-05-31;2.402629;
2007-06-30;1.677615;
2007-07-31;2.242602;
2007-08-31;2.202478;
2007-09-30;2.702382;
2007-10-31;2.95054;
2007-11-30;3.309224;
2007-12-31;3.051467;
2008-01-31;2.739532;
2008-02-29;2.657785;
2008-03-31;2.013463;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;2.110096;
2008-08-31;2.030815;
2008-09-30;2.84212;
2008-10-31;3.044582;
2008-11-30;null;
2008-12-31;2.803793;
2009-01-31;2.567875;
2009-02-28;2.226255;
2009-03-31;2.242233;
2009-04-30;null;
2009-05-31;2.163844;
2009-06-30;2.060345;
2009-07-31;1.838441;
2009-08-31;2.505242;
2009-09-30;2.863472;
2009-10-31;2.727305;
2009-11-30;3.115833;
2009-12-31;3.002285;
2010-01-31;2.488441;
2010-02-28;2.220089;
2010-03-31;2.294662;
2010-04-30;2.23994;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;3.059722;
2010-12-31;3.283737;
2011-01-31;2.639919;
2011-02-28;2.124851;
2011-03-31;2.291349;
2011-04-30;1.986528;
2011-05-31;2.10793;
2011-06-30;2.497639;
2011-07-31;1.895565;
2011-08-31;2.467876;
2011-09-30;2.996806;
2011-10-31;3.566667;
2011-11-30;2.856101;
2011-12-31;2.838844;
2012-01-31;2.572177;
2012-02-29;2.253736;
2012-03-31;1.981171;
2012-04-30;1.676944;
2012-05-31;2.104435;
2012-06-30;1.300954;
2012-07-31;1.594758;
2012-08-31;2.390745;
2012-09-30;3.159306;
2012-10-31;2.70578;
2012-11-30;2.627917;
2012-12-31;2.87043;
2013-01-31;2.63078;
2013-02-28;2.267113;
2013-03-31;2.561028;
2013-04-30;2.314306;
2013-05-31;2.048387;
2013-06-30;1.752285;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;3.044448;
2013-11-30;2.711389;
2013-12-31;3.433602;
2014-01-31;2.008871;
2014-02-28;1.91994;
2014-03-31;1.8875;
2014-04-30;2.019861;
2014-05-31;null;
2014-06-30;null;
2014-07-31;2.155511;
2014-08-31;2.116532;
2014-09-30;2.879167;
2014-10-31;3.146371;
2014-11-30;2.912083;
2014-12-31;2.535081;
2015-01-31;2.483386;
2015-02-28;2.289137;
2015-03-31;2.05578;
2015-04-30;2.33;
2015-05-31;2.161694;
2015-06-30;2.202083;
2015-07-31;1.605242;
2015-08-31;1.823118;
2015-09-30;2.841944;
2015-10-31;2.995027;
2015-11-30;3.426389;
2015-12-31;3.099597;
2016-01-31;2.997849;
2016-02-29;2.34181;
2016-03-31;2.210887;
2016-04-30;1.80875;
2016-05-31;2.25793;
2016-06-30;2.57;
2016-07-31;2.052285;
2016-08-31;2.282661;
2016-09-30;2.519964;
2016-10-31;2.916398;
2016-11-30;2.896806;
2016-12-31;3.186156;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;2.021389;
2017-05-31;1.937097;
2017-06-30;1.887222;
2017-07-31;2.362769;
2017-08-31;2.18078;
2017-09-30;2.531806;
2017-10-31;3.349013;
2017-11-30;4.129167;
2017-12-31;3.487903;
2018-01-31;3.651344;
2018-02-28;3.147768;
2018-03-31;2.998521;
2018-04-30;2.272639;
2018-05-31;2.333871;
2018-06-30;2.089583;
2018-07-31;1.895027;
2018-08-31;2.700672;
2018-09-30;3.96125;
2018-10-31;3.879032;
2018-11-30;3.631806;
2018-12-31;4.163441;
2019-01-31;3.247312;
2019-02-28;3.662351;
2019-03-31;3.239247;
2019-04-30;2.266806;
2019-05-31;1.956399;
2019-06-30;null;
2019-07-31;3.072715;
2019-08-31;2.879704;
2019-09-30;3.172917;
2019-10-31;3.357392;
2019-11-30;3.793611;
2019-12-31;3.754032;
2020-01-31;3.912097;
2020-02-29;3.186063;
2020-03-31;2.557392;
2020-04-30;2.839445;
2020-05-31;null;
2020-06-30;null;
2020-07-31;2.340528;
2020-08-31;3.10223;
2020-09-30;3.233569;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;3.150528;
2022-10-31;3.743145;
2022-11-30;3.533889;
2022-12-31;3.533468;

