Nome: CRUZ DAS ALMAS
Codigo Estacao: A406
Latitude: -12.67555554
Longitude: -39.08944444
Altitude: 219.76
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;
2004-02-29;null;
2004-03-31;2.501479;
2004-04-30;2.641437;
2004-05-31;2.493145;
2004-06-30;2.750338;
2004-07-31;3.097031;
2004-08-31;2.975397;
2004-09-30;3.16538;
2004-10-31;3.02192;
2004-11-30;3.161201;
2004-12-31;3.043393;
2005-01-31;2.99349;
2005-02-28;2.880806;
2005-03-31;2.695496;
2005-04-30;2.609801;
2005-05-31;3.267975;
2005-06-30;2.959358;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;3.251258;
2005-11-30;3.190417;
2005-12-31;3.047446;
2006-01-31;3.239785;
2006-02-28;3.194777;
2006-03-31;2.892791;
2006-04-30;2.828844;
2006-05-31;null;
2006-06-30;3.478194;
2006-07-31;3.177981;
2006-08-31;3.0678;
2006-09-30;3.237098;
2006-10-31;3.023253;
2006-11-30;2.792509;
2006-12-31;3.105571;
2007-01-31;3.193414;
2007-02-28;2.918559;
2007-03-31;2.755078;
2007-04-30;2.679861;
2007-05-31;3.042093;
2007-06-30;2.960821;
2007-07-31;null;
2007-08-31;3.345055;
2007-09-30;3.213815;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;2.947043;
2008-09-30;2.943889;
2008-10-31;3.150269;
2008-11-30;3.330417;
2008-12-31;2.722984;
2009-01-31;2.920202;
2009-02-28;2.936472;
2009-03-31;2.810484;
2009-04-30;2.810833;
2009-05-31;3.402823;
2009-06-30;2.910694;
2009-07-31;2.713441;
2009-08-31;3.050134;
2009-09-30;2.817113;
2009-10-31;2.931753;
2009-11-30;3.182639;
2009-12-31;3.312097;
2010-01-31;null;
2010-02-28;3.201786;
2010-03-31;2.75457;
2010-04-30;2.887356;
2010-05-31;2.602688;
2010-06-30;3.613333;
2010-07-31;3.218243;
2010-08-31;3.165664;
2010-09-30;3.167663;
2010-10-31;3.184812;
2010-11-30;3.24375;
2010-12-31;2.969086;
2011-01-31;2.987993;
2011-02-28;3.023512;
2011-03-31;2.971297;
2011-04-30;2.835833;
2011-05-31;2.942742;
2011-06-30;2.763889;
2011-07-31;2.95672;
2011-08-31;2.762634;
2011-09-30;3.272361;
2011-10-31;3.033468;
2011-11-30;3.074444;
2011-12-31;2.652796;
2012-01-31;null;
2012-02-29;2.968873;
2012-03-31;2.686694;
2012-04-30;2.455417;
2012-05-31;2.743145;
2012-06-30;2.276263;
2012-07-31;2.497446;
2012-08-31;2.907354;
2012-09-30;2.842361;
2012-10-31;2.730242;
2012-11-30;2.524855;
2012-12-31;2.785081;
2013-01-31;2.822446;
2013-02-28;2.793601;
2013-03-31;2.737945;
2013-04-30;2.908961;
2013-05-31;2.475941;
2013-06-30;2.323497;
2013-07-31;2.477554;
2013-08-31;2.582661;
2013-09-30;2.507917;
2013-10-31;2.865691;
2013-11-30;2.578056;
2013-12-31;2.43643;
2014-01-31;2.72154;
2014-02-28;2.564435;
2014-03-31;2.321505;
2014-04-30;2.492083;
2014-05-31;2.411092;
2014-06-30;2.404028;
2014-07-31;2.521622;
2014-08-31;2.476344;
2014-09-30;2.713297;
2014-10-31;3.043414;
2014-11-30;2.754167;
2014-12-31;2.80949;
2015-01-31;2.767829;
2015-02-28;2.933266;
2015-03-31;2.885031;
2015-04-30;null;
2015-05-31;null;
2015-06-30;2.505694;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;2.552823;
2015-11-30;2.871654;
2015-12-31;null;
2016-01-31;2.435612;
2016-02-29;2.421408;
2016-03-31;2.40914;
2016-04-30;2.302083;
2016-05-31;2.030645;
2016-06-30;2.458581;
2016-07-31;2.202688;
2016-08-31;2.38629;
2016-09-30;2.518194;
2016-10-31;2.623521;
2016-11-30;2.758056;
2016-12-31;2.900538;
2017-01-31;2.898522;
2017-02-28;2.785145;
2017-03-31;2.744893;
2017-04-30;2.481389;
2017-05-31;2.363575;
2017-06-30;2.437778;
2017-07-31;3.167608;
2017-08-31;2.646774;
2017-09-30;3.036944;
2017-10-31;2.712903;
2017-11-30;2.428195;
2017-12-31;2.499462;
2018-01-31;2.58871;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;2.423118;
2018-06-30;2.221389;
2018-07-31;2.236021;
2018-08-31;2.288844;
2018-09-30;2.409722;
2018-10-31;2.642964;
2018-11-30;2.636944;
2018-12-31;2.149597;
2019-01-31;2.588306;
2019-02-28;2.449554;
2019-03-31;2.341667;
2019-04-30;1.813611;
2019-05-31;1.922996;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;2.404436;
2019-11-30;2.656944;
2019-12-31;2.634409;
2020-01-31;2.160215;
2020-02-29;2.017385;
2020-03-31;2.320699;
2020-04-30;2.388611;
2020-05-31;2.286828;
2020-06-30;2.403056;
2020-07-31;2.372446;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;.587634;
2022-01-31;.761022;
2022-02-28;.801637;
2022-03-31;.86465;
2022-04-30;.741831;
2022-05-31;.767473;
2022-06-30;.976111;
2022-07-31;1.10914;
2022-08-31;1.39664;
