Nome: ITIRUCU
Codigo Estacao: A407
Latitude: -13.52777777
Longitude: -40.11972221
Altitude: 757.42
Situacao: Pane
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;3.057094;
2004-02-29;2.599913;
2004-03-31;2.32621;
2004-04-30;2.499408;
2004-05-31;2.432258;
2004-06-30;2.561377;
2004-07-31;2.831066;
2004-08-31;2.849521;
2004-09-30;2.985079;
2004-10-31;3.141397;
2004-11-30;3.083228;
2004-12-31;2.6305;
2005-01-31;2.734067;
2005-02-28;3.095561;
2005-03-31;2.309688;
2005-04-30;2.408833;
2005-05-31;2.881964;
2005-06-30;2.923885;
2005-07-31;null;
2005-08-31;null;
2005-09-30;2.719478;
2005-10-31;2.990102;
2005-11-30;2.896559;
2005-12-31;2.734409;
2006-01-31;2.912366;
2006-02-28;2.731511;
2006-03-31;2.442835;
2006-04-30;2.413528;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;2.788276;
2006-09-30;null;
2006-10-31;2.760605;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;2.475024;
2007-08-31;2.857913;
2007-09-30;2.882651;
2007-10-31;2.908275;
2007-11-30;2.9525;
2007-12-31;2.61967;
2008-01-31;2.684186;
2008-02-29;2.5875;
2008-03-31;2.291204;
2008-04-30;2.244306;
2008-05-31;2.387161;
2008-06-30;2.512017;
2008-07-31;2.473925;
2008-08-31;2.398895;
2008-09-30;2.674861;
2008-10-31;3.116532;
2008-11-30;3.049795;
2008-12-31;2.500649;
2009-01-31;2.394396;
2009-02-28;2.442289;
2009-03-31;2.473522;
2009-04-30;2.297768;
2009-05-31;2.498522;
2009-06-30;2.216699;
2009-07-31;2.33507;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;2.908951;
2010-01-31;2.809971;
2010-02-28;2.775446;
2010-03-31;2.35;
2010-04-30;2.327917;
2010-05-31;2.223387;
2010-06-30;2.6975;
2010-07-31;2.916398;
2010-08-31;2.58404;
2010-09-30;2.932639;
2010-10-31;2.903495;
2010-11-30;2.814444;
2010-12-31;2.625;
2011-01-31;2.597177;
2011-02-28;2.546875;
2011-03-31;2.550774;
2011-04-30;2.403611;
2011-05-31;2.260887;
2011-06-30;2.4375;
2011-07-31;2.36828;
2011-08-31;2.500538;
2011-09-30;2.734445;
2011-10-31;3.012931;
2011-11-30;2.694444;
2011-12-31;2.688281;
2012-01-31;2.976541;
2012-02-29;2.776006;
2012-03-31;2.869892;
2012-04-30;2.590667;
2012-05-31;2.351747;
2012-06-30;2.200833;
2012-07-31;2.463978;
2012-08-31;2.784044;
2012-09-30;2.93625;
2012-10-31;3.023656;
2012-11-30;2.686111;
2012-12-31;2.961559;
2013-01-31;2.779032;
2013-02-28;2.695387;
2013-03-31;2.536722;
2013-04-30;2.534861;
2013-05-31;2.409005;
2013-06-30;2.075909;
2013-07-31;2.270243;
2013-08-31;2.394624;
2013-09-30;2.683194;
2013-10-31;3.186828;
2013-11-30;3.035833;
2013-12-31;2.656002;
2014-01-31;2.3875;
2014-02-28;2.250298;
2014-03-31;2.162097;
2014-04-30;1.933889;
2014-05-31;2.012097;
2014-06-30;1.896528;
2014-07-31;2.276344;
2014-08-31;2.185215;
2014-09-30;2.665833;
2014-10-31;2.861425;
2014-11-30;2.391111;
2014-12-31;2.29543;
2015-01-31;2.01825;
2015-02-28;1.972917;
2015-03-31;1.945027;
2015-04-30;1.833194;
2015-05-31;1.951075;
2015-06-30;1.965139;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;2.551613;
2015-11-30;2.739861;
2015-12-31;2.815054;
2016-01-31;2.477554;
2016-02-29;2.116954;
2016-03-31;2.154435;
2016-04-30;2.093889;
2016-05-31;1.932124;
2016-06-30;2.069028;
2016-07-31;1.825;
2016-08-31;2.174866;
2016-09-30;2.376806;
2016-10-31;2.73906;
2016-11-30;2.56125;
2016-12-31;2.555108;
2017-01-31;2.565726;
2017-02-28;2.401935;
2017-03-31;2.279704;
2017-04-30;1.920972;
2017-05-31;1.898656;
2017-06-30;1.663095;
2017-07-31;2.076081;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;2.552394;
2017-12-31;2.493145;
2018-01-31;2.369624;
2018-02-28;2.243006;
2018-03-31;1.936156;
2018-04-30;1.781528;
2018-05-31;1.782124;
2018-06-30;1.604167;
2018-07-31;1.571505;
2018-08-31;2.143011;
2018-09-30;2.455139;
2018-10-31;2.643952;
2018-11-30;2.615139;
2018-12-31;2.340591;
2019-01-31;2.269355;
2019-02-28;null;
2019-03-31;2.064785;
2019-04-30;1.572222;
2019-05-31;1.386694;
2019-06-30;1.902083;
2019-07-31;1.992608;
2019-08-31;2.091129;
2019-09-30;2.218055;
2019-10-31;2.436694;
2019-11-30;2.759306;
2019-12-31;2.63629;
2020-01-31;2.201882;
2020-02-29;2.109339;
2020-03-31;1.804435;
2020-04-30;1.907222;
2020-05-31;1.720027;
2020-06-30;1.748611;
2020-07-31;1.826613;
2020-08-31;1.942473;
2020-09-30;2.165;
2020-10-31;2.379704;
2020-11-30;2.091389;
2020-12-31;2.253763;
2021-01-31;2.140457;
2021-02-28;2.044196;
2021-03-31;2.162231;
2021-04-30;1.878056;
2021-05-31;1.77379;
2021-06-30;1.596667;
2021-07-31;1.936559;
2021-08-31;2.109812;
2021-09-30;2.21092;
2021-10-31;2.484812;
2021-11-30;2.201528;
2021-12-31;2.065188;
2022-01-31;1.903571;
2022-02-28;1.572024;
2022-03-31;1.623656;
2022-04-30;1.72;
2022-05-31;1.488172;
2022-06-30;1.276667;
2022-07-31;1.634946;
2022-08-31;1.91371;
2022-09-30;1.944722;
2022-10-31;2.249462;
2022-11-30;1.895139;
2022-12-31;1.764247;

