Nome: ITABERABA
Codigo Estacao: A408
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.435986;
2004-02-29;1.928761;
2004-03-31;1.716929;
2004-04-30;1.728605;
2004-05-31;1.602823;
2004-06-30;1.60724;
2004-07-31;1.957614;
2004-08-31;2.355154;
2004-09-30;2.858041;
2004-10-31;2.916716;
2004-11-30;2.926063;
2004-12-31;2.258117;
2005-01-31;2.19199;
2005-02-28;2.119566;
2005-03-31;1.631041;
2005-04-30;1.667292;
2005-05-31;1.866378;
2005-06-30;1.725355;
2005-07-31;null;
2005-08-31;null;
2005-09-30;2.652395;
2005-10-31;3.136699;
2005-11-30;2.623195;
2005-12-31;2.330978;
2006-01-31;2.86922;
2006-02-28;2.812895;
2006-03-31;2.076075;
2006-04-30;1.543045;
2006-05-31;null;
2006-06-30;1.802307;
2006-07-31;1.949673;
2006-08-31;2.396793;
2006-09-30;2.776566;
2006-10-31;2.585618;
2006-11-30;2.159118;
2006-12-31;2.547968;
2007-01-31;2.816263;
2007-02-28;2.105804;
2007-03-31;1.867197;
2007-04-30;1.650851;
2007-05-31;1.794694;
2007-06-30;1.83378;
2007-07-31;1.890799;
2007-08-31;2.578132;
2007-09-30;2.789608;
2007-10-31;3.128559;
2007-11-30;3.140066;
2007-12-31;2.458065;
2008-01-31;2.887097;
2008-02-29;2.411782;
2008-03-31;1.768519;
2008-04-30;1.951389;
2008-05-31;2.072873;
2008-06-30;1.931564;
2008-07-31;2.139919;
2008-08-31;2.614247;
2008-09-30;2.755556;
2008-10-31;null;
2008-11-30;null;
2008-12-31;2.070033;
2009-01-31;2.092216;
2009-02-28;2.434091;
2009-03-31;2.391667;
2009-04-30;1.797639;
2009-05-31;2.072312;
2009-06-30;1.756806;
2009-07-31;null;
2009-08-31;null;
2009-09-30;3.051944;
2009-10-31;null;
2009-11-30;null;
2009-12-31;2.266833;
2010-01-31;2.477053;
2010-02-28;2.796131;
2010-03-31;1.792742;
2010-04-30;1.720694;
2010-05-31;1.590457;
2010-06-30;2.152778;
2010-07-31;2.176479;
2010-08-31;2.208442;
2010-09-30;2.765694;
2010-10-31;2.758871;
2010-11-30;2.680278;
2010-12-31;2.333333;
2011-01-31;2.467339;
2011-02-28;2.810268;
2011-03-31;2.350054;
2011-04-30;2.348056;
2011-05-31;2.144489;
