Nome: ILHEUS
Codigo Estacao: A410
Latitude: -14.65888888
Longitude: -39.18138888
Altitude: 80.21
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.706563;
2004-02-29;2.555616;
2004-03-31;2.290457;
2004-04-30;2.558847;
2004-05-31;2.458065;
2004-06-30;2.673958;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;2.57027;
2006-07-31;2.394495;
2006-08-31;2.238508;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;.875637;
2007-08-31;0;
2007-09-30;0;
2007-10-31;0;
2007-11-30;0;
2007-12-31;0;
2008-01-31;0;
2008-02-29;0;
2008-03-31;0;
2008-04-30;0;
2008-05-31;0;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;0;
2008-10-31;0;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;.983737;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;2.109168;
2010-06-30;2.612445;
2010-07-31;null;
2010-08-31;2.471938;
2010-09-30;2.47875;
2010-10-31;2.426389;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;2.130057;
2011-03-31;2.140296;
2011-04-30;2.161199;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;2.218778;
2011-09-30;2.682222;
2011-10-31;null;
2011-11-30;null;
2011-12-31;2.062366;
2012-01-31;2.163172;
2012-02-29;2.160058;
2012-03-31;2.029032;
2012-04-30;2.121528;
2012-05-31;2.249194;
2012-06-30;null;
2012-07-31;2.149193;
2012-08-31;2.512423;
2012-09-30;2.347083;
2012-10-31;2.216667;
2012-11-30;1.898139;
2012-12-31;2.257796;
2013-01-31;2.19422;
2013-02-28;2.116369;
2013-03-31;2.066049;
2013-04-30;null;
2013-05-31;null;
2013-06-30;2.035391;
2013-07-31;2.11371;
2013-08-31;2.256183;
2013-09-30;2.311111;
2013-10-31;2.383065;
2013-11-30;2.125139;
2013-12-31;2.193414;
2014-01-31;2.155242;
2014-02-28;2.219048;
2014-03-31;1.975941;
2014-04-30;2.105;
2014-05-31;2.120102;
2014-06-30;2.108333;
2014-07-31;2.260081;
2014-08-31;2.288575;
2014-09-30;2.339444;
2014-10-31;2.413172;
2014-11-30;2.12375;
2014-12-31;2.086694;
2015-01-31;2.132813;
2015-02-28;2.202083;
2015-03-31;1.998522;
2015-04-30;2.217361;
2015-05-31;2.396909;
2015-06-30;2.206667;
2015-07-31;2.198118;
2015-08-31;2.308737;
2015-09-30;2.155694;
2015-10-31;2.310081;
2015-11-30;2.475694;
2015-12-31;2.615188;
2016-01-31;2.268952;
2016-02-29;2.28204;
2016-03-31;2.282392;
2016-04-30;2.0825;
2016-05-31;2.135484;
2016-06-30;2.421806;
2016-07-31;2.138306;
2016-08-31;2.290591;
2016-09-30;2.089722;
2016-10-31;2.150076;
2016-11-30;2.12875;
2016-12-31;2.256183;
2017-01-31;2.396505;
2017-02-28;2.071131;
2017-03-31;2.088172;
2017-04-30;2.040694;
2017-05-31;2.115278;
2017-06-30;null;
2017-07-31;null;
2017-08-31;2.264113;
2017-09-30;2.517778;
2017-10-31;2.285349;
2017-11-30;2.193966;
2017-12-31;2.002222;
2018-01-31;2.271506;
2018-02-28;2.077827;
2018-03-31;1.987189;
2018-04-30;2.132295;
2018-05-31;2.21316;
2018-06-30;1.931544;
2018-07-31;1.947715;
2018-08-31;2.034812;
2018-09-30;2.119722;
2018-10-31;2.101673;
2018-11-30;2.022778;
2018-12-31;2.061559;
2019-01-31;2.200134;
2019-02-28;2.23631;
2019-03-31;2.14879;
2019-04-30;1.904167;
2019-05-31;1.8625;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;1.971131;
2022-01-31;2.063038;
2022-02-28;1.944938;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;2.050977;

