Nome: FEIRA DE SANTANA
Codigo Estacao: A413
Latitude: -12.1961111
Longitude: -38.96749999
Altitude: 229.64
Situacao: Pane
Data Inicial: 2007-05-25
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;
2007-06-30;2.074198;
2007-07-31;2.074084;
2007-08-31;2.504921;
2007-09-30;2.596944;
2007-10-31;2.678284;
2007-11-30;3.012222;
2007-12-31;2.826075;
2008-01-31;2.789382;
2008-02-29;2.572151;
2008-03-31;2.141358;
2008-04-30;1.972778;
2008-05-31;2.214428;
2008-06-30;2.109783;
2008-07-31;2.256183;
2008-08-31;2.253629;
2008-09-30;2.473889;
2008-10-31;2.741667;
2008-11-30;3.043629;
2008-12-31;2.440188;
2009-01-31;2.571844;
2009-02-28;2.548926;
2009-03-31;2.264382;
2009-04-30;2.299861;
2009-05-31;2.596505;
2009-06-30;2.12375;
2009-07-31;2.090188;
2009-08-31;2.286156;
2009-09-30;2.466111;
2009-10-31;2.579723;
2009-11-30;2.724583;
2009-12-31;2.910215;
2010-01-31;2.595968;
2010-02-28;2.684226;
2010-03-31;2.372984;
2010-04-30;2.219583;
2010-05-31;2.047043;
2010-06-30;2.7775;
2010-07-31;2.529435;
2010-08-31;2.443853;
2010-09-30;2.560328;
2010-10-31;2.629839;
2010-11-30;2.715833;
2010-12-31;2.477016;
2011-01-31;2.464113;
2011-02-28;2.591369;
2011-03-31;2.537743;
2011-04-30;2.320278;
2011-05-31;2.30578;
2011-06-30;2.122361;
2011-07-31;2.380242;
2011-08-31;2.281317;
2011-09-30;2.784167;
2011-10-31;2.842339;
2011-11-30;2.591944;
2011-12-31;2.427823;
2012-01-31;2.761559;
2012-02-29;2.731465;
2012-03-31;2.646102;
2012-04-30;2.467008;
2012-05-31;2.411828;
2012-06-30;2.033056;
2012-07-31;null;
2012-08-31;null;
2012-09-30;2.80625;
2012-10-31;2.814785;
2012-11-30;2.750278;
2012-12-31;2.869086;
2013-01-31;2.655376;
2013-02-28;2.741667;
2013-03-31;2.75475;
2013-04-30;2.660694;
2013-05-31;null;
2013-06-30;null;
2013-07-31;2.031919;
2013-08-31;2.235081;
2013-09-30;2.382222;
2013-10-31;2.774328;
2013-11-30;2.608889;
2013-12-31;2.573656;
2014-01-31;2.683333;
2014-02-28;2.508333;
2014-03-31;2.406452;
2014-04-30;2.4618;
2014-05-31;2.307661;
2014-06-30;2.144861;
2014-07-31;2.113844;
2014-08-31;2.214919;
2014-09-30;2.598007;
2014-10-31;2.813172;
2014-11-30;2.715616;
2014-12-31;2.599218;
2015-01-31;2.563415;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;2.210507;
2015-06-30;2.140972;
2015-07-31;2.000736;
2015-08-31;2.090995;
2015-09-30;2.350139;
2015-10-31;2.531586;
2015-11-30;2.896806;
2015-12-31;3.032597;
2016-01-31;2.310187;
2016-02-29;2.187931;
2016-03-31;2.440591;
2016-04-30;2.356944;
2016-05-31;2.063247;
2016-06-30;2.304888;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;3.044788;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;2.73629;
2017-04-30;2.318195;
2017-05-31;2.174194;
2017-06-30;2.235311;
2017-07-31;null;
2017-08-31;2.512193;
2017-09-30;2.834861;
2017-10-31;2.851882;
2017-11-30;2.707905;
2017-12-31;2.901882;
2018-01-31;2.85121;
2018-02-28;2.877381;
2018-03-31;2.502669;
2018-04-30;null;
2018-05-31;2.085484;
2018-06-30;1.97;
2018-07-31;2.002285;
2018-08-31;2.191856;
2018-09-30;2.515027;
2018-10-31;2.754632;
2018-11-30;2.790833;
2018-12-31;2.349059;
2019-01-31;2.731183;
2019-02-28;2.585566;
2019-03-31;2.239785;
2019-04-30;1.962361;
2019-05-31;1.921774;
2019-06-30;2.1325;
2019-07-31;2.181721;
2019-08-31;2.246505;
2019-09-30;2.284167;
2019-10-31;2.619086;
2019-11-30;2.853889;
2019-12-31;2.714785;
2020-01-31;2.315995;
2020-02-29;2.184626;
2020-03-31;2.233889;
2020-04-30;2.2385;
2020-05-31;1.991945;
2020-06-30;2.114167;
2020-07-31;2.156989;
2020-08-31;2.249866;
2020-09-30;2.297407;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;2.580035;
2021-11-30;2.215833;
2021-12-31;2.203524;
2022-01-31;1.980482;
2022-02-28;2.111135;
2022-03-31;2.126381;
2022-04-30;2.143406;
2022-05-31;2.066644;
2022-06-30;2.102195;
2022-07-31;2.219041;
2022-08-31;2.296143;
2022-09-30;2.188777;
2022-10-31;2.573112;
2022-11-30;2.595815;
2022-12-31;2.374204;

