Nome: SANTA RITA DE CASSIA
Codigo Estacao: A415
Latitude: -11.00333333
Longitude: -44.53638888
Altitude: 450
Situacao: Operante
Data Inicial: 2007-05-27
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;
2007-06-30;1.721878;
2007-07-31;1.599065;
2007-08-31;2.006446;
2007-09-30;2.043889;
2007-10-31;2.060198;
2007-11-30;1.985139;
2007-12-31;1.581855;
2008-01-31;1.549462;
2008-02-29;1.523276;
2008-03-31;1.394599;
2008-04-30;1.318611;
2008-05-31;1.403389;
2008-06-30;1.493068;
2008-07-31;1.618414;
2008-08-31;1.654032;
2008-09-30;1.869583;
2008-10-31;2.171774;
2008-11-30;1.769704;
2008-12-31;1.543817;
2009-01-31;1.541526;
2009-02-28;1.548512;
2009-03-31;1.426344;
2009-04-30;1.336806;
2009-05-31;1.361559;
2009-06-30;1.497917;
2009-07-31;1.497043;
2009-08-31;1.728495;
2009-09-30;1.813164;
2009-10-31;1.684195;
2009-11-30;1.540833;
2009-12-31;1.641532;
2010-01-31;1.563331;
2010-02-28;1.734375;
2010-03-31;1.482018;
2010-04-30;1.449583;
2010-05-31;1.372581;
2010-06-30;1.671111;
2010-07-31;1.941263;
2010-08-31;1.795966;
2010-09-30;2.091667;
2010-10-31;1.822715;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;1.424279;
2011-04-30;1.534583;
2011-05-31;1.55672;
2011-06-30;1.495556;
2011-07-31;1.731586;
2011-08-31;1.666129;
2011-09-30;1.928611;
2011-10-31;1.788406;
2011-11-30;1.681806;
2011-12-31;1.536828;
2012-01-31;1.631855;
2012-02-29;1.639224;
2012-03-31;1.645833;
2012-04-30;1.545694;
2012-05-31;1.682258;
2012-06-30;1.542083;
2012-07-31;1.63293;
2012-08-31;1.964362;
2012-09-30;2.069167;
2012-10-31;1.949597;
2012-11-30;1.554444;
2012-12-31;1.53172;
2013-01-31;1.595699;
2013-02-28;1.53869;
2013-03-31;1.654778;
2013-04-30;1.52;
2013-05-31;1.464919;
2013-06-30;1.561932;
2013-07-31;1.704167;
2013-08-31;1.761156;
2013-09-30;2.157778;
2013-10-31;2.206989;
2013-11-30;1.837222;
2013-12-31;1.522849;
2014-01-31;1.582258;
2014-02-28;1.616815;
2014-03-31;1.442876;
2014-04-30;1.450833;
2014-05-31;1.475134;
2014-06-30;1.595797;
2014-07-31;1.78078;
2014-08-31;1.743011;
2014-09-30;1.868611;
2014-10-31;2.168145;
2014-11-30;null;
2014-12-31;null;
2015-01-31;1.618996;
2015-02-28;null;
2015-03-31;1.591398;
2015-04-30;1.488889;
2015-05-31;1.492742;
2015-06-30;1.631389;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;1.736596;
2016-01-31;1.57209;
2016-02-29;1.611082;
2016-03-31;1.510113;
2016-04-30;1.52125;
2016-05-31;1.43871;
2016-06-30;1.555694;
2016-07-31;1.61371;
2016-08-31;1.727554;
2016-09-30;1.805695;
2016-10-31;1.881855;
2016-11-30;1.696667;
2016-12-31;1.61129;
2017-01-31;1.528898;
2017-02-28;1.52016;
2017-03-31;1.477104;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;2.41;
2017-10-31;2.016264;
2017-11-30;1.777222;
2017-12-31;1.591936;
2018-01-31;1.679973;
2018-02-28;1.485863;
2018-03-31;1.525538;
2018-04-30;1.467222;
2018-05-31;1.648925;
2018-06-30;1.634306;
2018-07-31;1.495693;
2018-08-31;1.713441;
2018-09-30;1.76625;
2018-10-31;1.706586;
2018-11-30;1.583472;
2018-12-31;1.586156;
2019-01-31;1.711425;
2019-02-28;1.533482;
2019-03-31;1.476344;
2019-04-30;1.373472;
2019-05-31;1.476835;
2019-06-30;1.714281;
2019-07-31;1.71828;
2019-08-31;1.907527;
2019-09-30;1.8568;
2019-10-31;1.892203;
2019-11-30;1.699331;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;1.658441;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;1.993537;
2022-09-30;1.97038;
2022-10-31;2.108502;
2022-11-30;null;
2022-12-31;null;

