Nome: CORRENTINA
Codigo Estacao: A416
Latitude: -13.33249999
Longitude: -44.61749999
Altitude: 551.71
Situacao: Operante
Data Inicial: 2007-11-08
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;
2007-12-31;1.470833;
2008-01-31;null;
2008-02-29;null;
2008-03-31;1.395679;
2008-04-30;1.234028;
2008-05-31;1.420354;
2008-06-30;1.450501;
2008-07-31;1.472053;
2008-08-31;1.469401;
2008-09-30;1.702111;
2008-10-31;1.938306;
2008-11-30;1.515139;
2008-12-31;1.413441;
2009-01-31;1.300035;
2009-02-28;1.283482;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;1.415054;
2009-11-30;1.285972;
2009-12-31;1.33307;
2010-01-31;1.387537;
2010-02-28;1.419196;
2010-03-31;1.301075;
2010-04-30;1.298056;
2010-05-31;1.27836;
2010-06-30;1.639583;
2010-07-31;1.792339;
2010-08-31;1.859543;
2010-09-30;1.907917;
2010-10-31;1.620699;
2010-11-30;1.344167;
2010-12-31;1.261425;
2011-01-31;1.301478;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;1.826882;
2011-09-30;1.984583;
2011-10-31;1.524462;
2011-11-30;1.419583;
2011-12-31;1.290591;
2012-01-31;1.348387;
2012-02-29;1.333477;
2012-03-31;1.255645;
2012-04-30;1.276944;
2012-05-31;1.452688;
2012-06-30;null;
2012-07-31;null;
2012-08-31;2.00601;
2012-09-30;null;
2012-10-31;1.678395;
2012-11-30;1.25125;
2012-12-31;1.438979;
2013-01-31;1.374059;
2013-02-28;1.415476;
2013-03-31;1.332056;
2013-04-30;1.251111;
2013-05-31;1.420296;
2013-06-30;1.567778;
2013-07-31;1.705914;
2013-08-31;1.871774;
2013-09-30;1.827778;
2013-10-31;1.628091;
2013-11-30;1.361389;
2013-12-31;1.360215;
2014-01-31;1.371371;
2014-02-28;1.391964;
2014-03-31;1.249328;
2014-04-30;1.177222;
2014-05-31;1.362231;
2014-06-30;1.588056;
2014-07-31;1.759677;
2014-08-31;1.852419;
2014-09-30;1.799444;
2014-10-31;1.88172;
2014-11-30;1.454167;
2014-12-31;1.383602;
2015-01-31;1.465078;
2015-02-28;1.385119;
2015-03-31;1.1875;
2015-04-30;1.138889;
2015-05-31;1.291801;
2015-06-30;1.556528;
2015-07-31;1.667309;
2015-08-31;1.836425;
2015-09-30;1.761944;
2015-10-31;1.83629;
2015-11-30;1.632917;
2015-12-31;1.60121;
2016-01-31;1.359005;
2016-02-29;1.305747;
2016-03-31;1.446102;
2016-04-30;1.49625;
2016-05-31;1.581183;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;1.805452;
2016-11-30;1.469861;
2016-12-31;1.468414;
2017-01-31;1.555242;
2017-02-28;1.374554;
2017-03-31;1.469893;
2017-04-30;1.306667;
2017-05-31;1.440457;
2017-06-30;1.721667;
2017-07-31;2.212903;
2017-08-31;1.869624;
2017-09-30;1.949028;
2017-10-31;1.855511;
2017-11-30;1.443333;
2017-12-31;1.401344;
2018-01-31;1.418899;
2018-02-28;1.319333;
2018-03-31;1.202554;
2018-04-30;1.280797;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;1.280278;
2018-12-31;1.343414;
2019-01-31;1.423925;
2019-02-28;1.332589;
2019-03-31;1.263038;
2019-04-30;1.167017;
2019-05-31;1.220161;
2019-06-30;1.597639;
2019-07-31;1.673925;
2019-08-31;1.885081;
2019-09-30;1.860417;
2019-10-31;1.514785;
2019-11-30;1.483611;
2019-12-31;1.370968;
2020-01-31;1.38871;
2020-02-29;1.18319;
2020-03-31;1.195968;
2020-04-30;1.163611;
2020-05-31;1.269355;
2020-06-30;1.561389;
2020-07-31;1.716801;
2020-08-31;1.742876;
2020-09-30;1.689306;
2020-10-31;1.6;
2020-11-30;1.389185;
2020-12-31;1.229213;
2021-01-31;null;
2021-02-28;1.406302;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;1.658167;
2021-10-31;1.512634;
2021-11-30;1.257639;
2021-12-31;1.100129;
2022-01-31;1.265323;
2022-02-28;1.127827;
2022-03-31;1.179032;
2022-04-30;1.296944;
2022-05-31;1.379167;
2022-06-30;1.486945;
2022-07-31;1.698118;
2022-08-31;1.781452;
2022-09-30;1.666528;
2022-10-31;1.571237;
2022-11-30;1.26744;
2022-12-31;1.162903;

