Nome: POCO VERDE
Codigo Estacao: A419
Latitude: -10.73805555
Longitude: -38.10833333
Altitude: 367.01
Situacao: Operante
Data Inicial: 2008-04-02
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;3.004167;
2008-05-31;3.050345;
2008-06-30;2.888438;
2008-07-31;2.993852;
2008-08-31;2.825538;
2008-09-30;3.476389;
2008-10-31;4.067876;
2008-11-30;5.0825;
2008-12-31;4.36129;
2009-01-31;4.120576;
2009-02-28;3.731291;
2009-03-31;4.070296;
2009-04-30;3.463194;
2009-05-31;3.586425;
2009-06-30;2.945556;
2009-07-31;2.556989;
2009-08-31;2.852554;
2009-09-30;3.446111;
2009-10-31;3.973851;
2009-11-30;4.486111;
2009-12-31;4.295565;
2010-01-31;3.603975;
2010-02-28;3.457738;
2010-03-31;3.456855;
2010-04-30;3.143056;
2010-05-31;2.932661;
2010-06-30;3.377778;
2010-07-31;2.566398;
2010-08-31;2.100181;
2010-09-30;3.526389;
2010-10-31;3.639785;
2010-11-30;4.396944;
2010-12-31;3.916129;
2011-01-31;3.395296;
2011-02-28;3.38006;
2011-03-31;3.468212;
2011-04-30;3.114167;
2011-05-31;3.179032;
2011-06-30;2.654167;
2011-07-31;2.851882;
2011-08-31;3.027957;
2011-09-30;3.476944;
2011-10-31;4.238172;
2011-11-30;null;
2011-12-31;null;
2012-01-31;4.166532;
2012-02-29;3.815948;
2012-03-31;3.810081;
2012-04-30;3.605695;
2012-05-31;3.4375;
2012-06-30;3.1025;
2012-07-31;2.968683;
2012-08-31;3.298157;
2012-09-30;3.777639;
2012-10-31;3.916398;
2012-11-30;4.599861;
2012-12-31;4.379167;
2013-01-31;4.302688;
2013-02-28;4.355506;
2013-03-31;4.205583;
2013-04-30;4.014028;
2013-05-31;null;
2013-06-30;null;
2013-07-31;2.316199;
2013-08-31;2.469758;
2013-09-30;3.020972;
2013-10-31;3.671102;
2013-11-30;4.045417;
2013-12-31;4.131995;
2014-01-31;3.618279;
2014-02-28;3.338393;
2014-03-31;3.224462;
2014-04-30;3.255121;
2014-05-31;3.049866;
2014-06-30;2.802639;
2014-07-31;2.634409;
2014-08-31;2.933333;
2014-09-30;3.6775;
2014-10-31;4.138844;
2014-11-30;3.363333;
2014-12-31;2.903226;
2015-01-31;3.717426;
2015-02-28;3.573214;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;1.001528;
2015-07-31;.910081;
2015-08-31;1.072581;
2015-09-30;2.255417;
2015-10-31;3.156317;
2015-11-30;3.883889;
2015-12-31;3.209005;
2016-01-31;2.520968;
2016-02-29;2.291092;
2016-03-31;2.295564;
2016-04-30;2.241389;
2016-05-31;1.760484;
2016-06-30;1.82625;
2016-07-31;1.280645;
2016-08-31;1.65;
2016-09-30;2.470139;
2016-10-31;3.540591;
2016-11-30;3.888056;
2016-12-31;3.444892;
2017-01-31;2.653091;
2017-02-28;2.685714;
2017-03-31;2.433065;
2017-04-30;2.079444;
2017-05-31;1.700812;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;2.022361;
2017-10-31;2.07164;
2017-11-30;3.039444;
2017-12-31;2.747989;
2018-01-31;2.475134;
2018-02-28;2.576786;
2018-03-31;2.005645;
2018-04-30;1.379722;
2018-05-31;1.754704;
2018-06-30;1.386528;
2018-07-31;1.42147;
2018-08-31;1.947715;
2018-09-30;2.873195;
2018-10-31;2.98414;
2018-11-30;3.309583;
2018-12-31;2.800134;
2019-01-31;2.200672;
2019-02-28;2.544941;
2019-03-31;1.93172;
2019-04-30;1.560833;
2019-05-31;1.396774;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;2.426613;
2019-11-30;.425998;
2019-12-31;.018876;
2020-01-31;.003495;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;0;
2020-11-30;0;
2020-12-31;0;
2021-01-31;0;
2021-02-28;0;
2021-03-31;0;
2021-04-30;0;
2021-05-31;0;
2021-06-30;0;
2021-07-31;0;
2021-08-31;0;
2021-09-30;0;
2021-10-31;0;
2021-11-30;0;
2021-12-31;0;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

