Nome: BREJO GRANDE
Codigo Estacao: A421
Latitude: -10.47388888
Longitude: -36.48194443
Altitude: 6.11
Situacao: Pane
Data Inicial: 2008-07-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;null;
2008-08-31;1.330645;
2008-09-30;1.480694;
2008-10-31;1.900806;
2008-11-30;2.187639;
2008-12-31;1.995296;
2009-01-31;1.889785;
2009-02-28;1.602273;
2009-03-31;1.467198;
2009-04-30;1.196528;
2009-05-31;1.038172;
2009-06-30;1.141528;
2009-07-31;1.143683;
2009-08-31;1.504436;
2009-09-30;1.586389;
2009-10-31;1.817816;
2009-11-30;2.094167;
2009-12-31;1.873925;
2010-01-31;1.392754;
2010-02-28;1.398066;
2010-03-31;1.395161;
2010-04-30;1.065556;
2010-05-31;.824801;
2010-06-30;null;
2010-07-31;null;
2010-08-31;1.47503;
2010-09-30;1.726667;
2010-10-31;1.582527;
2010-11-30;1.904722;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;1.372361;
2011-05-31;1.281317;
2011-06-30;1.07625;
2011-07-31;1.438575;
2011-08-31;1.342876;
2011-09-30;1.67625;
2011-10-31;1.884408;
2011-11-30;2.122778;
2011-12-31;2.190995;
2012-01-31;2.072043;
2012-02-29;1.979924;
2012-03-31;1.775941;
2012-04-30;1.337361;
2012-05-31;1.307393;
2012-06-30;1.262639;
2012-07-31;1.330242;
2012-08-31;1.683372;
2012-09-30;null;
2012-10-31;1.985;
2012-11-30;2.633194;
2012-12-31;2.208065;
2013-01-31;2.406452;
2013-02-28;2.130208;
2013-03-31;1.92075;
2013-04-30;1.612778;
2013-05-31;1.09664;
2013-06-30;.994104;
2013-07-31;1.319723;
2013-08-31;1.375682;
2013-09-30;1.635833;
2013-10-31;1.959543;
2013-11-30;1.926667;
2013-12-31;2.313546;
2014-01-31;1.627688;
2014-02-28;1.426786;
2014-03-31;1.397177;
2014-04-30;1.0675;
2014-05-31;1.072036;
2014-06-30;null;
2014-07-31;1.330376;
2014-08-31;1.349597;
2014-09-30;1.872778;
2014-10-31;2.160349;
2014-11-30;2.095556;
2014-12-31;2.070296;
2015-01-31;2.103588;
2015-02-28;1.807589;
2015-03-31;1.590995;
2015-04-30;1.365972;
2015-05-31;.946102;
2015-06-30;1.074444;
2015-07-31;1.309543;
2015-08-31;1.352016;
2015-09-30;1.758056;
2015-10-31;2.174866;
2015-11-30;2.96875;
2015-12-31;2.435349;
2016-01-31;2.023925;
2016-02-29;1.603592;
2016-03-31;1.618472;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;3.088333;
2016-12-31;2.992742;
2017-01-31;2.412231;
2017-02-28;2.226786;
2017-03-31;1.815323;
2017-04-30;1.455972;
2017-05-31;1.38871;
2017-06-30;1.444722;
2017-07-31;1.79328;
2017-08-31;1.217204;
2017-09-30;1.880139;
2017-10-31;2.035081;
2017-11-30;2.734861;
2017-12-31;2.574866;
2018-01-31;2.34422;
2018-02-28;2.206845;
2018-03-31;2.137634;
2018-04-30;1.173889;
2018-05-31;1.17164;
2018-06-30;1.24625;
2018-07-31;1.204436;
2018-08-31;1.493145;
2018-09-30;2.061806;
2018-10-31;2.659409;
2018-11-30;2.6575;
2018-12-31;2.397715;
2019-01-31;1.796505;
2019-02-28;2.073661;
2019-03-31;1.729839;
2019-04-30;1.234583;
2019-05-31;.948522;
2019-06-30;1.193056;
2019-07-31;1.295968;
2019-08-31;1.350134;
2019-09-30;1.595695;
2019-10-31;2.033737;
2019-11-30;1.614167;
2019-12-31;1.950672;
2020-01-31;2.358832;
2020-02-29;null;
2020-03-31;1.338038;
2020-04-30;.624167;
2020-05-31;0;
2020-06-30;0;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

