Nome: REMANSO
Codigo Estacao: A423
Latitude: -9.62555554
Longitude: -42.07722221
Altitude: 397.4
Situacao: Operante
Data Inicial: 2008-03-25
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;1.675556;
2008-05-31;2.372861;
2008-06-30;2.877856;
2008-07-31;3.27379;
2008-08-31;3.362366;
2008-09-30;3.489861;
2008-10-31;3.674194;
2008-11-30;2.928611;
2008-12-31;2.338979;
2009-01-31;1.992783;
2009-02-28;2.06983;
2009-03-31;1.644086;
2009-04-30;1.508889;
2009-05-31;2.049328;
2009-06-30;1.998611;
2009-07-31;2.814785;
2009-08-31;3.372177;
2009-09-30;3.256389;
2009-10-31;2.637069;
2009-11-30;3.026528;
2009-12-31;2.498522;
2010-01-31;2.533382;
2010-02-28;3.014435;
2010-03-31;1.998627;
2010-04-30;2.160417;
2010-05-31;2.41129;
2010-06-30;3.186944;
2010-07-31;3.5625;
2010-08-31;3.861594;
2010-09-30;4.00125;
2010-10-31;3.083737;
2010-11-30;3.106389;
2010-12-31;2.037634;
2011-01-31;2.07621;
2011-02-28;2.339286;
2011-03-31;1.545987;
2011-04-30;2.14;
2011-05-31;2.447986;
2011-06-30;2.626975;
2011-07-31;3.270237;
2011-08-31;3.363415;
2011-09-30;null;
2011-10-31;null;
2011-11-30;2.990417;
2011-12-31;2.875538;
2012-01-31;3.186022;
2012-02-29;2.939511;
2012-03-31;2.715667;
2012-04-30;2.7725;
2012-05-31;3.34086;
2012-06-30;3.184257;
2012-07-31;3.487634;
2012-08-31;3.790092;
2012-09-30;3.715278;
2012-10-31;3.79086;
2012-11-30;2.489601;
2012-12-31;3.020833;
2013-01-31;3.033199;
2013-02-28;3.928274;
2013-03-31;3.35868;
2013-04-30;3.17375;
2013-05-31;3.893695;
2013-06-30;3.922293;
2013-07-31;4.235607;
2013-08-31;4.623656;
2013-09-30;5.070278;
2013-10-31;5.046909;
2013-11-30;4.071944;
2013-12-31;2.618145;
2014-01-31;3.463038;
2014-02-28;3.372768;
2014-03-31;2.929354;
2014-04-30;2.540694;
2014-05-31;3.938417;
2014-06-30;3.734838;
2014-07-31;4.248276;
2014-08-31;4.480124;
2014-09-30;4.577127;
2014-10-31;5.006836;
2014-11-30;3.81205;
2014-12-31;3.123999;
2015-01-31;3.645699;
2015-02-28;3.019345;
2015-03-31;2.950672;
2015-04-30;2.599583;
2015-05-31;3.62621;
2015-06-30;4.175465;
2015-07-31;4.247978;
2015-08-31;4.336022;
2015-09-30;4.181528;
2015-10-31;4.427495;
2015-11-30;3.7375;
2015-12-31;4.134654;
2016-01-31;2.336986;
2016-02-29;2.851149;
2016-03-31;2.64207;
2016-04-30;3.189022;
2016-05-31;3.332352;
2016-06-30;3.685942;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;4.082205;
2016-11-30;3.721528;
2016-12-31;3.447177;
2017-01-31;3.26828;
2017-02-28;2.441815;
2017-03-31;2.003296;
2017-04-30;2.8434;
2017-05-31;3.393414;
2017-06-30;3.992361;
2017-07-31;4.324678;
2017-08-31;4.054704;
2017-09-30;5.154167;
2017-10-31;4.871114;
2017-11-30;3.591667;
2017-12-31;3.282392;
2018-01-31;3.488961;
2018-02-28;1.930357;
2018-03-31;1.875538;
2018-04-30;2.182228;
2018-05-31;2.981352;
2018-06-30;3.558889;
2018-07-31;3.613984;
2018-08-31;3.927659;
2018-09-30;4.261528;
2018-10-31;3.746909;
2018-11-30;3.937917;
2018-12-31;2.588786;
2019-01-31;3.281586;
2019-02-28;2.550298;
2019-03-31;2.579973;
2019-04-30;2.473303;
2019-05-31;3.210484;
2019-06-30;4.11562;
2019-07-31;4.052117;
2019-08-31;null;
2019-09-30;null;
2019-10-31;4.328495;
2019-11-30;3.807361;
2019-12-31;3.707527;
2020-01-31;2.28172;
2020-02-29;2.278448;
2020-03-31;2.096505;
2020-04-30;2.317083;
2020-05-31;2.533065;
2020-06-30;3.01125;
2020-07-31;3.111022;
2020-08-31;3.053495;
2020-09-30;3.917083;
2020-10-31;3.4875;
2020-11-30;3.157464;
2020-12-31;3.201344;
2021-01-31;3.058636;
2021-02-28;null;
2021-03-31;2.542355;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;4.193548;
2022-11-30;2.636806;
2022-12-31;2.496505;

