Nome: IRECE
Codigo Estacao: A424
Latitude: -11.328998
Longitude: -41.864504
Altitude: 768.42
Situacao: Operante
Data Inicial: 2008-03-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;1.913691;
2008-05-31;2.683602;
2008-06-30;3.293087;
2008-07-31;3.450672;
2008-08-31;3.415995;
2008-09-30;3.255695;
2008-10-31;3.688575;
2008-11-30;3.012222;
2008-12-31;2.506452;
2009-01-31;2.241959;
2009-02-28;2.427142;
2009-03-31;2.027151;
2009-04-30;1.969028;
2009-05-31;2.625403;
2009-06-30;2.797222;
2009-07-31;2.958602;
2009-08-31;3.375134;
2009-09-30;3.071806;
2009-10-31;2.552586;
2009-11-30;2.654444;
2009-12-31;2.335215;
2010-01-31;2.45073;
2010-02-28;2.790774;
2010-03-31;1.990784;
2010-04-30;2.296111;
2010-05-31;2.32726;
2010-06-30;3.052361;
2010-07-31;3.526613;
2010-08-31;3.263634;
2010-09-30;3.504861;
2010-10-31;2.704704;
2010-11-30;2.565833;
2010-12-31;2.247984;
2011-01-31;2.378764;
2011-02-28;2.213988;
2011-03-31;1.789911;
2011-04-30;2.675833;
2011-05-31;2.876908;
2011-06-30;2.818514;
2011-07-31;3.204646;
2011-08-31;3.068817;
2011-09-30;3.557222;
2011-10-31;3.025531;
2011-11-30;2.739106;
2011-12-31;2.484549;
2012-01-31;2.579704;
2012-02-29;2.637331;
2012-03-31;2.654932;
2012-04-30;2.963056;
2012-05-31;3.103167;
2012-06-30;3.161806;
2012-07-31;3.323142;
2012-08-31;3.952688;
2012-09-30;3.629946;
2012-10-31;3.631948;
2012-11-30;2.416576;
2012-12-31;2.782392;
2013-01-31;2.438458;
2013-02-28;3.056845;
2013-03-31;2.651209;
2013-04-30;null;
2013-05-31;2.939225;
2013-06-30;3.109609;
2013-07-31;3.367584;
2013-08-31;3.539113;
2013-09-30;3.758182;
2013-10-31;3.846663;
2013-11-30;3.45375;
2013-12-31;2.292298;
2014-01-31;3.041935;
2014-02-28;3.236051;
2014-03-31;2.745565;
2014-04-30;2.400882;
2014-05-31;2.872762;
2014-06-30;null;
2014-07-31;3.667958;
2014-08-31;3.424194;
2014-09-30;3.335417;
2014-10-31;3.707124;
2014-11-30;2.580695;
2014-12-31;2.334677;
2015-01-31;2.690878;
2015-02-28;2.352381;
2015-03-31;2.249731;
2015-04-30;2.008889;
2015-05-31;2.57164;
2015-06-30;3.051944;
2015-07-31;3.204301;
2015-08-31;3.400941;
2015-09-30;2.987083;
2015-10-31;3.525672;
2015-11-30;2.838472;
2015-12-31;3.073522;
2016-01-31;1.116801;
2016-02-29;2.339942;
2016-03-31;2.415995;
2016-04-30;2.881303;
2016-05-31;null;
2016-06-30;null;
2016-07-31;3.028804;
2016-08-31;2.885349;
2016-09-30;3.138333;
2016-10-31;2.913979;
2016-11-30;2.126945;
2016-12-31;2.384946;
2017-01-31;2.498522;
2017-02-28;2.000446;
2017-03-31;1.628226;
2017-04-30;1.322917;
2017-05-31;1.590457;
2017-06-30;1.885278;
2017-07-31;2.599059;
2017-08-31;1.255914;
2017-09-30;2.554306;
2017-10-31;2.032258;
2017-11-30;.908194;
2017-12-31;1.130376;
2018-01-31;1.371102;
2018-02-28;1.025149;
2018-03-31;.708199;
2018-04-30;1.595417;
2018-05-31;2.085753;
2018-06-30;2.378472;
2018-07-31;2.465369;
2018-08-31;2.748925;
2018-09-30;3.136944;
2018-10-31;3.170968;
2018-11-30;3.880139;
2018-12-31;2.816667;
2019-01-31;3.39879;
2019-02-28;2.530952;
2019-03-31;2.661962;
2019-04-30;2.335;
2019-05-31;2.816801;
2019-06-30;3.698333;
2019-07-31;3.403629;
2019-08-31;3.818683;
2019-09-30;3.690972;
2019-10-31;3.962634;
2019-11-30;3.455556;
2019-12-31;3.503226;
2020-01-31;2.25793;
2020-02-29;2.313075;
2020-03-31;2.036962;
2020-04-30;2.2925;
2020-05-31;2.574328;
2020-06-30;3.083611;
2020-07-31;3.267204;
2020-08-31;3.415591;
2020-09-30;3.515694;
2020-10-31;3.101613;
2020-11-30;2.633889;
2020-12-31;2.596909;
2021-01-31;2.809005;
2021-02-28;2.115774;
2021-03-31;2.570161;
2021-04-30;2.610411;
2021-05-31;2.7;
2021-06-30;2.693611;
2021-07-31;3.071505;
2021-08-31;3.440457;
2021-09-30;3.139306;
2021-10-31;3.114808;
2021-11-30;2.274722;
2021-12-31;2.002151;
2022-01-31;1.995833;
2022-02-28;1.973066;
2022-03-31;2.431586;
2022-04-30;2.541667;
2022-05-31;2.513575;
2022-06-30;2.515657;
2022-07-31;2.951903;
2022-08-31;3.017099;
2022-09-30;3.065521;
2022-10-31;3.308062;
2022-11-30;null;
2022-12-31;null;

