Nome: GUANAMBI
Codigo Estacao: A426
Latitude: -14.20805555
Longitude: -42.74972221
Altitude: 552.23
Situacao: Operante
Data Inicial: 2008-04-23
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;3.120915;
2008-06-30;3.848949;
2008-07-31;4.246236;
2008-08-31;4.529973;
2008-09-30;4.435695;
2008-10-31;4.922377;
2008-11-30;null;
2008-12-31;null;
2009-01-31;2.676426;
2009-02-28;3.118174;
2009-03-31;2.668145;
2009-04-30;2.423472;
2009-05-31;3.119758;
2009-06-30;3.286389;
2009-07-31;3.670699;
2009-08-31;4.733199;
2009-09-30;4.347083;
2009-10-31;3.030316;
2009-11-30;3.128333;
2009-12-31;2.562097;
2010-01-31;3.249866;
2010-02-28;3.583185;
2010-03-31;2.393683;
2010-04-30;2.900833;
2010-05-31;3.013441;
2010-06-30;3.693889;
2010-07-31;4.49207;
2010-08-31;4.725269;
2010-09-30;5.215417;
2010-10-31;4.030108;
2010-11-30;2.988333;
2010-12-31;2.474107;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;3.446774;
2011-06-30;3.380833;
2011-07-31;4.081171;
2011-08-31;4.315054;
2011-09-30;4.886667;
2011-10-31;4.158321;
2011-11-30;3.471806;
2011-12-31;2.730914;
2012-01-31;3.416398;
2012-02-29;3.539368;
2012-03-31;3.632135;
2012-04-30;3.777639;
2012-05-31;3.967204;
2012-06-30;3.921389;
2012-07-31;4.318548;
2012-08-31;5.196563;
2012-09-30;4.973611;
2012-10-31;5.391129;
2012-11-30;2.240972;
2012-12-31;3.702151;
2013-01-31;3.385081;
2013-02-28;5.05;
2013-03-31;4.092472;
2013-04-30;4.2775;
2013-05-31;4.303226;
2013-06-30;4.889533;
2013-07-31;5.446004;
2013-08-31;6.104839;
2013-09-30;6.276389;
2013-10-31;5.996237;
2013-11-30;4.520701;
2013-12-31;2.004231;
2014-01-31;4.483251;
2014-02-28;4.804613;
2014-03-31;4.067742;
2014-04-30;3.427283;
2014-05-31;4.443905;
2014-06-30;4.863333;
2014-07-31;5.593508;
2014-08-31;5.573521;
2014-09-30;5.912083;
2014-10-31;5.777665;
2014-11-30;4.351043;
2014-12-31;3.13477;
2015-01-31;3.575672;
2015-02-28;3.137526;
2015-03-31;2.984812;
2015-04-30;2.692784;
2015-05-31;3.222207;
2015-06-30;3.889511;
2015-07-31;4.229278;
2015-08-31;4.819863;
2015-09-30;4.422138;
2015-10-31;4.996248;
2015-11-30;3.515042;
2015-12-31;3.585081;
2016-01-31;2.095401;
2016-02-29;2.988937;
2016-03-31;3.478629;
2016-04-30;null;
2016-05-31;null;
2016-06-30;3.45433;
2016-07-31;4.133327;
2016-08-31;null;
2016-09-30;null;
2016-10-31;4.732629;
2016-11-30;3.98559;
2016-12-31;3.206933;
2017-01-31;null;
2017-02-28;null;
2017-03-31;3.197453;
2017-04-30;3.3615;
2017-05-31;3.926816;
2017-06-30;4.338028;
2017-07-31;5.047471;
2017-08-31;4.591713;
2017-09-30;5.889075;
2017-10-31;5.552454;
2017-11-30;3.742974;
2017-12-31;2.889347;
2018-01-31;3.576831;
2018-02-28;2.455726;
2018-03-31;2.450871;
2018-04-30;3.470478;
2018-05-31;3.950365;
2018-06-30;3.930025;
2018-07-31;4.386364;
2018-08-31;4.599846;
2018-09-30;4.663784;
2018-10-31;4.22311;
2018-11-30;3.87636;
2018-12-31;2.360314;
2019-01-31;4.041667;
2019-02-28;2.547388;
2019-03-31;2.835773;
2019-04-30;2.82058;
2019-05-31;3.611882;
2019-06-30;4.211415;
2019-07-31;4.102994;
2019-08-31;4.994024;
2019-09-30;4.849246;
2019-10-31;5.293543;
2019-11-30;4.002866;
2019-12-31;3.977154;
2020-01-31;2.364593;
2020-02-29;2.321346;
2020-03-31;2.415061;
2020-04-30;2.600706;
2020-05-31;2.887102;
2020-06-30;null;
2020-07-31;3.820099;
2020-08-31;4.639063;
2020-09-30;4.981118;
2020-10-31;3.969989;
2020-11-30;2.950658;
2020-12-31;2.998429;
2021-01-31;3.747457;
2021-02-28;2.49654;
2021-03-31;2.904307;
2021-04-30;3.229411;
2021-05-31;3.16885;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;2.757815;
2021-12-31;2.187348;
2022-01-31;2.226165;
2022-02-28;2.334491;
2022-03-31;3.509309;
2022-04-30;3.477194;
2022-05-31;3.340851;
2022-06-30;3.354948;
2022-07-31;4.355657;
2022-08-31;5.039363;
2022-09-30;4.501045;
2022-10-31;4.874663;
2022-11-30;2.638265;
2022-12-31;2.373138;

