Nome: SENHOR DO BONFIM
Codigo Estacao: A428
Latitude: -10.44305555
Longitude: -40.14833333
Altitude: 532.09
Situacao: Operante
Data Inicial: 2008-03-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;2.12;
2008-05-31;2.896803;
2008-06-30;3.221461;
2008-07-31;3.565726;
2008-08-31;3.632949;
2008-09-30;3.700139;
2008-10-31;4.112903;
2008-11-30;3.187083;
2008-12-31;2.723656;
2009-01-31;2.758491;
2009-02-28;2.935954;
2009-03-31;2.565054;
2009-04-30;2.228056;
2009-05-31;3.097177;
2009-06-30;2.929306;
2009-07-31;2.909409;
2009-08-31;3.43414;
2009-09-30;3.227639;
2009-10-31;2.547557;
2009-11-30;2.730139;
2009-12-31;2.958737;
2010-01-31;2.869294;
2010-02-28;3.219048;
2010-03-31;2.481948;
2010-04-30;2.847639;
2010-05-31;2.810753;
2010-06-30;3.724028;
2010-07-31;3.677554;
2010-08-31;3.453039;
2010-09-30;3.745972;
2010-10-31;2.877419;
2010-11-30;2.739861;
2010-12-31;2.180914;
2011-01-31;2.681586;
2011-02-28;2.74122;
2011-03-31;1.951565;
2011-04-30;2.640417;
2011-05-31;2.764376;
2011-06-30;2.653056;
2011-07-31;3.266263;
2011-08-31;3.080108;
2011-09-30;3.965556;
2011-10-31;3.111944;
2011-11-30;2.786449;
2011-12-31;2.753804;
2012-01-31;3.262979;
2012-02-29;3.369515;
2012-03-31;3.206528;
2012-04-30;3.164064;
2012-05-31;3.205386;
2012-06-30;2.894124;
2012-07-31;3.174749;
2012-08-31;3.845112;
2012-09-30;3.782421;
2012-10-31;null;
2012-11-30;null;
2012-12-31;2.397446;
2013-01-31;1.257813;
2013-02-28;1.687494;
2013-03-31;1.016822;
2013-04-30;.555217;
2013-05-31;.032579;
2013-06-30;0;
2013-07-31;0;
2013-08-31;0;
2013-09-30;0;
2013-10-31;0;
2013-11-30;.285896;
2013-12-31;2.265434;
2014-01-31;2.917876;
2014-02-28;3.168562;
2014-03-31;2.936987;
2014-04-30;2.565556;
2014-05-31;2.672657;
2014-06-30;2.982403;
2014-07-31;3.127285;
2014-08-31;3.268683;
2014-09-30;3.310417;
2014-10-31;3.48172;
2014-11-30;2.809263;
2014-12-31;2.451924;
2015-01-31;2.633333;
2015-02-28;2.666796;
2015-03-31;2.578495;
2015-04-30;2.613611;
2015-05-31;2.97359;
2015-06-30;null;
2015-07-31;null;
2015-08-31;3.203243;
2015-09-30;3.006636;
2015-10-31;3.271792;
2015-11-30;2.979275;
2015-12-31;3.476847;
2016-01-31;null;
2016-02-29;null;
2016-03-31;2.703968;
2016-04-30;2.791534;
2016-05-31;2.782135;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;3.329938;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;3.001747;
2017-04-30;3.089028;
2017-05-31;3.073521;
2017-06-30;3.3275;
2017-07-31;3.894086;
2017-08-31;3.257661;
2017-09-30;4.019305;
2017-10-31;3.693952;
2017-11-30;2.95125;
2017-12-31;2.923118;
2018-01-31;3.172849;
2018-02-28;2.636905;
2018-03-31;2.43293;
2018-04-30;2.822059;
2018-05-31;3.104301;
2018-06-30;2.944861;
2018-07-31;3.305914;
2018-08-31;3.366532;
2018-09-30;3.371413;
2018-10-31;3.162769;
2018-11-30;3.208472;
2018-12-31;2.487769;
2019-01-31;3.247446;
2019-02-28;2.644494;
2019-03-31;2.50672;
2019-04-30;2.092222;
2019-05-31;2.57836;
2019-06-30;3.195531;
2019-07-31;3.101075;
2019-08-31;3.316936;
2019-09-30;3.372639;
2019-10-31;3.49086;
2019-11-30;3.211667;
2019-12-31;3.345161;
2020-01-31;2.337231;
2020-02-29;2.345833;
2020-03-31;2.416936;
2020-04-30;2.524861;
2020-05-31;2.613306;
2020-06-30;2.830833;
2020-07-31;2.934005;
2020-08-31;2.93078;
2020-09-30;3.157222;
2020-10-31;2.781586;
2020-11-30;2.4725;
2020-12-31;2.545296;
2021-01-31;2.918952;
2021-02-28;2.42247;
2021-03-31;2.797043;
2021-04-30;2.644028;
2021-05-31;2.571371;
2021-06-30;2.651667;
2021-07-31;2.971464;
2021-08-31;3.250538;
2021-09-30;3.1975;
2021-10-31;2.900672;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;3.288071;
2022-11-30;2.285261;
2022-12-31;2.104524;

