Nome: BARRA
Codigo Estacao: A429
Latitude: -11.08472221
Longitude: -43.13888888
Altitude: 407.5
Situacao: Operante
Data Inicial: 2008-05-11
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;
2008-06-30;1.598712;
2008-07-31;1.831989;
2008-08-31;2.064785;
2008-09-30;2.908333;
2008-10-31;3.060215;
2008-11-30;2.272778;
2008-12-31;1.397715;
2009-01-31;1.632106;
2009-02-28;1.595018;
2009-03-31;1.470161;
2009-04-30;1.269028;
2009-05-31;1.263306;
2009-06-30;1.363194;
2009-07-31;1.515457;
2009-08-31;1.972312;
2009-09-30;2.540972;
2009-10-31;2.273276;
2009-11-30;2.064167;
2009-12-31;1.684005;
2010-01-31;1.602151;
2010-02-28;2.057738;
2010-03-31;1.483333;
2010-04-30;1.262639;
2010-05-31;1.36122;
2010-06-30;1.430417;
2010-07-31;2.172142;
2010-08-31;2.328968;
2010-09-30;2.732361;
2010-10-31;2.514247;
2010-11-30;2.065972;
2010-12-31;1.548522;
2011-01-31;1.519086;
2011-02-28;1.50372;
2011-03-31;1.392391;
2011-04-30;1.229583;
2011-05-31;1.21382;
2011-06-30;1.233195;
2011-07-31;1.646237;
2011-08-31;1.815767;
2011-09-30;null;
2011-10-31;null;
2011-11-30;2.070556;
2011-12-31;1.666801;
2012-01-31;2.102957;
2012-02-29;1.748707;
2012-03-31;1.704032;
2012-04-30;1.492222;
2012-05-31;1.699462;
2012-06-30;1.659306;
2012-07-31;1.88629;
2012-08-31;null;
2012-09-30;2.577778;
2012-10-31;2.675134;
2012-11-30;1.688611;
2012-12-31;1.545161;
2013-01-31;1.677957;
2013-02-28;1.752679;
2013-03-31;1.849417;
2013-04-30;1.347083;
2013-05-31;1.595968;
2013-06-30;1.590227;
2013-07-31;1.739154;
2013-08-31;1.854167;
2013-09-30;2.714028;
2013-10-31;2.735081;
2013-11-30;2.159444;
2013-12-31;1.461022;
2014-01-31;1.310554;
2014-02-28;1.335714;
2014-03-31;1.295564;
2014-04-30;1.122168;
2014-05-31;1.381855;
2014-06-30;1.403333;
2014-07-31;1.845699;
2014-08-31;2.035887;
2014-09-30;2.490556;
2014-10-31;2.7125;
2014-11-30;2.103142;
2014-12-31;null;
2015-01-31;1.691597;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;1.207328;
2015-06-30;1.739306;
2015-07-31;2.134812;
2015-08-31;2.217204;
2015-09-30;2.689306;
2015-10-31;2.658579;
2015-11-30;2.259444;
2015-12-31;2.272312;
2016-01-31;1.632393;
2016-02-29;1.646427;
2016-03-31;1.447177;
2016-04-30;1.513611;
2016-05-31;1.47379;
2016-06-30;1.841945;
2016-07-31;1.886962;
2016-08-31;2.248802;
2016-09-30;2.375417;
2016-10-31;2.303226;
2016-11-30;2.050417;
2016-12-31;1.727554;
2017-01-31;1.692608;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;1.741667;
2017-06-30;1.897639;
2017-07-31;1.94422;
2017-08-31;1.887769;
2017-09-30;3.081528;
2017-10-31;2.938306;
2017-11-30;1.83375;
2017-12-31;1.523925;
2018-01-31;1.800403;
2018-02-28;1.267411;
2018-03-31;1.213844;
2018-04-30;1.235278;
2018-05-31;1.656989;
2018-06-30;1.925;
2018-07-31;1.439423;
2018-08-31;2.293414;
2018-09-30;2.506389;
2018-10-31;2.203763;
2018-11-30;2.082603;
2018-12-31;1.538038;
2019-01-31;1.735618;
2019-02-28;1.508333;
2019-03-31;1.544892;
2019-04-30;1.254444;
2019-05-31;1.135753;
2019-06-30;1.825556;
2019-07-31;1.590323;
2019-08-31;2.29543;
2019-09-30;2.484028;
2019-10-31;2.665323;
2019-11-30;2.180417;
2019-12-31;2.213575;
2020-01-31;1.313441;
2020-02-29;1.283477;
2020-03-31;1.168145;
2020-04-30;1.075833;
2020-05-31;1.173118;
2020-06-30;1.683194;
2020-07-31;1.683468;
2020-08-31;2.018414;
2020-09-30;2.463472;
2020-10-31;2.372849;
2020-11-30;1.593333;
2020-12-31;1.679839;
2021-01-31;1.645027;
2021-02-28;1.554762;
2021-03-31;1.488441;
2021-04-30;1.371528;
2021-05-31;1.455376;
2021-06-30;1.490139;
2021-07-31;1.845459;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;1.523194;
2022-05-31;1.524731;
2022-06-30;1.4425;
2022-07-31;1.815054;
2022-08-31;2.005511;
2022-09-30;2.435556;
2022-10-31;2.44328;
2022-11-30;1.538472;
2022-12-31;1.580914;

