Nome: CONDE
Codigo Estacao: A431
Latitude: -12.03583333
Longitude: -37.68388888
Altitude: 31.9
Situacao: Pane
Data Inicial: 2008-04-06
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;1.594384;
2008-05-31;1.297616;
2008-06-30;1.603357;
2008-07-31;1.603495;
2008-08-31;1.659409;
2008-09-30;1.933056;
2008-10-31;2.509005;
2008-11-30;3.148194;
2008-12-31;2.75914;
2009-01-31;2.874585;
2009-02-28;2.423965;
2009-03-31;2.393414;
2009-04-30;1.939444;
2009-05-31;1.55336;
2009-06-30;1.919583;
2009-07-31;1.972096;
2009-08-31;2.186425;
2009-09-30;2.414028;
2009-10-31;2.905029;
2009-11-30;3.033333;
2009-12-31;3.219624;
2010-01-31;2.606843;
2010-02-28;2.486905;
2010-03-31;2.089785;
2010-04-30;1.682361;
2010-05-31;1.568537;
2010-06-30;2.026806;
2010-07-31;1.997849;
2010-08-31;2.163844;
2010-09-30;2.639306;
2010-10-31;2.534005;
2010-11-30;2.423472;
2010-12-31;1.034677;
2011-01-31;1.391398;
2011-02-28;0;
2011-03-31;1.086203;
2011-04-30;null;
2011-05-31;1.523177;
2011-06-30;.896528;
2011-07-31;null;
2011-08-31;null;
2011-09-30;2.025;
2011-10-31;2.531855;
2011-11-30;2.436111;
2011-12-31;2.523521;
2012-01-31;2.556586;
2012-02-29;.890661;
2012-03-31;.06129;
2012-04-30;.254722;
2012-05-31;1.420833;
2012-06-30;1.2425;
2012-07-31;1.12164;
2012-08-31;1.253264;
2012-09-30;1.387778;
2012-10-31;1.806048;
2012-11-30;2.518889;
2012-12-31;1.970565;
2013-01-31;2.272581;
2013-02-28;2.045238;
2013-03-31;2.132583;
2013-04-30;1.455417;
2013-05-31;.910215;
2013-06-30;.782386;
2013-07-31;.981048;
2013-08-31;1.150134;
2013-09-30;1.568195;
2013-10-31;2.118145;
2013-11-30;2.151574;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;.989113;
2014-06-30;.865278;
2014-07-31;1.161156;
2014-08-31;1.105645;
2014-09-30;1.582361;
2014-10-31;1.827016;
2014-11-30;1.8525;
2014-12-31;1.809677;
2015-01-31;1.823387;
2015-02-28;1.572917;
2015-03-31;1.499731;
2015-04-30;1.050833;
2015-05-31;.874731;
2015-06-30;.994722;
2015-07-31;1.172043;
2015-08-31;1.154032;
2015-09-30;1.564306;
2015-10-31;1.792742;
2015-11-30;2.573214;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;3.886156;
2016-04-30;3.9825;
2016-05-31;3.013172;
2016-06-30;3.680695;
2016-07-31;3.594624;
2016-08-31;3.365188;
2016-09-30;4.014167;
2016-10-31;4.401695;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;3.624194;
2017-04-30;3.431528;
2017-05-31;3.468548;
2017-06-30;3.810648;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;3.960753;
2017-11-30;4.054167;
2017-12-31;3.688844;
2018-01-31;3.887634;
2018-02-28;3.827827;
2018-03-31;3.666398;
2018-04-30;3.271667;
2018-05-31;3.493659;
2018-06-30;3.456667;
2018-07-31;3.44422;
2018-08-31;3.651344;
2018-09-30;4.040417;
2018-10-31;4.113172;
2018-11-30;4.247639;
2018-12-31;3.663172;
2019-01-31;3.725672;
2019-02-28;3.879464;
2019-03-31;3.05793;
2019-04-30;2.667778;
2019-05-31;2.246371;
2019-06-30;3.698056;
2019-07-31;4.001747;
2019-08-31;3.97379;
2019-09-30;3.809583;
2019-10-31;3.91707;
2019-11-30;3.881806;
2019-12-31;3.828921;
2020-01-31;3.219086;
2020-02-29;3.072414;
2020-03-31;2.976774;
2020-04-30;2.797083;
2020-05-31;2.703898;
2020-06-30;3.392222;
2020-07-31;3.598703;
2020-08-31;3.721078;
2020-09-30;3.633472;
2020-10-31;3.631183;
2020-11-30;3.676111;
2020-12-31;3.836962;
2021-01-31;3.622625;
2021-02-28;3.762435;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;2.790995;
2022-01-31;2.684677;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

