Nome: UAUA
Codigo Estacao: A435
Latitude: -9.8336111
Longitude: -39.49555555
Altitude: 450.6
Situacao: Fechada
Data Inicial: 2008-05-19
Data Final: 2022-09-08
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;
2008-06-30;3.404064;
2008-07-31;4.124328;
2008-08-31;4.121953;
2008-09-30;4.533878;
2008-10-31;4.652498;
2008-11-30;4.252231;
2008-12-31;3.064058;
2009-01-31;3.474663;
2009-02-28;null;
2009-03-31;2.698269;
2009-04-30;2.308756;
2009-05-31;3.041935;
2009-06-30;3.266667;
2009-07-31;3.573925;
2009-08-31;4.038306;
2009-09-30;4.299722;
2009-10-31;3.272845;
2009-11-30;3.834861;
2009-12-31;3.541667;
2010-01-31;3.187304;
2010-02-28;3.704167;
2010-03-31;2.827285;
2010-04-30;3.143611;
2010-05-31;3.174462;
2010-06-30;3.962525;
2010-07-31;3.901613;
2010-08-31;4.259312;
2010-09-30;4.638194;
2010-10-31;3.877688;
2010-11-30;3.715556;
2010-12-31;2.711962;
2011-01-31;2.988441;
2011-02-28;2.865476;
2011-03-31;2.06816;
2011-04-30;2.755555;
2011-05-31;3.361047;
2011-06-30;3.119167;
2011-07-31;3.887634;
2011-08-31;null;
2011-09-30;4.640465;
2011-10-31;3.929704;
2011-11-30;4.153194;
2011-12-31;3.766129;
2012-01-31;4.048522;
2012-02-29;3.971408;
2012-03-31;4.014247;
2012-04-30;3.724028;
2012-05-31;3.800672;
2012-06-30;3.768194;
2012-07-31;3.788038;
2012-08-31;4.456432;
2012-09-30;4.445556;
2012-10-31;4.544489;
2012-11-30;3.508889;
2012-12-31;3.747715;
2013-01-31;3.539382;
2013-02-28;4.299256;
2013-03-31;3.771139;
2013-04-30;3.370417;
2013-05-31;2.355914;
2013-06-30;2.016061;
2013-07-31;2.870734;
2013-08-31;4.015995;
2013-09-30;4.307778;
2013-10-31;3.966532;
2013-11-30;4.101593;
2013-12-31;3.205185;
2014-01-31;3.892231;
2014-02-28;3.894401;
2014-03-31;3.673941;
2014-04-30;2.937063;
2014-05-31;3.078947;
2014-06-30;null;
2014-07-31;3.743873;
2014-08-31;4.093494;
2014-09-30;null;
2014-10-31;4.837366;
2014-11-30;3.695337;
2014-12-31;3.268548;
2015-01-31;3.768519;
2015-02-28;3.23497;
2015-03-31;3.173925;
2015-04-30;2.979861;
2015-05-31;3.268817;
2015-06-30;3.510833;
2015-07-31;3.987097;
2015-08-31;4.300941;
2015-09-30;4.153889;
2015-10-31;4.236021;
2015-11-30;3.813889;
2015-12-31;4.159812;
2016-01-31;2.602688;
2016-02-29;3.004454;
2016-03-31;3.624059;
2016-04-30;3.756528;
2016-05-31;3.535349;
2016-06-30;3.505833;
2016-07-31;4.035618;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;4.175417;
2016-12-31;4.068145;
2017-01-31;4.254435;
2017-02-28;4.00997;
2017-03-31;3.672581;
2017-04-30;4.013194;
2017-05-31;3.862903;
2017-06-30;4.015833;
2017-07-31;4.920296;
2017-08-31;4.368145;
2017-09-30;4.915417;
2017-10-31;4.830972;
2017-11-30;4.086111;
2017-12-31;3.684274;
2018-01-31;3.809409;
2018-02-28;3.288095;
2018-03-31;3.08078;
2018-04-30;3.655;
2018-05-31;3.90672;
2018-06-30;3.966111;
2018-07-31;4.309946;
2018-08-31;4.322581;
2018-09-30;4.735;
2018-10-31;4.226075;
2018-11-30;4.569028;
2018-12-31;3.115323;
2019-01-31;4.147984;
2019-02-28;3.332292;
2019-03-31;null;
2019-04-30;2.592222;
2019-05-31;3.306048;
2019-06-30;3.728241;
2019-07-31;3.803763;
2019-08-31;4.20336;
2019-09-30;4.472778;
2019-10-31;4.524597;
2019-11-30;4.238194;
2019-12-31;4.241398;
2020-01-31;2.905376;
2020-02-29;2.671408;
2020-03-31;2.695161;
2020-04-30;2.763472;
2020-05-31;2.95578;
2020-06-30;3.192083;
2020-07-31;3.656183;
2020-08-31;4.123387;
2020-09-30;4.508194;
2020-10-31;4.020968;
2020-11-30;3.321667;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;

